#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718241.1         -            855 4592at5820           -            509  2.4e-232  771.0  13.1   1   7      0.41   1.3e+03   -3.4   0.1     1    18     5    22     5    27 0.89 | transcript=PVPAM_030024100_t1 | gene=PVPAM_030024100 | organism=Plasmodium_vivax_PAM | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=CASCJQ010000003:767778-770345(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718241.1         -            855 4592at5820           -            509  2.4e-232  771.0  13.1   2   7   3.7e-06     0.012   13.2   0.0    23    48   130   155   126   171 0.86 | transcript=PVPAM_030024100_t1 | gene=PVPAM_030024100 | organism=Plasmodium_vivax_PAM | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=CASCJQ010000003:767778-770345(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718241.1         -            855 4592at5820           -            509  2.4e-232  771.0  13.1   3   7    0.0015       4.8    4.6   0.0    54    96   209   260   199   262 0.78 | transcript=PVPAM_030024100_t1 | gene=PVPAM_030024100 | organism=Plasmodium_vivax_PAM | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=CASCJQ010000003:767778-770345(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718241.1         -            855 4592at5820           -            509  2.4e-232  771.0  13.1   4   7  9.2e-104    3e-100  335.2   0.2    96   271   290   465   287   469 0.98 | transcript=PVPAM_030024100_t1 | gene=PVPAM_030024100 | organism=Plasmodium_vivax_PAM | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=CASCJQ010000003:767778-770345(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718241.1         -            855 4592at5820           -            509  2.4e-232  771.0  13.1   5   7   2.2e-87   7.1e-84  281.2   0.4   269   425   516   672   512   676 0.98 | transcript=PVPAM_030024100_t1 | gene=PVPAM_030024100 | organism=Plasmodium_vivax_PAM | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=CASCJQ010000003:767778-770345(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718241.1         -            855 4592at5820           -            509  2.4e-232  771.0  13.1   6   7   6.7e-38   2.2e-34  117.9   0.2   396   491   711   813   706   816 0.84 | transcript=PVPAM_030024100_t1 | gene=PVPAM_030024100 | organism=Plasmodium_vivax_PAM | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=CASCJQ010000003:767778-770345(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718241.1         -            855 4592at5820           -            509  2.4e-232  771.0  13.1   7   7     1e-08   3.4e-05   21.6   0.0   486   509   830   853   827   853 0.93 | transcript=PVPAM_030024100_t1 | gene=PVPAM_030024100 | organism=Plasmodium_vivax_PAM | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=CASCJQ010000003:767778-770345(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722229.1         -            911 4592at5820           -            509   6.1e-23   80.1  10.3   1   3   2.7e-11   8.6e-08   30.2   0.5   184   269    27   114    22   130 0.87 | transcript=PVPAM_120046600_t1 | gene=PVPAM_120046600 | organism=Plasmodium_vivax_PAM | gene_product=ribonuclease Z, putative | transcript_product=ribonuclease Z, putative | location=CASCJQ010000012:1679147-1683676(-) | protein_length=911 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722229.1         -            911 4592at5820           -            509   6.1e-23   80.1  10.3   2   3     8e-09   2.6e-05   22.0   0.2   153   231   627   709   588   712 0.79 | transcript=PVPAM_120046600_t1 | gene=PVPAM_120046600 | organism=Plasmodium_vivax_PAM | gene_product=ribonuclease Z, putative | transcript_product=ribonuclease Z, putative | location=CASCJQ010000012:1679147-1683676(-) | protein_length=911 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722229.1         -            911 4592at5820           -            509   6.1e-23   80.1  10.3   3   3     4e-12   1.3e-08   32.9   0.4   356   472   755   865   744   884 0.78 | transcript=PVPAM_120046600_t1 | gene=PVPAM_120046600 | organism=Plasmodium_vivax_PAM | gene_product=ribonuclease Z, putative | transcript_product=ribonuclease Z, putative | location=CASCJQ010000012:1679147-1683676(-) | protein_length=911 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4592at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
