#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717796.1         -           1305 1942at5820           -            861         0 1299.5  73.6   1   7         0         0 1011.2  26.1     1   546     1   573     1   582 0.97 | transcript=PVPAM_010031000_t1 | gene=PVPAM_010031000 | organism=Plasmodium_vivax_PAM | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=CASCJQ010000001:1155325-1159242(+) | protein_length=1305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717796.1         -           1305 1942at5820           -            861         0 1299.5  73.6   2   7     9e-11   1.9e-07   28.1   0.0   549   579   614   644   605   651 0.88 | transcript=PVPAM_010031000_t1 | gene=PVPAM_010031000 | organism=Plasmodium_vivax_PAM | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=CASCJQ010000001:1155325-1159242(+) | protein_length=1305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717796.1         -           1305 1942at5820           -            861         0 1299.5  73.6   3   7   2.3e-37     5e-34  116.1  12.4   578   656   729   807   726   817 0.95 | transcript=PVPAM_010031000_t1 | gene=PVPAM_010031000 | organism=Plasmodium_vivax_PAM | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=CASCJQ010000001:1155325-1159242(+) | protein_length=1305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717796.1         -           1305 1942at5820           -            861         0 1299.5  73.6   4   7   1.3e-17   2.8e-14   50.8   0.1   653   705   835   887   828   897 0.93 | transcript=PVPAM_010031000_t1 | gene=PVPAM_010031000 | organism=Plasmodium_vivax_PAM | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=CASCJQ010000001:1155325-1159242(+) | protein_length=1305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717796.1         -           1305 1942at5820           -            861         0 1299.5  73.6   5   7   3.4e-08   7.3e-05   19.6   0.0   701   733   998  1031   992  1034 0.88 | transcript=PVPAM_010031000_t1 | gene=PVPAM_010031000 | organism=Plasmodium_vivax_PAM | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=CASCJQ010000001:1155325-1159242(+) | protein_length=1305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717796.1         -           1305 1942at5820           -            861         0 1299.5  73.6   6   7   1.6e-17   3.4e-14   50.5  10.4   760   832  1150  1230  1091  1245 0.82 | transcript=PVPAM_010031000_t1 | gene=PVPAM_010031000 | organism=Plasmodium_vivax_PAM | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=CASCJQ010000001:1155325-1159242(+) | protein_length=1305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717796.1         -           1305 1942at5820           -            861         0 1299.5  73.6   7   7     1e-12   2.2e-09   34.5   0.1   807   861  1251  1303  1234  1303 0.77 | transcript=PVPAM_010031000_t1 | gene=PVPAM_010031000 | organism=Plasmodium_vivax_PAM | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=CASCJQ010000001:1155325-1159242(+) | protein_length=1305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721313.1         -            824 1942at5820           -            861     3e-31  106.9  31.1   1   4   3.2e-05     0.068    9.8   0.6    21   109    21   116     1   176 0.71 | transcript=PVPAM_110021600_t1 | gene=PVPAM_110021600 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=CASCJQ010000011:699998-702472(+) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721313.1         -            824 1942at5820           -            861     3e-31  106.9  31.1   2   4   1.8e-05     0.038   10.6   0.2   120   154   212   246   199   253 0.82 | transcript=PVPAM_110021600_t1 | gene=PVPAM_110021600 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=CASCJQ010000011:699998-702472(+) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721313.1         -            824 1942at5820           -            861     3e-31  106.9  31.1   3   4   4.4e-24   9.5e-21   72.2   5.4   163   330   289   457   280   475 0.87 | transcript=PVPAM_110021600_t1 | gene=PVPAM_110021600 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=CASCJQ010000011:699998-702472(+) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721313.1         -            824 1942at5820           -            861     3e-31  106.9  31.1   4   4   6.6e-11   1.4e-07   28.6   5.2   383   501   566   693   562   807 0.77 | transcript=PVPAM_110021600_t1 | gene=PVPAM_110021600 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=CASCJQ010000011:699998-702472(+) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717676.1         -           2757 1942at5820           -            861   9.6e-24   82.1  50.6   1   4      0.31   6.6e+02   -3.4   3.5    62   112    75   128    40   158 0.70 | transcript=PVPAM_010018600_t1 | gene=PVPAM_010018600 | organism=Plasmodium_vivax_PAM | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=CASCJQ010000001:660888-669339(-) | protein_length=2757 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717676.1         -           2757 1942at5820           -            861   9.6e-24   82.1  50.6   2   4   6.8e-17   1.5e-13   48.4   6.9   127   252   710   853   690   857 0.74 | transcript=PVPAM_010018600_t1 | gene=PVPAM_010018600 | organism=Plasmodium_vivax_PAM | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=CASCJQ010000001:660888-669339(-) | protein_length=2757 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717676.1         -           2757 1942at5820           -            861   9.6e-24   82.1  50.6   3   4   6.2e-15   1.3e-11   41.9  18.3   246   437   980  1186   976  1200 0.62 | transcript=PVPAM_010018600_t1 | gene=PVPAM_010018600 | organism=Plasmodium_vivax_PAM | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=CASCJQ010000001:660888-669339(-) | protein_length=2757 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717676.1         -           2757 1942at5820           -            861   9.6e-24   82.1  50.6   4   4   0.00013      0.27    7.8   0.3   431   504  1350  1425  1339  1446 0.78 | transcript=PVPAM_010018600_t1 | gene=PVPAM_010018600 | organism=Plasmodium_vivax_PAM | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=CASCJQ010000001:660888-669339(-) | protein_length=2757 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1942at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
