#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718417.1         -            945 3492at5820           -            673         0 1381.9  49.9   1   4   5.3e-11   6.9e-08   29.9   4.0     2    36     2    38     1    48 0.85 | transcript=PVPAM_040016300_t1 | gene=PVPAM_040016300 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=CASCJQ010000004:507968-510805(+) | protein_length=945 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718417.1         -            945 3492at5820           -            673         0 1381.9  49.9   2   4      0.12   1.6e+02   -1.0   0.1    33    45    99   111    74   114 0.82 | transcript=PVPAM_040016300_t1 | gene=PVPAM_040016300 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=CASCJQ010000004:507968-510805(+) | protein_length=945 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718417.1         -            945 3492at5820           -            673         0 1381.9  49.9   3   4   1.4e-59   1.8e-56  190.4   0.5    42   142   224   324   194   326 0.95 | transcript=PVPAM_040016300_t1 | gene=PVPAM_040016300 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=CASCJQ010000004:507968-510805(+) | protein_length=945 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718417.1         -            945 3492at5820           -            673         0 1381.9  49.9   4   4         0         0 1174.7  27.2   138   672   390   930   387   931 0.99 | transcript=PVPAM_040016300_t1 | gene=PVPAM_040016300 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=CASCJQ010000004:507968-510805(+) | protein_length=945 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717882.1         -           1111 3492at5820           -            673   2.2e-22   77.8   5.7   1   2   1.7e-25   2.2e-22   77.8   5.7   143   370   261   496   206   499 0.82 | transcript=PVPAM_020011400_t1 | gene=PVPAM_020011400 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000002:309794-313129(+) | protein_length=1111 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717882.1         -           1111 3492at5820           -            673   2.2e-22   77.8   5.7   2   2         5   6.5e+03  -11.5  11.6   432   524   637   721   578   764 0.51 | transcript=PVPAM_020011400_t1 | gene=PVPAM_020011400 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000002:309794-313129(+) | protein_length=1111 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722251.1         -            344 3492at5820           -            673     2e-19   68.0   1.9   1   2   0.00022      0.29    8.0   0.1   144   170    15    41     4    46 0.86 | transcript=PVPAM_120048800_t1 | gene=PVPAM_120048800 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 3, putative | transcript_product=replication factor C subunit 3, putative | location=CASCJQ010000012:1758240-1759708(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722251.1         -            344 3492at5820           -            673     2e-19   68.0   1.9   2   2   6.2e-20     8e-17   59.4   0.4   202   376    50   226    45   233 0.81 | transcript=PVPAM_120048800_t1 | gene=PVPAM_120048800 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 3, putative | transcript_product=replication factor C subunit 3, putative | location=CASCJQ010000012:1758240-1759708(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723751.1         -            336 3492at5820           -            673   4.7e-18   63.5   4.1   1   2   1.6e-05      0.02   11.8   0.1   132   170     6    44     1    49 0.77 | transcript=PVPAM_140067400_t1 | gene=PVPAM_140067400 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 4, putative | transcript_product=replication factor C subunit 4, putative | location=CASCJQ010000014:2694197-2695556(+) | protein_length=336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723751.1         -            336 3492at5820           -            673   4.7e-18   63.5   4.1   2   2   5.8e-18   7.5e-15   52.9   2.1   188   372    39   219    36   237 0.80 | transcript=PVPAM_140067400_t1 | gene=PVPAM_140067400 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 4, putative | transcript_product=replication factor C subunit 4, putative | location=CASCJQ010000014:2694197-2695556(+) | protein_length=336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718430.1         -            330 3492at5820           -            673   9.3e-15   52.6   4.7   1   2   1.7e-05     0.022   11.7   0.1   141   169     3    31     1    37 0.86 | transcript=PVPAM_040017600_t1 | gene=PVPAM_040017600 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 2, putative | transcript_product=replication factor C subunit 2, putative | location=CASCJQ010000004:549762-550754(-) | protein_length=330 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
