#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722201.1         -           1682 1067at5820           -            869         0 1623.2 111.2   1   9  1.5e-169  4.9e-166  553.2  19.9     1   272     1   273     1   281 0.98 | transcript=PVPAM_120043900_t1 | gene=PVPAM_120043900 | organism=Plasmodium_vivax_PAM | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=CASCJQ010000012:1544330-1550224(-) | protein_length=1682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722201.1         -           1682 1067at5820           -            869         0 1623.2 111.2   2   9   3.4e-12   1.1e-08   32.7   0.4   263   295   349   381   341   387 0.89 | transcript=PVPAM_120043900_t1 | gene=PVPAM_120043900 | organism=Plasmodium_vivax_PAM | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=CASCJQ010000012:1544330-1550224(-) | protein_length=1682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722201.1         -           1682 1067at5820           -            869         0 1623.2 111.2   3   9   1.4e-22   4.5e-19   67.0   6.8   295   363   542   613   538   618 0.80 | transcript=PVPAM_120043900_t1 | gene=PVPAM_120043900 | organism=Plasmodium_vivax_PAM | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=CASCJQ010000012:1544330-1550224(-) | protein_length=1682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722201.1         -           1682 1067at5820           -            869         0 1623.2 111.2   4   9   5.9e-16   1.9e-12   45.1   6.2   318   381   622   686   618   715 0.85 | transcript=PVPAM_120043900_t1 | gene=PVPAM_120043900 | organism=Plasmodium_vivax_PAM | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=CASCJQ010000012:1544330-1550224(-) | protein_length=1682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722201.1         -           1682 1067at5820           -            869         0 1623.2 111.2   5   9     0.018        59    0.5   0.1   377   405   818   850   813   860 0.64 | transcript=PVPAM_120043900_t1 | gene=PVPAM_120043900 | organism=Plasmodium_vivax_PAM | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=CASCJQ010000012:1544330-1550224(-) | protein_length=1682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722201.1         -           1682 1067at5820           -            869         0 1623.2 111.2   6   9   4.1e-06     0.013   12.6   3.1   390   424   861   895   853   930 0.67 | transcript=PVPAM_120043900_t1 | gene=PVPAM_120043900 | organism=Plasmodium_vivax_PAM | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=CASCJQ010000012:1544330-1550224(-) | protein_length=1682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722201.1         -           1682 1067at5820           -            869         0 1623.2 111.2   7   9   0.00034       1.1    6.2   0.1   421   441  1103  1123  1099  1126 0.88 | transcript=PVPAM_120043900_t1 | gene=PVPAM_120043900 | organism=Plasmodium_vivax_PAM | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=CASCJQ010000012:1544330-1550224(-) | protein_length=1682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722201.1         -           1682 1067at5820           -            869         0 1623.2 111.2   8   9    0.0006       1.9    5.4   0.1   443   465  1214  1239  1190  1260 0.66 | transcript=PVPAM_120043900_t1 | gene=PVPAM_120043900 | organism=Plasmodium_vivax_PAM | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=CASCJQ010000012:1544330-1550224(-) | protein_length=1682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722201.1         -           1682 1067at5820           -            869         0 1623.2 111.2   9   9  7.2e-285  2.3e-281  934.8  26.1   464   869  1277  1682  1274  1682 1.00 | transcript=PVPAM_120043900_t1 | gene=PVPAM_120043900 | organism=Plasmodium_vivax_PAM | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=CASCJQ010000012:1544330-1550224(-) | protein_length=1682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720426.1         -            372 1067at5820           -            869     0.011   12.8  17.2   1   3     0.066   2.1e+02   -1.4   1.2   229   314     9    51     2    92 0.43 | transcript=PVPAM_090019100_t1 | gene=PVPAM_090019100 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000009:686780-689769(-) | protein_length=372 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720426.1         -            372 1067at5820           -            869     0.011   12.8  17.2   2   3   0.00011      0.36    7.8   0.1    76   130    93   147    60   154 0.83 | transcript=PVPAM_090019100_t1 | gene=PVPAM_090019100 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000009:686780-689769(-) | protein_length=372 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
