#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722494.1         -           2439 322at5820            -           1848         0 3560.9 182.1   1   6     0.016        17    0.9   0.1     1    28     1    40     1    47 0.66 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 322at5820            -           1848         0 3560.9 182.1   2   6   2.2e-95   2.4e-92  308.7  17.8    47   249   179   412   159   419 0.90 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 322at5820            -           1848         0 3560.9 182.1   3   6         0         0 1326.4  52.1   248   860   520  1137   515  1141 0.99 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 322at5820            -           1848         0 3560.9 182.1   4   6         0         0 1040.5  37.0   858  1342  1198  1689  1192  1693 0.98 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 322at5820            -           1848         0 3560.9 182.1   5   6  2.2e-168  2.3e-165  550.8  18.7  1332  1602  1747  2021  1731  2025 0.97 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 322at5820            -           1848         0 3560.9 182.1   6   6  7.5e-109  8.1e-106  353.4  21.1  1600  1848  2121  2431  2118  2431 0.86 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 322at5820            -           1848  6.9e-171  569.1  83.2   1   8     4e-42   4.3e-39  132.1   1.3   173   365   667   861   656   865 0.88 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 322at5820            -           1848  6.9e-171  569.1  83.2   2   8   1.1e-78   1.2e-75  253.4   1.0   372   662   939  1230   931  1237 0.96 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 322at5820            -           1848  6.9e-171  569.1  83.2   3   8   2.3e-19   2.5e-16   56.7  25.2   663   972  1262  1559  1253  1563 0.84 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 322at5820            -           1848  6.9e-171  569.1  83.2   4   8     3e-06    0.0032   13.2   0.1   972  1096  1585  1710  1568  1721 0.81 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 322at5820            -           1848  6.9e-171  569.1  83.2   5   8   4.5e-17   4.9e-14   49.1   0.1  1100  1206  1752  1857  1745  1863 0.90 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
