#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717982.1         -           1952 1365at5820           -            980         0 1523.8 139.1   1   9   1.1e-51   3.4e-48  162.9   3.7     1   103     1   103     1   113 0.98 | transcript=PVPAM_020021400_t1 | gene=PVPAM_020021400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:693683-699541(+) | protein_length=1952 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717982.1         -           1952 1365at5820           -            980         0 1523.8 139.1   2   9   3.5e-39   1.1e-35  121.5   1.6   103   190   147   234   133   238 0.95 | transcript=PVPAM_020021400_t1 | gene=PVPAM_020021400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:693683-699541(+) | protein_length=1952 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717982.1         -           1952 1365at5820           -            980         0 1523.8 139.1   3   9   3.5e-06     0.011   12.3   0.0   190   224   335   370   329   379 0.84 | transcript=PVPAM_020021400_t1 | gene=PVPAM_020021400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:693683-699541(+) | protein_length=1952 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717982.1         -           1952 1365at5820           -            980         0 1523.8 139.1   4   9   5.2e-25   1.7e-21   74.6   4.3   227   296   455   527   437   539 0.88 | transcript=PVPAM_020021400_t1 | gene=PVPAM_020021400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:693683-699541(+) | protein_length=1952 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717982.1         -           1952 1365at5820           -            980         0 1523.8 139.1   5   9   2.4e-14   7.7e-11   39.3   2.5   284   349   539   623   525   629 0.75 | transcript=PVPAM_020021400_t1 | gene=PVPAM_020021400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:693683-699541(+) | protein_length=1952 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717982.1         -           1952 1365at5820           -            980         0 1523.8 139.1   6   9   7.2e-50   2.3e-46  156.9  12.1   345   445   707   807   679   821 0.86 | transcript=PVPAM_020021400_t1 | gene=PVPAM_020021400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:693683-699541(+) | protein_length=1952 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717982.1         -           1952 1365at5820           -            980         0 1523.8 139.1   7   9   1.7e-95   5.6e-92  307.9  26.9   444   612  1270  1438  1266  1448 0.98 | transcript=PVPAM_020021400_t1 | gene=PVPAM_020021400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:693683-699541(+) | protein_length=1952 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717982.1         -           1952 1365at5820           -            980         0 1523.8 139.1   8   9  1.5e-124    5e-121  404.0  23.4   610   825  1503  1720  1497  1724 0.97 | transcript=PVPAM_020021400_t1 | gene=PVPAM_020021400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:693683-699541(+) | protein_length=1952 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717982.1         -           1952 1365at5820           -            980         0 1523.8 139.1   9   9   2.9e-88   9.3e-85  284.0  11.7   838   980  1810  1952  1801  1952 0.98 | transcript=PVPAM_020021400_t1 | gene=PVPAM_020021400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:693683-699541(+) | protein_length=1952 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720942.1         -            537 1365at5820           -            980      0.25    7.8   4.3   1   1   0.00011      0.36    7.3   4.3   503   552   401   450   397   479 0.79 | transcript=PVPAM_100021000_t1 | gene=PVPAM_100021000 | organism=Plasmodium_vivax_PAM | gene_product=protoheme IX farnesyltransferase, putative | transcript_product=protoheme IX farnesyltransferase, putative | location=CASCJQ010000010:715977-717590(-) | protein_length=537 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
