#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718811.1         -            849 3774at5820           -            638         0 1190.0  34.0   1   5   5.9e-25   4.8e-22   76.6   1.7     1    49     1    49     1    53 0.97 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 3774at5820           -            638         0 1190.0  34.0   2   5     4e-94   3.2e-91  305.1   1.8    50   206    74   232    66   236 0.97 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 3774at5820           -            638         0 1190.0  34.0   3   5   3.7e-19     3e-16   57.4   0.2   207   244   273   310   271   319 0.93 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 3774at5820           -            638         0 1190.0  34.0   4   5  8.7e-154    7e-151  502.2   1.1   245   482   347   584   331   587 0.99 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 3774at5820           -            638         0 1190.0  34.0   5   5   4.9e-83     4e-80  268.5   2.4   481   634   662   827   659   834 0.93 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719256.1         -           1230 3774at5820           -            638  7.7e-143  475.6   7.1   1   2   3.7e-64     3e-61  206.1   0.5     3   233   570   805   568   810 0.93 | transcript=PVPAM_060026300_t1 | gene=PVPAM_060026300 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000006:890977-895342(-) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719256.1         -           1230 3774at5820           -            638  7.7e-143  475.6   7.1   2   2   2.2e-84   1.8e-81  272.9   1.2   263   632   815  1187   812  1190 0.93 | transcript=PVPAM_060026300_t1 | gene=PVPAM_060026300 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000006:890977-895342(-) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 3774at5820           -            638  5.9e-135  449.6  17.1   1   2   4.4e-62   3.5e-59  199.2   2.6     3   236   431   674   429   682 0.92 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 3774at5820           -            638  5.9e-135  449.6  17.1   2   2   3.9e-79   3.1e-76  255.6   6.8   257   631   743  1115   730  1122 0.91 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719618.1         -            840 3774at5820           -            638  1.1e-131  438.8   3.2   1   2     2e-68   1.6e-65  220.2   1.9     2   234   187   421   186   433 0.90 | transcript=PVPAM_070023200_t1 | gene=PVPAM_070023200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000007:816022-818544(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719618.1         -            840 3774at5820           -            638  1.1e-131  438.8   3.2   2   2   6.1e-68   4.9e-65  218.6   0.0   263   633   431   814   424   819 0.89 | transcript=PVPAM_070023200_t1 | gene=PVPAM_070023200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000007:816022-818544(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 3774at5820           -            638  1.6e-103  345.7  25.9   1   3   9.2e-60   7.4e-57  191.6   5.5     2   231   401   635   400   638 0.94 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 3774at5820           -            638  1.6e-103  345.7  25.9   2   3    0.0034       2.7    4.7   0.0   258   285   641   668   636   673 0.87 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 3774at5820           -            638  1.6e-103  345.7  25.9   3   3   6.6e-49   5.3e-46  155.7  10.5   285   630   721  1076   716  1084 0.82 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 3774at5820           -            638   2.5e-60  203.1  26.9   1   3   7.3e-42   5.9e-39  132.4   7.4     3   227   423   665   420   677 0.84 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 3774at5820           -            638   2.5e-60  203.1  26.9   2   3   6.8e-25   5.5e-22   76.4   2.7   262   422   915  1092   909  1110 0.88 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 3774at5820           -            638   2.5e-60  203.1  26.9   3   3     0.003       2.4    4.8   1.6   502   548  1300  1346  1290  1354 0.89 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720200.1         -           2078 3774at5820           -            638   6.5e-39  132.3  19.2   1   3   6.7e-29   5.4e-26   89.6   5.7     2   190   412   615   411   618 0.83 | transcript=PVPAM_080042200_t1 | gene=PVPAM_080042200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=CASCJQ010000008:1635658-1641894(+) | protein_length=2078 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720200.1         -           2078 3774at5820           -            638   6.5e-39  132.3  19.2   2   3     1e-16   8.3e-14   49.3   0.1   284   392   794   903   767   911 0.86 | transcript=PVPAM_080042200_t1 | gene=PVPAM_080042200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=CASCJQ010000008:1635658-1641894(+) | protein_length=2078 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720200.1         -           2078 3774at5820           -            638   6.5e-39  132.3  19.2   3   3     0.073        59    0.3   2.5   401   480   978  1060   971  1176 0.76 | transcript=PVPAM_080042200_t1 | gene=PVPAM_080042200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=CASCJQ010000008:1635658-1641894(+) | protein_length=2078 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722514.1         -            928 3774at5820           -            638   1.4e-28   98.1  23.5   1   2   2.2e-10   1.8e-07   28.4   0.4    94   167   108   181   103   192 0.85 | transcript=PVPAM_120075300_t1 | gene=PVPAM_120075300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:2932349-2935135(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722514.1         -            928 3774at5820           -            638   1.4e-28   98.1  23.5   2   2   5.8e-24   4.7e-21   73.3  17.0   302   631   575   908   553   915 0.81 | transcript=PVPAM_120075300_t1 | gene=PVPAM_120075300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:2932349-2935135(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3774at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
