#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723327.1         -            341 8608at5820           -            286  3.7e-170  563.1   5.2   1   1  2.6e-172  4.4e-170  562.9   5.2     1   286    28   341    28   341 0.94 | transcript=PVPAM_140024600_t1 | gene=PVPAM_140024600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000014:854740-857658(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720179.1         -            494 8608at5820           -            286   3.1e-46  156.5   0.4   1   1   2.4e-48   4.1e-46  156.1   0.4     2   285   118   406   117   407 0.83 | transcript=PVPAM_080040100_t1 | gene=PVPAM_080040100 | organism=Plasmodium_vivax_PAM | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=CASCJQ010000008:1564136-1566591(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 8608at5820           -            286   1.7e-34  118.0  12.3   1   3     5e-15   8.5e-13   46.7   0.8     2    83    34   115    33   135 0.90 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 8608at5820           -            286   1.7e-34  118.0  12.3   2   3    0.0044      0.74    7.5   0.2   104   137   235   271   220   292 0.74 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 8608at5820           -            286   1.7e-34  118.0  12.3   3   3   2.9e-22   4.9e-20   70.5   0.7   136   284   580   724   568   726 0.82 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721982.1         -            305 8608at5820           -            286   2.2e-32  111.0   2.4   1   2   1.8e-34   3.1e-32  110.5   2.0     3   201     9   223     7   229 0.79 | transcript=PVPAM_120022100_t1 | gene=PVPAM_120022100 | organism=Plasmodium_vivax_PAM | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=CASCJQ010000012:719734-721835(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721982.1         -            305 8608at5820           -            286   2.2e-32  111.0   2.4   2   2       8.5   1.4e+03   -3.2   0.0   248   275   256   283   251   294 0.71 | transcript=PVPAM_120022100_t1 | gene=PVPAM_120022100 | organism=Plasmodium_vivax_PAM | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=CASCJQ010000012:719734-721835(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722833.1         -            710 8608at5820           -            286   1.4e-29  101.9   2.2   1   1   1.1e-31   1.9e-29  101.4   2.2     2   277    19   301    18   311 0.75 | transcript=PVPAM_130033500_t1 | gene=PVPAM_130033500 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=CASCJQ010000013:1298190-1300322(+) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721288.1         -            288 8608at5820           -            286   8.8e-29   99.2   0.0   1   1     7e-31   1.2e-28   98.8   0.0     2   285     3   285     2   286 0.83 | transcript=PVPAM_110019000_t1 | gene=PVPAM_110019000 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=CASCJQ010000011:587643-589375(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720423.1         -            580 8608at5820           -            286   2.4e-25   87.9   5.8   1   2   1.8e-15   3.1e-13   48.2   2.0     2   147   176   328   175   334 0.85 | transcript=PVPAM_090018800_t1 | gene=PVPAM_090018800 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=CASCJQ010000009:677012-678754(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720423.1         -            580 8608at5820           -            286   2.4e-25   87.9   5.8   2   2   4.6e-13   7.9e-11   40.3   0.1   153   284   363   517   355   519 0.73 | transcript=PVPAM_090018800_t1 | gene=PVPAM_090018800 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=CASCJQ010000009:677012-678754(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718956.1         -            613 8608at5820           -            286     1e-23   82.6   6.0   1   1   1.1e-25   1.9e-23   81.7   6.0     2   246   267   518   266   572 0.72 | transcript=PVPAM_050034800_t1 | gene=PVPAM_050034800 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=CASCJQ010000005:1231892-1233733(-) | protein_length=613 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720044.1         -            325 8608at5820           -            286   5.4e-22   76.9  10.4   1   1   1.8e-22   3.1e-20   71.1  10.4     8   203    15   235     8   310 0.73 | transcript=PVPAM_080026600_t1 | gene=PVPAM_080026600 | organism=Plasmodium_vivax_PAM | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=CASCJQ010000008:990655-991632(+) | protein_length=325 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720430.1         -            708 8608at5820           -            286   5.4e-22   76.9   3.1   1   1   3.2e-24   5.4e-22   76.9   3.1     5   200   376   581   371   589 0.83 | transcript=PVPAM_090019500_t1 | gene=PVPAM_090019500 | organism=Plasmodium_vivax_PAM | gene_product=cyclin-dependent-like kinase CLK3, putative | transcript_product=cyclin-dependent-like kinase CLK3, putative | location=CASCJQ010000009:701953-705776(+) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718902.1         -           1623 8608at5820           -            286   1.2e-21   75.7   0.4   1   2   5.1e-06   0.00087   17.2   0.1     5    66   654   721   650   724 0.85 | transcript=PVPAM_050029400_t1 | gene=PVPAM_050029400 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=CASCJQ010000005:1015568-1020565(+) | protein_length=1623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718902.1         -           1623 8608at5820           -            286   1.2e-21   75.7   0.4   2   2   7.9e-18   1.3e-15   55.9   0.0    76   285   871  1107   859  1108 0.72 | transcript=PVPAM_050029400_t1 | gene=PVPAM_050029400 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=CASCJQ010000005:1015568-1020565(+) | protein_length=1623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720374.1         -            335 8608at5820           -            286   4.8e-19   67.3   8.1   1   1   1.1e-20   1.9e-18   65.3   8.1     2   285    42   329    41   330 0.77 | transcript=PVPAM_090013900_t1 | gene=PVPAM_090013900 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=CASCJQ010000009:497458-498465(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
