#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8   1  27  8.6e-193  5.5e-189  628.8  50.0     1   322     1   325     1   334 0.98 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8   2  27   2.5e-71   1.6e-67  225.8   5.7   313   446   420   556   415   566 0.94 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8   3  27   8.2e-35   5.3e-31  104.6   0.1   446   548   632   761   626   771 0.74 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8   4  27   1.1e-72     7e-69  230.3  15.9   550   686   835   977   825   984 0.95 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8   5  27   3.6e-08   0.00023   16.2   0.5   683   727  1096  1140  1093  1149 0.88 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8   6  27     5e-50   3.2e-46  155.1   3.6   719   861  1228  1381  1189  1401 0.86 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8   7  27   3.1e-37     2e-33  112.7   0.5   862   972  1585  1712  1574  1717 0.85 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8   8  27   4.4e-08   0.00029   15.9   1.8   968  1014  1796  1842  1776  1852 0.77 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8   9  27  5.6e-165  3.6e-161  536.5  34.4  1013  1399  2035  2497  2025  2511 0.86 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  10  27     3e-13   1.9e-09   33.1   0.0  1392  1423  2593  2624  2587  2631 0.88 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  11  27   4.1e-91   2.7e-87  291.4  15.5  1424  1573  2659  2808  2650  2815 0.97 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
