#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722518.1         -            760 5491at5820           -            403  1.2e-197  655.3  63.9   1   4   1.5e-96     2e-93  312.1  25.2     1   184     1   191     1   218 0.89 | transcript=PVPAM_120075700_t1 | gene=PVPAM_120075700 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 4, putative | transcript_product=bromodomain protein 4, putative | location=CASCJQ010000012:2963809-2966091(-) | protein_length=760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722518.1         -            760 5491at5820           -            403  1.2e-197  655.3  63.9   2   4   7.4e-27   9.5e-24   82.6   1.4   168   243   236   315   227   327 0.84 | transcript=PVPAM_120075700_t1 | gene=PVPAM_120075700 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 4, putative | transcript_product=bromodomain protein 4, putative | location=CASCJQ010000012:2963809-2966091(-) | protein_length=760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722518.1         -            760 5491at5820           -            403  1.2e-197  655.3  63.9   3   4     3e-78   3.9e-75  251.8  11.9   234   381   465   612   436   622 0.95 | transcript=PVPAM_120075700_t1 | gene=PVPAM_120075700 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 4, putative | transcript_product=bromodomain protein 4, putative | location=CASCJQ010000012:2963809-2966091(-) | protein_length=760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722518.1         -            760 5491at5820           -            403  1.2e-197  655.3  63.9   4   4   9.7e-10   1.3e-06   26.2   2.4   360   403   692   735   679   735 0.78 | transcript=PVPAM_120075700_t1 | gene=PVPAM_120075700 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 4, putative | transcript_product=bromodomain protein 4, putative | location=CASCJQ010000012:2963809-2966091(-) | protein_length=760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718791.1         -           1523 5491at5820           -            403   9.1e-14   49.7   0.2   1   2      0.69   8.9e+02   -2.9   0.1   209   233  1102  1126  1064  1131 0.65 | transcript=PVPAM_050018500_t1 | gene=PVPAM_050018500 | organism=Plasmodium_vivax_PAM | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=CASCJQ010000005:602746-608033(-) | protein_length=1523 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718791.1         -           1523 5491at5820           -            403   9.1e-14   49.7   0.2   2   2   7.1e-17   9.1e-14   49.7   0.2    36   107  1438  1509  1410  1516 0.88 | transcript=PVPAM_050018500_t1 | gene=PVPAM_050018500 | organism=Plasmodium_vivax_PAM | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=CASCJQ010000005:602746-608033(-) | protein_length=1523 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 5491at5820           -            403   1.8e-12   45.5   2.2   1   1   2.6e-15   3.4e-12   44.6   2.2    24   123   329   431   316   478 0.73 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 5491at5820           -            403   3.1e-07   28.2  12.5   1   2         5   6.5e+03  -11.0  14.2   162   270  1694  1803  1668  1820 0.75 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 5491at5820           -            403   3.1e-07   28.2  12.5   2   2   2.4e-10   3.1e-07   28.2  12.5     7   104  3168  3266  3161  3305 0.87 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717889.1         -           1558 5491at5820           -            403   2.8e-06   25.1   0.5   1   1   4.6e-09   5.9e-06   24.0   0.5    46    96   861   911   853   935 0.87 | transcript=PVPAM_020012100_t1 | gene=PVPAM_020012100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 3, putative | transcript_product=bromodomain protein 3, putative | location=CASCJQ010000002:338947-343782(-) | protein_length=1558 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
