#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718451.1         -            272 11219at5820          -            205  4.5e-103  341.6  33.7   1   1  9.2e-103  4.9e-100  331.7  33.7     2   205    13   252    12   252 0.88 | transcript=PVPAM_040019700_t1 | gene=PVPAM_040019700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC11, putative | transcript_product=palmitoyltransferase DHHC11, putative | location=CASCJQ010000004:629271-631608(+) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720442.1         -            294 11219at5820          -            205     4e-22   77.2  13.8   1   2    0.0014      0.77    7.7   0.6     6    62    16    71     4    97 0.59 | transcript=PVPAM_090020700_t1 | gene=PVPAM_090020700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=CASCJQ010000009:747788-750049(+) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720442.1         -            294 11219at5820          -            205     4e-22   77.2  13.8   2   2   9.9e-24   5.3e-21   73.6   7.4    61   203    97   249    84   251 0.78 | transcript=PVPAM_090020700_t1 | gene=PVPAM_090020700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=CASCJQ010000009:747788-750049(+) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721534.1         -            284 11219at5820          -            205   5.7e-22   76.7  21.3   1   1     1e-23   5.5e-21   73.5  21.3    22   128    48   166    23   260 0.73 | transcript=PVPAM_110043900_t1 | gene=PVPAM_110043900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC2, putative | transcript_product=palmitoyltransferase DHHC2, putative | location=CASCJQ010000011:1610925-1612592(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720850.1         -            437 11219at5820          -            205   1.5e-21   75.4  13.4   1   2       2.4   1.3e+03   -2.8   1.7    15    25   159   169   135   214 0.52 | transcript=PVPAM_100011600_t1 | gene=PVPAM_100011600 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=CASCJQ010000010:301705-304636(-) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720850.1         -            437 11219at5820          -            205   1.5e-21   75.4  13.4   2   2   2.8e-24   1.5e-21   75.4  13.4    59   205   246   405   235   405 0.72 | transcript=PVPAM_100011600_t1 | gene=PVPAM_100011600 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=CASCJQ010000010:301705-304636(-) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720269.1         -            611 11219at5820          -            205   6.8e-17   60.1  13.5   1   2       1.5   8.3e+02   -2.2   1.8    88   110   255   279   218   329 0.63 | transcript=PVPAM_080049200_t1 | gene=PVPAM_080049200 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=CASCJQ010000008:1907073-1909842(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720269.1         -            611 11219at5820          -            205   6.8e-17   60.1  13.5   2   2   1.3e-19   6.8e-17   60.1  13.5    60   178   431   552   422   567 0.72 | transcript=PVPAM_080049200_t1 | gene=PVPAM_080049200 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=CASCJQ010000008:1907073-1909842(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723380.1         -            297 11219at5820          -            205   7.9e-17   59.9  11.6   1   2       6.4   3.5e+03   -4.2   6.2   109   147    42    81    22    96 0.48 | transcript=PVPAM_140029900_t1 | gene=PVPAM_140029900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=CASCJQ010000014:1083862-1086487(+) | protein_length=297 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723380.1         -            297 11219at5820          -            205   7.9e-17   59.9  11.6   2   2   1.5e-19   7.9e-17   59.9  11.6    60   135   127   203   114   270 0.69 | transcript=PVPAM_140029900_t1 | gene=PVPAM_140029900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=CASCJQ010000014:1083862-1086487(+) | protein_length=297 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723392.1         -           1013 11219at5820          -            205   1.8e-16   58.7  19.2   1   2       1.1   5.7e+02   -1.7   0.6    10    66    47   108    42   114 0.62 | transcript=PVPAM_140031100_t1 | gene=PVPAM_140031100 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=CASCJQ010000014:1148101-1151923(+) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
