#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722855.1         -            378 7976at5820           -            295    3e-144  478.4  23.1   1   1  5.2e-147  3.7e-144  478.1  23.1     1   295    36   374    36   374 0.94 | transcript=PVPAM_130035700_t1 | gene=PVPAM_130035700 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000013:1377062-1380547(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 7976at5820           -            295   7.1e-66  221.1  74.4   1   8   1.4e-09   9.8e-07   27.0   2.8   216   270    97   154    84   155 0.82 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 7976at5820           -            295   7.1e-66  221.1  74.4   2   8   1.1e-18   7.8e-16   56.9   5.4   206   280   145   220   137   226 0.81 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 7976at5820           -            295   7.1e-66  221.1  74.4   3   8   1.3e-09   9.6e-07   27.0   0.4   218   273   222   279   216   285 0.84 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 7976at5820           -            295   7.1e-66  221.1  74.4   4   8   4.5e-13   3.2e-10   38.4   5.1   168   267   288   407   285   416 0.75 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 7976at5820           -            295   7.1e-66  221.1  74.4   5   8     0.081        58    1.5   0.5    62   239   660   680   644   708 0.55 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 7976at5820           -            295   7.1e-66  221.1  74.4   6   8     4e-13   2.9e-10   38.6   5.0    32   127   710   812   701   819 0.81 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 7976at5820           -            295   7.1e-66  221.1  74.4   7   8   2.3e-16   1.7e-13   49.2  11.6    37   128   903   999   890  1016 0.83 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 7976at5820           -            295   7.1e-66  221.1  74.4   8   8   9.1e-07   0.00065   17.7   0.1    76   135  1019  1084  1007  1092 0.77 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 7976at5820           -            295   4.4e-50  169.3  58.0   1   4    0.0035       2.5    6.0   0.2    55    74   207   226   200   231 0.81 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 7976at5820           -            295   4.4e-50  169.3  58.0   2   4   4.5e-28   3.2e-25   87.7  18.8     1   134   213   357   213   358 0.87 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 7976at5820           -            295   4.4e-50  169.3  58.0   3   4   2.1e-22   1.5e-19   69.0  15.2    19   128   358   474   357   476 0.91 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 7976at5820           -            295   4.4e-50  169.3  58.0   4   4   6.9e-14     5e-11   41.1   7.9    39   115   442   519   434   528 0.87 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 7976at5820           -            295   9.3e-36  122.3  49.0   1   3   8.4e-22     6e-19   67.1  13.6     1   114   238   357   238   359 0.89 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 7976at5820           -            295   9.3e-36  122.3  49.0   2   3   1.7e-16   1.2e-13   49.6  12.5    18   129   317   439   315   441 0.82 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 7976at5820           -            295   9.3e-36  122.3  49.0   3   3     9e-12   6.4e-09   34.2   7.0     5   111   432   548   428   556 0.81 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721966.1         -            571 7976at5820           -            295   5.1e-32  110.0  35.3   1   4     8e-13   5.8e-10   37.6   3.5    44   137   187   287   164   299 0.79 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721966.1         -            571 7976at5820           -            295   5.1e-32  110.0  35.3   2   4   9.9e-11   7.1e-08   30.7   2.9    38   246   323   376   294   381 0.57 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721966.1         -            571 7976at5820           -            295   5.1e-32  110.0  35.3   3   4   1.1e-18   8.2e-16   56.8   7.4    10   130   356   489   355   494 0.83 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721966.1         -            571 7976at5820           -            295   5.1e-32  110.0  35.3   4   4   3.8e-09   2.8e-06   25.5   3.4    57   117   473   538   471   567 0.77 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722039.1         -            482 7976at5820           -            295   7.1e-32  109.5  55.6   1   4   7.5e-09   5.4e-06   24.6   9.3    42   118    67   150    38   154 0.79 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722039.1         -            482 7976at5820           -            295   7.1e-32  109.5  55.6   2   4     2e-12   1.4e-09   36.3   8.9    54   129   151   230   146   234 0.85 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722039.1         -            482 7976at5820           -            295   7.1e-32  109.5  55.6   3   4   6.3e-19   4.5e-16   57.6  20.7     6   131   224   355   219   364 0.88 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722039.1         -            482 7976at5820           -            295   7.1e-32  109.5  55.6   4   4    0.0012      0.86    7.5   0.2    75   272   371   413   362   427 0.59 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721332.1         -            282 7976at5820           -            295     3e-22   77.9  10.5   1   2   5.5e-16     4e-13   48.0   6.3    52   127   123   202    95   203 0.80 | transcript=PVPAM_110023500_t1 | gene=PVPAM_110023500 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000011:776712-778978(+) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721332.1         -            282 7976at5820           -            295     3e-22   77.9  10.5   2   2   5.1e-12   3.6e-09   35.0   0.5   220   277   195   257   189   277 0.78 | transcript=PVPAM_110023500_t1 | gene=PVPAM_110023500 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000011:776712-778978(+) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720828.1         -            250 7976at5820           -            295   9.5e-20   69.7  24.0   1   2   1.1e-18   7.6e-16   56.9  10.3    57   131    93   177    79   181 0.86 | transcript=PVPAM_100009300_t1 | gene=PVPAM_100009300 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000010:217576-219702(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720828.1         -            250 7976at5820           -            295   9.5e-20   69.7  24.0   2   2   2.9e-09   2.1e-06   25.9   5.8    57   115   160   223   160   234 0.88 | transcript=PVPAM_100009300_t1 | gene=PVPAM_100009300 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000010:217576-219702(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721390.1         -            185 7976at5820           -            295   7.6e-08   30.6   1.3   1   1   1.5e-10   1.1e-07   30.1   1.3   218   281   100   163    66   181 0.82 | transcript=PVPAM_110029300_t1 | gene=PVPAM_110029300 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000011:1053032-1054797(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7976at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
