#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719790.1         -           1042 2015at5820           -            773         0 1546.6  43.0   1   4   1.1e-58   2.3e-55  186.8   0.1     1    92     1    95     1   138 0.89 | transcript=PVPAM_070040400_t1 | gene=PVPAM_070040400 | organism=Plasmodium_vivax_PAM | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=CASCJQ010000007:1457872-1461000(+) | protein_length=1042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719790.1         -           1042 2015at5820           -            773         0 1546.6  43.0   2   4  3.9e-122  8.5e-119  396.6  15.1    93   317   165   414   161   419 0.93 | transcript=PVPAM_070040400_t1 | gene=PVPAM_070040400 | organism=Plasmodium_vivax_PAM | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=CASCJQ010000007:1457872-1461000(+) | protein_length=1042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719790.1         -           1042 2015at5820           -            773         0 1546.6  43.0   3   4      0.29   6.3e+02   -3.2   0.0   316   327   476   487   473   492 0.86 | transcript=PVPAM_070040400_t1 | gene=PVPAM_070040400 | organism=Plasmodium_vivax_PAM | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=CASCJQ010000007:1457872-1461000(+) | protein_length=1042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719790.1         -           1042 2015at5820           -            773         0 1546.6  43.0   4   4  2.1e-296  4.6e-293  972.8  14.0   328   773   585  1042   581  1042 0.98 | transcript=PVPAM_070040400_t1 | gene=PVPAM_070040400 | organism=Plasmodium_vivax_PAM | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=CASCJQ010000007:1457872-1461000(+) | protein_length=1042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723049.1         -           1103 2015at5820           -            773   1.4e-43  147.8  44.7   1   3   1.5e-10   3.2e-07   27.6   0.1     4    61    21    77    19   101 0.89 | transcript=PVPAM_130055500_t1 | gene=PVPAM_130055500 | organism=Plasmodium_vivax_PAM | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=CASCJQ010000013:2244436-2247747(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723049.1         -           1103 2015at5820           -            773   1.4e-43  147.8  44.7   2   3   1.2e-32   2.6e-29  100.6  35.3   168   659   184   706   125   723 0.74 | transcript=PVPAM_130055500_t1 | gene=PVPAM_130055500 | organism=Plasmodium_vivax_PAM | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=CASCJQ010000013:2244436-2247747(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723049.1         -           1103 2015at5820           -            773   1.4e-43  147.8  44.7   3   3   1.1e-09   2.4e-06   24.7   0.3   668   719   741   792   733   815 0.88 | transcript=PVPAM_130055500_t1 | gene=PVPAM_130055500 | organism=Plasmodium_vivax_PAM | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=CASCJQ010000013:2244436-2247747(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722111.1         -           1064 2015at5820           -            773   6.6e-19   66.2  14.8   1   4     0.098   2.1e+02   -1.6   0.0    37    69    92   123    89   137 0.75 | transcript=PVPAM_120034900_t1 | gene=PVPAM_120034900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000012:1181547-1185857(+) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722111.1         -           1064 2015at5820           -            773   6.6e-19   66.2  14.8   2   4   1.4e-13   3.1e-10   37.5   9.7    64   316   225   479   217   512 0.75 | transcript=PVPAM_120034900_t1 | gene=PVPAM_120034900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000012:1181547-1185857(+) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722111.1         -           1064 2015at5820           -            773   6.6e-19   66.2  14.8   3   4   1.6e-06    0.0034   14.3   0.3   459   645   669   883   662   887 0.72 | transcript=PVPAM_120034900_t1 | gene=PVPAM_120034900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000012:1181547-1185857(+) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722111.1         -           1064 2015at5820           -            773   6.6e-19   66.2  14.8   4   4   5.9e-06     0.013   12.4   0.0   676   717   940   981   932   988 0.91 | transcript=PVPAM_120034900_t1 | gene=PVPAM_120034900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000012:1181547-1185857(+) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2015at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2015at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2015at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:47 2026
# [ok]
