#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720181.1         -           1110 2874at5820           -            780  2.5e-278  924.1  24.8   1   5     3e-67   3.2e-64  216.0  12.4     1   143    21   164    21   169 0.98 | transcript=PVPAM_080040300_t1 | gene=PVPAM_080040300 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000008:1569404-1572736(+) | protein_length=1110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720181.1         -           1110 2874at5820           -            780  2.5e-278  924.1  24.8   2   5   3.4e-94   3.7e-91  305.1   4.5   142   319   188   369   184   371 0.97 | transcript=PVPAM_080040300_t1 | gene=PVPAM_080040300 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000008:1569404-1572736(+) | protein_length=1110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720181.1         -           1110 2874at5820           -            780  2.5e-278  924.1  24.8   3   5   1.6e-41   1.8e-38  130.9   0.0   318   488   415   623   408   631 0.80 | transcript=PVPAM_080040300_t1 | gene=PVPAM_080040300 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000008:1569404-1572736(+) | protein_length=1110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720181.1         -           1110 2874at5820           -            780  2.5e-278  924.1  24.8   4   5   9.4e-46     1e-42  144.9   0.0   491   636   684   871   680   879 0.84 | transcript=PVPAM_080040300_t1 | gene=PVPAM_080040300 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000008:1569404-1572736(+) | protein_length=1110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720181.1         -           1110 2874at5820           -            780  2.5e-278  924.1  24.8   5   5   1.6e-39   1.8e-36  124.3   0.0   634   778   919  1099   915  1101 0.85 | transcript=PVPAM_080040300_t1 | gene=PVPAM_080040300 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000008:1569404-1572736(+) | protein_length=1110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722806.1         -            559 2874at5820           -            780   3.3e-14   50.6  47.3   1   4   3.6e-05     0.039   10.7   2.5   189   342     3   147     1   184 0.77 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722806.1         -            559 2874at5820           -            780   3.3e-14   50.6  47.3   2   4      0.18   1.9e+02   -1.5   4.1   525   598   130   204   114   220 0.82 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722806.1         -            559 2874at5820           -            780   3.3e-14   50.6  47.3   3   4   1.2e-10   1.3e-07   28.8  21.9   169   306   210   347   195   359 0.76 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722806.1         -            559 2874at5820           -            780   3.3e-14   50.6  47.3   4   4   5.9e-08   6.4e-05   19.9   9.1   174   331   354   500   342   522 0.79 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723753.1         -            571 2874at5820           -            780   2.5e-11   41.1   7.0   1   1   3.4e-14   3.7e-11   40.5   7.0   193   339   399   531   380   539 0.83 | transcript=PVPAM_140067600_t1 | gene=PVPAM_140067600 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000014:2700696-2702411(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721302.1         -            692 2874at5820           -            780     2e-06   24.9  14.3   1   2   9.7e-07     0.001   15.9   0.8   191   230   166   205   154   217 0.88 | transcript=PVPAM_110020400_t1 | gene=PVPAM_110020400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=CASCJQ010000011:658207-660285(-) | protein_length=692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721302.1         -            692 2874at5820           -            780     2e-06   24.9  14.3   2   2   5.5e-06    0.0059   13.4   6.6   230   334   262   354   246   424 0.74 | transcript=PVPAM_110020400_t1 | gene=PVPAM_110020400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=CASCJQ010000011:658207-660285(-) | protein_length=692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723809.1         -            302 2874at5820           -            780   0.00081   16.2   3.5   1   1   1.4e-06    0.0015   15.3   3.6   187   255   137   220   124   231 0.74 | transcript=PVPAM_140073200_t1 | gene=PVPAM_140073200 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | transcript_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | location=CASCJQ010000014:2882921-2883829(-) | protein_length=302 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718475.1         -            477 2874at5820           -            780     0.042   10.6   5.7   1   2   0.00026      0.29    7.8   2.0   193   249    11    67     2   103 0.82 | transcript=PVPAM_040022100_t1 | gene=PVPAM_040022100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000004:728347-730383(+) | protein_length=477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718475.1         -            477 2874at5820           -            780     0.042   10.6   5.7   2   2     0.004       4.3    3.9   0.1   194   231   301   338   282   383 0.73 | transcript=PVPAM_040022100_t1 | gene=PVPAM_040022100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000004:728347-730383(+) | protein_length=477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2874at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2874at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2874at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:16 2026
# [ok]
