#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719540.1         -           1072 2890at5820           -            563  1.7e-246  817.7  38.4   1   5   3.4e-21   7.4e-18   62.9   1.2     1    69     1    92     1    96 0.74 | transcript=PVPAM_070015400_t1 | gene=PVPAM_070015400 | organism=Plasmodium_vivax_PAM | gene_product=histone-lysine N-methyltransferase SET4, putative | transcript_product=histone-lysine N-methyltransferase SET4, putative | location=CASCJQ010000007:529724-532942(-) | protein_length=1072 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719540.1         -           1072 2890at5820           -            563  1.7e-246  817.7  38.4   2   5   5.8e-07    0.0012   15.9   0.0    67    91   113   138   105   147 0.85 | transcript=PVPAM_070015400_t1 | gene=PVPAM_070015400 | organism=Plasmodium_vivax_PAM | gene_product=histone-lysine N-methyltransferase SET4, putative | transcript_product=histone-lysine N-methyltransferase SET4, putative | location=CASCJQ010000007:529724-532942(-) | protein_length=1072 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719540.1         -           1072 2890at5820           -            563  1.7e-246  817.7  38.4   3   5   3.3e-45   7.2e-42  142.2   1.2    97   190   361   455   353   463 0.95 | transcript=PVPAM_070015400_t1 | gene=PVPAM_070015400 | organism=Plasmodium_vivax_PAM | gene_product=histone-lysine N-methyltransferase SET4, putative | transcript_product=histone-lysine N-methyltransferase SET4, putative | location=CASCJQ010000007:529724-532942(-) | protein_length=1072 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719540.1         -           1072 2890at5820           -            563  1.7e-246  817.7  38.4   4   5   1.1e-80   2.4e-77  259.3   2.9   185   333   525   671   518   682 0.93 | transcript=PVPAM_070015400_t1 | gene=PVPAM_070015400 | organism=Plasmodium_vivax_PAM | gene_product=histone-lysine N-methyltransferase SET4, putative | transcript_product=histone-lysine N-methyltransferase SET4, putative | location=CASCJQ010000007:529724-532942(-) | protein_length=1072 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719540.1         -           1072 2890at5820           -            563  1.7e-246  817.7  38.4   5   5    8e-110  1.7e-106  355.5   7.9   341   563   831  1066   826  1066 0.95 | transcript=PVPAM_070015400_t1 | gene=PVPAM_070015400 | organism=Plasmodium_vivax_PAM | gene_product=histone-lysine N-methyltransferase SET4, putative | transcript_product=histone-lysine N-methyltransferase SET4, putative | location=CASCJQ010000007:529724-532942(-) | protein_length=1072 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720435.1         -            800 2890at5820           -            563   1.6e-14   51.9  16.8   1   2   3.8e-07   0.00081   16.5   0.5   110   183   352   427   326   451 0.73 | transcript=PVPAM_090020000_t1 | gene=PVPAM_090020000 | organism=Plasmodium_vivax_PAM | gene_product=histone-lysine N-methyltransferase SET7, putative | transcript_product=histone-lysine N-methyltransferase SET7, putative | location=CASCJQ010000009:724554-728149(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720435.1         -            800 2890at5820           -            563   1.6e-14   51.9  16.8   2   2   4.7e-14     1e-10   39.3  10.1   217   337   502   625   464   773 0.68 | transcript=PVPAM_090020000_t1 | gene=PVPAM_090020000 | organism=Plasmodium_vivax_PAM | gene_product=histone-lysine N-methyltransferase SET7, putative | transcript_product=histone-lysine N-methyltransferase SET7, putative | location=CASCJQ010000009:724554-728149(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721055.1         -           1569 2890at5820           -            563     3e-06   24.6   0.5   1   2   1.4e-09     3e-06   24.6   0.5   236   386   467   624   459   670 0.78 | transcript=PVPAM_100032300_t1 | gene=PVPAM_100032300 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000010:1185921-1190630(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721055.1         -           1569 2890at5820           -            563     3e-06   24.6   0.5   2   2      0.34   7.4e+02   -3.1   0.1   447   482   842   876   838   893 0.75 | transcript=PVPAM_100032300_t1 | gene=PVPAM_100032300 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000010:1185921-1190630(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2890at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2890at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2890at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:22 2026
# [ok]
