#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719673.1         -            746 3523at5820           -            606         0 1136.2  28.1   1   3  3.5e-105  5.7e-102  340.6   7.0     6   193    54   250    49   254 0.95 | transcript=PVPAM_070028700_t1 | gene=PVPAM_070028700 | organism=Plasmodium_vivax_PAM | gene_product=nitric oxide synthase, putative | transcript_product=nitric oxide synthase, putative | location=CASCJQ010000007:1038316-1040556(+) | protein_length=746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719673.1         -            746 3523at5820           -            606         0 1136.2  28.1   2   3   3.6e-43   5.8e-40  135.8   0.1   188   283   286   382   281   391 0.94 | transcript=PVPAM_070028700_t1 | gene=PVPAM_070028700 | organism=Plasmodium_vivax_PAM | gene_product=nitric oxide synthase, putative | transcript_product=nitric oxide synthase, putative | location=CASCJQ010000007:1038316-1040556(+) | protein_length=746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719673.1         -            746 3523at5820           -            606         0 1136.2  28.1   3   3  1.7e-204  2.8e-201  668.6   8.5   277   606   405   746   402   746 0.98 | transcript=PVPAM_070028700_t1 | gene=PVPAM_070028700 | organism=Plasmodium_vivax_PAM | gene_product=nitric oxide synthase, putative | transcript_product=nitric oxide synthase, putative | location=CASCJQ010000007:1038316-1040556(+) | protein_length=746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722383.1         -            802 3523at5820           -            606     7e-12   43.1   9.7   1   3     5e-14     8e-11   39.6   1.2    13   160     9   153     2   180 0.85 | transcript=PVPAM_120061900_t1 | gene=PVPAM_120061900 | organism=Plasmodium_vivax_PAM | gene_product=NADPH--cytochrome P450 reductase, putative | transcript_product=NADPH--cytochrome P450 reductase, putative | location=CASCJQ010000012:2317227-2319635(-) | protein_length=802 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722383.1         -            802 3523at5820           -            606     7e-12   43.1   9.7   2   3     0.017        27    1.5   0.1   498   540   628   667   624   678 0.83 | transcript=PVPAM_120061900_t1 | gene=PVPAM_120061900 | organism=Plasmodium_vivax_PAM | gene_product=NADPH--cytochrome P450 reductase, putative | transcript_product=NADPH--cytochrome P450 reductase, putative | location=CASCJQ010000012:2317227-2319635(-) | protein_length=802 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722383.1         -            802 3523at5820           -            606     7e-12   43.1   9.7   3   3    0.0009       1.5    5.7   0.1   536   588   720   775   704   790 0.77 | transcript=PVPAM_120061900_t1 | gene=PVPAM_120061900 | organism=Plasmodium_vivax_PAM | gene_product=NADPH--cytochrome P450 reductase, putative | transcript_product=NADPH--cytochrome P450 reductase, putative | location=CASCJQ010000012:2317227-2319635(-) | protein_length=802 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721401.1         -            367 3523at5820           -            606   1.7e-11   41.8   0.2   1   1   1.7e-14   2.8e-11   41.1   0.2   436   577   188   343   179   364 0.74 | transcript=PVPAM_110030400_t1 | gene=PVPAM_110030400 | organism=Plasmodium_vivax_PAM | gene_product=ferredoxin--NADP reductase, putative | transcript_product=ferredoxin--NADP reductase, putative | location=CASCJQ010000011:1098038-1099141(-) | protein_length=367 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720885.1         -            824 3523at5820           -            606   5.9e-10   36.7   1.8   1   3      0.48   7.8e+02   -3.3   0.1    10    45    30    69    26    75 0.62 | transcript=PVPAM_100015300_t1 | gene=PVPAM_100015300 | organism=Plasmodium_vivax_PAM | gene_product=S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative | transcript_product=S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative | location=CASCJQ010000010:457707-460181(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720885.1         -            824 3523at5820           -            606   5.9e-10   36.7   1.8   2   3      0.57   9.1e+02   -3.6   0.0   155   179   100   124    97   133 0.79 | transcript=PVPAM_100015300_t1 | gene=PVPAM_100015300 | organism=Plasmodium_vivax_PAM | gene_product=S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative | transcript_product=S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative | location=CASCJQ010000010:457707-460181(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720885.1         -            824 3523at5820           -            606   5.9e-10   36.7   1.8   3   3   3.7e-13   5.9e-10   36.7   1.8    44   160   174   296   144   317 0.88 | transcript=PVPAM_100015300_t1 | gene=PVPAM_100015300 | organism=Plasmodium_vivax_PAM | gene_product=S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative | transcript_product=S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative | location=CASCJQ010000010:457707-460181(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3523at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3523at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3523at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:15 2026
# [ok]
