#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722492.1         -           1701 866at5820            -            888         0 1261.9 162.9   1   9  1.4e-184  9.4e-181  601.7  21.4     1   259     1   259     1   295 0.98 | transcript=PVPAM_120072900_t1 | gene=PVPAM_120072900 | organism=Plasmodium_vivax_PAM | gene_product=Sad1/UNC domain-containing protein, putative | transcript_product=Sad1/UNC domain-containing protein, putative | location=CASCJQ010000012:2809955-2815251(-) | protein_length=1701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722492.1         -           1701 866at5820            -            888         0 1261.9 162.9   2   9   1.1e-07   0.00071   16.4   4.2   246   283   340   378   327   385 0.80 | transcript=PVPAM_120072900_t1 | gene=PVPAM_120072900 | organism=Plasmodium_vivax_PAM | gene_product=Sad1/UNC domain-containing protein, putative | transcript_product=Sad1/UNC domain-containing protein, putative | location=CASCJQ010000012:2809955-2815251(-) | protein_length=1701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722492.1         -           1701 866at5820            -            888         0 1261.9 162.9   3   9   8.9e-06     0.057   10.1   5.6   220   326   390   504   382   518 0.78 | transcript=PVPAM_120072900_t1 | gene=PVPAM_120072900 | organism=Plasmodium_vivax_PAM | gene_product=Sad1/UNC domain-containing protein, putative | transcript_product=Sad1/UNC domain-containing protein, putative | location=CASCJQ010000012:2809955-2815251(-) | protein_length=1701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722492.1         -           1701 866at5820            -            888         0 1261.9 162.9   4   9   2.4e-06     0.016   12.0   0.2   306   354   612   663   598   677 0.75 | transcript=PVPAM_120072900_t1 | gene=PVPAM_120072900 | organism=Plasmodium_vivax_PAM | gene_product=Sad1/UNC domain-containing protein, putative | transcript_product=Sad1/UNC domain-containing protein, putative | location=CASCJQ010000012:2809955-2815251(-) | protein_length=1701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722492.1         -           1701 866at5820            -            888         0 1261.9 162.9   5   9     0.018   1.2e+02   -0.9   0.2   341   369   695   723   683   735 0.81 | transcript=PVPAM_120072900_t1 | gene=PVPAM_120072900 | organism=Plasmodium_vivax_PAM | gene_product=Sad1/UNC domain-containing protein, putative | transcript_product=Sad1/UNC domain-containing protein, putative | location=CASCJQ010000012:2809955-2815251(-) | protein_length=1701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722492.1         -           1701 866at5820            -            888         0 1261.9 162.9   6   9   3.5e-16   2.3e-12   44.5   0.1   364   438   775   858   749   872 0.84 | transcript=PVPAM_120072900_t1 | gene=PVPAM_120072900 | organism=Plasmodium_vivax_PAM | gene_product=Sad1/UNC domain-containing protein, putative | transcript_product=Sad1/UNC domain-containing protein, putative | location=CASCJQ010000012:2809955-2815251(-) | protein_length=1701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722492.1         -           1701 866at5820            -            888         0 1261.9 162.9   7   9  5.9e-125  3.8e-121  404.4  61.0   478   745  1181  1478  1157  1481 0.88 | transcript=PVPAM_120072900_t1 | gene=PVPAM_120072900 | organism=Plasmodium_vivax_PAM | gene_product=Sad1/UNC domain-containing protein, putative | transcript_product=Sad1/UNC domain-containing protein, putative | location=CASCJQ010000012:2809955-2815251(-) | protein_length=1701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722492.1         -           1701 866at5820            -            888         0 1261.9 162.9   8   9   1.5e-49   9.8e-46  154.9  10.4   746   843  1510  1610  1506  1613 0.96 | transcript=PVPAM_120072900_t1 | gene=PVPAM_120072900 | organism=Plasmodium_vivax_PAM | gene_product=Sad1/UNC domain-containing protein, putative | transcript_product=Sad1/UNC domain-containing protein, putative | location=CASCJQ010000012:2809955-2815251(-) | protein_length=1701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722492.1         -           1701 866at5820            -            888         0 1261.9 162.9   9   9   5.3e-20   3.4e-16   57.2   5.9   844   888  1657  1701  1655  1701 0.97 | transcript=PVPAM_120072900_t1 | gene=PVPAM_120072900 | organism=Plasmodium_vivax_PAM | gene_product=Sad1/UNC domain-containing protein, putative | transcript_product=Sad1/UNC domain-containing protein, putative | location=CASCJQ010000012:2809955-2815251(-) | protein_length=1701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/866at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/866at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/866at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:02 2026
# [ok]
