#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722958.1         -           3350 230at5820            -           2204         0 3309.7 321.6   1  12     2e-26   3.2e-23   79.2   0.7     1    70     1    84     1    89 0.88 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 230at5820            -           2204         0 3309.7 321.6   2  12   1.7e-16   2.7e-13   46.3   3.6    66   115   109   158   103   174 0.91 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 230at5820            -           2204         0 3309.7 321.6   3  12   8.2e-53   1.3e-49  166.7  24.1   110   264   199   371   165   387 0.81 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 230at5820            -           2204         0 3309.7 321.6   4  12     1e-14   1.6e-11   40.3   7.6   272   367   433   552   419   561 0.75 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 230at5820            -           2204         0 3309.7 321.6   5  12   1.9e-18     3e-15   52.7  10.2   332   419   582   668   578   732 0.73 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 230at5820            -           2204         0 3309.7 321.6   6  12         4   6.5e+03  -23.6  38.2  1614  1671   736   796   722   814 0.51 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 230at5820            -           2204         0 3309.7 321.6   7  12     1e-11   1.6e-08   30.4   6.0   387   456   829   902   819   935 0.75 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 230at5820            -           2204         0 3309.7 321.6   8  12    9e-152  1.5e-148  494.9  49.5   471   764  1165  1481  1136  1485 0.91 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 230at5820            -           2204         0 3309.7 321.6   9  12   1.9e-50   3.1e-47  158.8   1.7   763   867  1542  1660  1539  1667 0.85 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 230at5820            -           2204         0 3309.7 321.6  10  12  1.6e-185  2.7e-182  606.8  19.5   864  1224  1690  2087  1686  2133 0.92 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 230at5820            -           2204         0 3309.7 321.6  11  12  4.3e-222    7e-219  728.1  52.1  1227  1668  2146  2643  2127  2652 0.88 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
