#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722234.1         -            702 3507at5820           -            595         0 1300.5  28.7   1   2   2.2e-40   6.4e-38  129.0   8.8     9    79    42   117    36   124 0.93 | transcript=PVPAM_120047100_t1 | gene=PVPAM_120047100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000012:1695818-1697926(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722234.1         -            702 3507at5820           -            595         0 1300.5  28.7   2   2         0         0 1177.5  11.9    79   595   178   702   157   702 0.98 | transcript=PVPAM_120047100_t1 | gene=PVPAM_120047100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000012:1695818-1697926(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723739.1         -            896 3507at5820           -            595  8.2e-110  366.4   0.1   1   1  2.8e-112  8.2e-110  366.4   0.1   141   570   159   601   148   608 0.91 | transcript=PVPAM_140066300_t1 | gene=PVPAM_140066300 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=CASCJQ010000014:2628494-2631184(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 3507at5820           -            595  1.4e-107  359.1   0.4   1   2   1.7e-53   5.1e-51  172.3   0.1   140   371   473   705   467   724 0.96 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 3507at5820           -            595  1.4e-107  359.1   0.4   2   2   2.7e-57   8.1e-55  184.8   0.0   139   357   792  1012   768  1024 0.93 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721437.1         -            822 3507at5820           -            595   7.2e-97  323.7   0.0   1   2   1.9e-48   5.7e-46  155.6   0.0   140   371   204   436   199   452 0.96 | transcript=PVPAM_110034300_t1 | gene=PVPAM_110034300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000011:1241062-1243697(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721437.1         -            822 3507at5820           -            595   7.2e-97  323.7   0.0   2   2   1.4e-51   4.1e-49  166.0   0.0   132   371   471   712   450   759 0.88 | transcript=PVPAM_110034300_t1 | gene=PVPAM_110034300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000011:1241062-1243697(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720479.1         -            950 3507at5820           -            595   1.2e-94  316.4   0.0   1   1   6.8e-97     2e-94  315.6   0.0   138   567   397   842   327   861 0.86 | transcript=PVPAM_090024400_t1 | gene=PVPAM_090024400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000009:885031-887883(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 3507at5820           -            595   1.4e-57  194.0   7.1   1   3   0.00014      0.04   10.8   0.1   145   199   348   403   335   422 0.76 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 3507at5820           -            595   1.4e-57  194.0   7.1   2   3   1.1e-16   3.1e-14   50.8   0.9   224   356   481   616   473   627 0.82 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 3507at5820           -            595   1.4e-57  194.0   7.1   3   3     5e-42   1.5e-39  134.4   0.1   133   321   758   947   745   958 0.93 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
