#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721294.1         -            202 12569at5820          -            174  1.6e-108  358.9   1.8   1   1  4.1e-111  1.8e-108  358.7   1.8     1   174    17   202    17   202 0.97 | transcript=PVPAM_110019600_t1 | gene=PVPAM_110019600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000011:619877-621629(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722682.1         -            147 12569at5820          -            174   4.4e-38  129.5   0.5   1   1   1.2e-40     5e-38  129.3   0.5    15   133    25   146     3   147 0.88 | transcript=PVPAM_130018300_t1 | gene=PVPAM_130018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000013:601598-603216(+) | protein_length=147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720861.1         -            152 12569at5820          -            174   1.8e-37  127.5   0.0   1   1   4.9e-40   2.1e-37  127.3   0.0    23   134    34   148    19   152 0.87 | transcript=PVPAM_100012900_t1 | gene=PVPAM_100012900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2 13, putative | transcript_product=ubiquitin-conjugating enzyme E2 13, putative | location=CASCJQ010000010:349551-350631(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723432.1         -            164 12569at5820          -            174   1.6e-28   98.3   0.1   1   1   4.9e-31   2.1e-28   98.0   0.1    20   123    33   136    26   150 0.93 | transcript=PVPAM_140035400_t1 | gene=PVPAM_140035400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000014:1293037-1293836(+) | protein_length=164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721569.1         -            152 12569at5820          -            174   5.1e-25   87.0   0.1   1   1   1.3e-27   5.7e-25   86.8   0.1    15   133    25   148    12   152 0.86 | transcript=PVPAM_110047400_t1 | gene=PVPAM_110047400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2 PEX4, putative | transcript_product=ubiquitin-conjugating enzyme E2 PEX4, putative | location=CASCJQ010000011:1766059-1767359(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720109.1         -            160 12569at5820          -            174   5.9e-25   86.8   0.1   1   1   1.6e-27   6.8e-25   86.5   0.1    18   120    31   133    12   146 0.88 | transcript=PVPAM_080033100_t1 | gene=PVPAM_080033100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000008:1274470-1275087(-) | protein_length=160 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719592.1         -            159 12569at5820          -            174   3.7e-21   74.4   0.1   1   1   1.1e-23   4.7e-21   74.0   0.1    21   119    39   139    34   157 0.90 | transcript=PVPAM_070020600_t1 | gene=PVPAM_070020600 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=CASCJQ010000007:727735-728625(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719294.1         -            191 12569at5820          -            174   1.4e-19   69.3   0.0   1   1   4.9e-22   2.1e-19   68.7   0.0    23   135    34   151    23   168 0.79 | transcript=PVPAM_060030100_t1 | gene=PVPAM_060030100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000006:1030787-1032223(-) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723788.1         -            150 12569at5820          -            174   6.5e-16   57.3   0.0   1   1   1.8e-18   7.6e-16   57.1   0.0    41   123    60   141    21   149 0.83 | transcript=PVPAM_140071100_t1 | gene=PVPAM_140071100 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=CASCJQ010000014:2811631-2812838(+) | protein_length=150 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719651.1         -            163 12569at5820          -            174   5.3e-14   51.1   0.7   1   1   5.7e-16   2.4e-13   48.9   0.7    16   120    29   148    25   159 0.81 | transcript=PVPAM_070026500_t1 | gene=PVPAM_070026500 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000007:948202-949547(-) | protein_length=163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723003.1         -            301 12569at5820          -            174   1.5e-10   39.8   0.2   1   1   7.2e-13   3.1e-10   38.8   0.2    16   103   180   268   167   279 0.85 | transcript=PVPAM_130050900_t1 | gene=PVPAM_130050900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000013:2018252-2020428(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
