#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720922.1         -           1382 2856at5820           -            701         0 1048.3 128.8   1   7     0.038   1.2e+02   -0.6   3.9     2    24     7    29     5    40 0.76 | transcript=PVPAM_100019000_t1 | gene=PVPAM_100019000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:623860-628333(+) | protein_length=1382 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720922.1         -           1382 2856at5820           -            701         0 1048.3 128.8   2   7   1.7e-11   5.6e-08   30.2   1.7    18    75   146   216   118   244 0.76 | transcript=PVPAM_100019000_t1 | gene=PVPAM_100019000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:623860-628333(+) | protein_length=1382 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720922.1         -           1382 2856at5820           -            701         0 1048.3 128.8   3   7   4.3e-31   1.4e-27   95.0   7.1    71   146   288   373   275   378 0.82 | transcript=PVPAM_100019000_t1 | gene=PVPAM_100019000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:623860-628333(+) | protein_length=1382 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720922.1         -           1382 2856at5820           -            701         0 1048.3 128.8   4   7   1.6e-62   5.1e-59  198.9   8.1   143   252   440   550   424   553 0.94 | transcript=PVPAM_100019000_t1 | gene=PVPAM_100019000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:623860-628333(+) | protein_length=1382 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720922.1         -           1382 2856at5820           -            701         0 1048.3 128.8   5   7   2.6e-26   8.4e-23   79.2   0.0   251   299   584   632   576   636 0.94 | transcript=PVPAM_100019000_t1 | gene=PVPAM_100019000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:623860-628333(+) | protein_length=1382 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720922.1         -           1382 2856at5820           -            701         0 1048.3 128.8   6   7   1.9e-80   6.2e-77  258.2  28.5   300   449   740   894   732   909 0.92 | transcript=PVPAM_100019000_t1 | gene=PVPAM_100019000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:623860-628333(+) | protein_length=1382 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720922.1         -           1382 2856at5820           -            701         0 1048.3 128.8   7   7  5.6e-129  1.8e-125  418.6  37.6   445   701  1124  1382  1118  1382 0.96 | transcript=PVPAM_100019000_t1 | gene=PVPAM_100019000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:623860-628333(+) | protein_length=1382 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718227.1         -            893 2856at5820           -            701      0.46    7.4  21.5   1   3      0.28   9.1e+02   -3.5   0.9   421   433   360   372   348   391 0.51 | transcript=PVPAM_030022700_t1 | gene=PVPAM_030022700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin C-terminal hydrolase, putative | transcript_product=ubiquitin C-terminal hydrolase, putative | location=CASCJQ010000003:731204-733885(-) | protein_length=893 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718227.1         -            893 2856at5820           -            701      0.46    7.4  21.5   2   3   0.00053       1.7    5.5   2.2   380   434   611   665   609   679 0.77 | transcript=PVPAM_030022700_t1 | gene=PVPAM_030022700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin C-terminal hydrolase, putative | transcript_product=ubiquitin C-terminal hydrolase, putative | location=CASCJQ010000003:731204-733885(-) | protein_length=893 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718227.1         -            893 2856at5820           -            701      0.46    7.4  21.5   3   3   1.6e-06    0.0053   13.8   4.1   541   665   763   885   755   887 0.92 | transcript=PVPAM_030022700_t1 | gene=PVPAM_030022700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin C-terminal hydrolase, putative | transcript_product=ubiquitin C-terminal hydrolase, putative | location=CASCJQ010000003:731204-733885(-) | protein_length=893 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2856at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2856at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2856at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:12 2026
# [ok]
