#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720002.1         -           1751 1570at5820           -           1063         0 1814.4 132.1   1   9  9.2e-104  8.5e-101  336.9  23.1     1   197     1   207     1   211 0.95 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 1570at5820           -           1063         0 1814.4 132.1   2   9   3.9e-57   3.6e-54  182.5   4.5   196   296   299   400   288   404 0.95 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 1570at5820           -           1063         0 1814.4 132.1   3   9      0.28   2.6e+02   -2.5   0.0   295   310   504   519   501   522 0.87 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 1570at5820           -           1063         0 1814.4 132.1   4   9   1.7e-39   1.6e-36  124.1   0.3   307   380   603   677   601   680 0.93 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 1570at5820           -           1063         0 1814.4 132.1   5   9   8.5e-43   7.8e-40  135.0  19.9   373   487   694   843   690   847 0.79 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 1570at5820           -           1063         0 1814.4 132.1   6   9  1.1e-247  9.7e-245  813.4  21.1   487   892   896  1318   879  1330 0.95 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 1570at5820           -           1063         0 1814.4 132.1   7   9   2.2e-65   2.1e-62  209.8   9.7   883  1008  1345  1472  1332  1480 0.94 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 1570at5820           -           1063         0 1814.4 132.1   8   9    0.0041       3.8    3.6   0.2  1003  1028  1506  1531  1492  1538 0.78 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 1570at5820           -           1063         0 1814.4 132.1   9   9   1.9e-16   1.8e-13   47.8   1.1  1024  1063  1709  1748  1703  1748 0.95 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 1570at5820           -           1063   5.3e-45  152.1  87.3   1   8         7   6.5e+03   -9.3  10.7   234   334   102   207    51   220 0.73 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 1570at5820           -           1063   5.3e-45  152.1  87.3   2   8      0.32   2.9e+02   -2.6   1.7   279   328   306   355   258   374 0.77 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 1570at5820           -           1063   5.3e-45  152.1  87.3   3   8         7   6.5e+03   -7.7   7.1   216   255   490   529   403   595 0.51 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 1570at5820           -           1063   5.3e-45  152.1  87.3   4   8   4.4e-15     4e-12   43.3  16.4    81   380  1484  1808  1481  1823 0.67 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 1570at5820           -           1063   5.3e-45  152.1  87.3   5   8   1.2e-07   0.00011   18.7   1.5   470   521  1797  1846  1793  1853 0.72 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 1570at5820           -           1063   5.3e-45  152.1  87.3   6   8   1.7e-29   1.5e-26   91.0   0.3   574   702  2110  2232  2087  2237 0.89 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 1570at5820           -           1063   5.3e-45  152.1  87.3   7   8   4.5e-12   4.2e-09   33.3   0.5   775   895  2259  2383  2236  2390 0.76 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 1570at5820           -           1063   5.3e-45  152.1  87.3   8   8   3.8e-08   3.5e-05   20.3   0.7   891   936  2446  2491  2425  2504 0.84 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
