#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721002.1         -           2335 2776at5820           -           1467         0 1917.4  71.1   1  13   3.8e-72   2.4e-68  229.2   4.1     1   137     1   140     1   149 0.95 | transcript=PVPAM_100027100_t1 | gene=PVPAM_100027100 | organism=Plasmodium_vivax_PAM | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=CASCJQ010000010:947710-955169(-) | protein_length=2335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721002.1         -           2335 2776at5820           -           1467         0 1917.4  71.1   2  13  1.7e-114  1.1e-110  369.5   1.9   139   401   298   584   291   587 0.92 | transcript=PVPAM_100027100_t1 | gene=PVPAM_100027100 | organism=Plasmodium_vivax_PAM | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=CASCJQ010000010:947710-955169(-) | protein_length=2335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721002.1         -           2335 2776at5820           -           1467         0 1917.4  71.1   3  13     6e-50   3.9e-46  155.6   3.0   398   521   676   823   671   830 0.85 | transcript=PVPAM_100027100_t1 | gene=PVPAM_100027100 | organism=Plasmodium_vivax_PAM | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=CASCJQ010000010:947710-955169(-) | protein_length=2335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721002.1         -           2335 2776at5820           -           1467         0 1917.4  71.1   4  13     0.058   3.8e+02   -3.4   0.0   537   554   890   907   890   909 0.91 | transcript=PVPAM_100027100_t1 | gene=PVPAM_100027100 | organism=Plasmodium_vivax_PAM | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=CASCJQ010000010:947710-955169(-) | protein_length=2335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721002.1         -           2335 2776at5820           -           1467         0 1917.4  71.1   5  13   7.3e-05      0.47    6.2   0.1   571   596  1003  1028   997  1033 0.88 | transcript=PVPAM_100027100_t1 | gene=PVPAM_100027100 | organism=Plasmodium_vivax_PAM | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=CASCJQ010000010:947710-955169(-) | protein_length=2335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721002.1         -           2335 2776at5820           -           1467         0 1917.4  71.1   6  13   2.8e-38   1.8e-34  116.9   2.1   596   719  1057  1196  1050  1199 0.89 | transcript=PVPAM_100027100_t1 | gene=PVPAM_100027100 | organism=Plasmodium_vivax_PAM | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=CASCJQ010000010:947710-955169(-) | protein_length=2335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721002.1         -           2335 2776at5820           -           1467         0 1917.4  71.1   7  13   3.6e-20   2.3e-16   56.9   0.0   718   795  1224  1314  1207  1322 0.85 | transcript=PVPAM_100027100_t1 | gene=PVPAM_100027100 | organism=Plasmodium_vivax_PAM | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=CASCJQ010000010:947710-955169(-) | protein_length=2335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721002.1         -           2335 2776at5820           -           1467         0 1917.4  71.1   8  13   9.1e-35   5.9e-31  105.3   0.0   797   886  1352  1447  1350  1452 0.91 | transcript=PVPAM_100027100_t1 | gene=PVPAM_100027100 | organism=Plasmodium_vivax_PAM | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=CASCJQ010000010:947710-955169(-) | protein_length=2335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721002.1         -           2335 2776at5820           -           1467         0 1917.4  71.1   9  13   6.1e-18   3.9e-14   49.5   0.0   886   961  1477  1583  1473  1590 0.75 | transcript=PVPAM_100027100_t1 | gene=PVPAM_100027100 | organism=Plasmodium_vivax_PAM | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=CASCJQ010000010:947710-955169(-) | protein_length=2335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721002.1         -           2335 2776at5820           -           1467         0 1917.4  71.1  10  13   7.5e-18   4.9e-14   49.2   0.0   953  1013  1639  1699  1626  1702 0.91 | transcript=PVPAM_100027100_t1 | gene=PVPAM_100027100 | organism=Plasmodium_vivax_PAM | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=CASCJQ010000010:947710-955169(-) | protein_length=2335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721002.1         -           2335 2776at5820           -           1467         0 1917.4  71.1  11  13   5.2e-82   3.4e-78  261.9   4.3  1009  1177  1744  1940  1741  1955 0.86 | transcript=PVPAM_100027100_t1 | gene=PVPAM_100027100 | organism=Plasmodium_vivax_PAM | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=CASCJQ010000010:947710-955169(-) | protein_length=2335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721002.1         -           2335 2776at5820           -           1467         0 1917.4  71.1  12  13   4.2e-13   2.7e-09   33.5   0.0  1171  1202  1966  1997  1960  2001 0.92 | transcript=PVPAM_100027100_t1 | gene=PVPAM_100027100 | organism=Plasmodium_vivax_PAM | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=CASCJQ010000010:947710-955169(-) | protein_length=2335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721002.1         -           2335 2776at5820           -           1467         0 1917.4  71.1  13  13  2.3e-151  1.5e-147  491.7  18.8  1202  1467  2070  2335  2066  2335 0.99 | transcript=PVPAM_100027100_t1 | gene=PVPAM_100027100 | organism=Plasmodium_vivax_PAM | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=CASCJQ010000010:947710-955169(-) | protein_length=2335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2776at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2776at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2776at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:45 2026
# [ok]
