#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722788.1         -           1678 1254at5820           -           1057         0 1817.8 155.0   1   8   1.2e-27   2.6e-24   83.8   5.6     1    74    30   113    30   119 0.88 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 1254at5820           -           1057         0 1817.8 155.0   2   8   1.6e-16   3.5e-13   47.0   0.1    71   114   194   241   189   272 0.85 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 1254at5820           -           1057         0 1817.8 155.0   3   8    2e-275  4.4e-272  904.2  59.4    84   588   321   842   310   847 0.93 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 1254at5820           -           1057         0 1817.8 155.0   4   8   3.9e-52   8.4e-49  164.9  15.5   581   694   975  1092   967  1095 0.93 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 1254at5820           -           1057         0 1817.8 155.0   5   8   1.4e-09     3e-06   24.0   0.0   686   720  1116  1151  1110  1154 0.84 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 1254at5820           -           1057         0 1817.8 155.0   6   8   1.6e-79   3.4e-76  255.6  14.1   720   854  1197  1331  1194  1344 0.96 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 1254at5820           -           1057         0 1817.8 155.0   7   8   3.4e-15   7.3e-12   42.6   0.7   854   894  1439  1479  1429  1484 0.86 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 1254at5820           -           1057         0 1817.8 155.0   8   8    1e-100   2.2e-97  325.7  15.7   887  1057  1500  1671  1495  1671 0.97 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 1254at5820           -           1057   3.9e-49  166.0 104.2   1   6   4.5e-28   9.7e-25   85.2  33.1   140   530   577   985   555   999 0.79 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 1254at5820           -           1057   3.9e-49  166.0 104.2   2   6   0.00068       1.5    5.2  12.7   489   596  1020  1124   989  1163 0.68 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 1254at5820           -           1057   3.9e-49  166.0 104.2   3   6   9.3e-15     2e-11   41.1   8.2   593   659  1254  1319  1222  1358 0.75 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
