#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723072.1         -            107 14381at5820          -             87   3.2e-56  186.5   1.0   1   1   2.2e-58   3.7e-56  186.2   1.0     1    87    13   102    13   102 0.98 | transcript=PVPAM_130057800_t1 | gene=PVPAM_130057800 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=CASCJQ010000013:2343283-2343975(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 14381at5820          -             87   5.1e-17   60.8   0.0   1   3   4.2e-05    0.0072   15.5   0.0    22    77    99   154    86   163 0.88 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 14381at5820          -             87   5.1e-17   60.8   0.0   2   3   3.4e-06   0.00057   19.0   0.0    22    79   198   255   183   261 0.90 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 14381at5820          -             87   5.1e-17   60.8   0.0   3   3   3.6e-07   6.1e-05   22.1   0.0    26    80   387   441   371   447 0.87 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14381at5820          -             87   5.1e-17   60.8   3.1   1   4   7.8e-07   0.00013   21.0   0.0    20    77    25    82    13    89 0.88 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14381at5820          -             87   5.1e-17   60.8   3.1   2   4   0.00031     0.052   12.7   0.1    13    77   106   169    99   177 0.86 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14381at5820          -             87   5.1e-17   60.8   3.1   3   4     0.005      0.85    8.8   0.0    19    79   201   258   193   266 0.85 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14381at5820          -             87   5.1e-17   60.8   3.1   4   4   5.4e-05    0.0091   15.2   0.0    10    75   448   512   441   518 0.87 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 14381at5820          -             87   5.3e-16   57.6   2.0   1   4   8.7e-07   0.00015   20.9   0.0    16    78    91   153    80   158 0.88 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 14381at5820          -             87   5.3e-16   57.6   2.0   2   4    0.0004     0.068   12.4   0.1    20    80   193   252   183   257 0.87 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 14381at5820          -             87   5.3e-16   57.6   2.0   3   4       7.4   1.3e+03   -1.3   0.1    29    47   305   323   296   334 0.77 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 14381at5820          -             87   5.3e-16   57.6   2.0   4   4     1e-06   0.00018   20.7   0.0    13    76   400   463   393   470 0.87 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 14381at5820          -             87   5.5e-13   47.9   3.5   1   2   2.2e-08   3.7e-06   26.0   0.1    13    63    22    72    16    88 0.88 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 14381at5820          -             87   5.5e-13   47.9   3.5   2   2     3e-07   5.1e-05   22.4   0.5    13    80   109   175   101   184 0.87 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718881.1         -            269 14381at5820          -             87   2.6e-08   32.9   0.0   1   1   4.4e-10   7.5e-08   31.5   0.0    13    84   190   264   185   265 0.88 | transcript=PVPAM_050027300_t1 | gene=PVPAM_050027300 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=CASCJQ010000005:938613-940758(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722192.1         -            914 14381at5820          -             87   4.1e-08   32.3   0.3   1   2   2.8e-09   4.7e-07   28.9   0.1    14    74   680   740   673   752 0.88 | transcript=PVPAM_120043000_t1 | gene=PVPAM_120043000 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=CASCJQ010000012:1485281-1488025(+) | protein_length=914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722192.1         -            914 14381at5820          -             87   4.1e-08   32.3   0.3   2   2       1.8   3.1e+02    0.7   0.0    27    78   838   892   825   900 0.70 | transcript=PVPAM_120043000_t1 | gene=PVPAM_120043000 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=CASCJQ010000012:1485281-1488025(+) | protein_length=914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719178.1         -            531 14381at5820          -             87   7.1e-08   31.5   0.3   1   3   3.9e-08   6.7e-06   25.2   0.0    13    75    15    77    10    83 0.95 | transcript=PVPAM_060018500_t1 | gene=PVPAM_060018500 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=CASCJQ010000006:592961-595690(-) | protein_length=531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719178.1         -            531 14381at5820          -             87   7.1e-08   31.5   0.3   2   3      0.63   1.1e+02    2.1   0.0    13    50   115   150   109   171 0.77 | transcript=PVPAM_060018500_t1 | gene=PVPAM_060018500 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=CASCJQ010000006:592961-595690(-) | protein_length=531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719178.1         -            531 14381at5820          -             87   7.1e-08   31.5   0.3   3   3       2.7   4.6e+02    0.1   0.0    30    53   170   194   155   221 0.75 | transcript=PVPAM_060018500_t1 | gene=PVPAM_060018500 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=CASCJQ010000006:592961-595690(-) | protein_length=531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721102.1         -            328 14381at5820          -             87   9.1e-08   31.2   0.0   1   1   9.6e-10   1.6e-07   30.4   0.0    17    77    18    78    11    88 0.87 | transcript=PVPAM_100037000_t1 | gene=PVPAM_100037000 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=CASCJQ010000010:1378622-1379608(+) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 14381at5820          -             87   4.2e-07   29.1   4.7   1   3    0.0031      0.53    9.5   0.6    11    77    18    79    11    86 0.86 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 14381at5820          -             87   4.2e-07   29.1   4.7   2   3     0.063        11    5.3   0.0    29    74   133   180   129   187 0.74 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 14381at5820          -             87   4.2e-07   29.1   4.7   3   3   0.00012      0.02   14.0   0.0    18    75   216   272   200   281 0.79 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720107.1         -            299 14381at5820          -             87   7.6e-07   28.2   0.0   1   1     9e-09   1.5e-06   27.3   0.0    13    80    38   105    33   111 0.93 | transcript=PVPAM_080032900_t1 | gene=PVPAM_080032900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:1265540-1266874(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723375.1         -            124 14381at5820          -             87   1.7e-06   27.1   0.5   1   1   1.4e-08   2.4e-06   26.7   0.5    20    75    17    72     7    83 0.87 | transcript=PVPAM_140029400_t1 | gene=PVPAM_140029400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:1055808-1056679(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722140.1         -           1026 14381at5820          -             87   1.9e-06   26.9   0.2   1   2    0.0012      0.21   10.8   0.0    13    68   637   693   630   705 0.78 | transcript=PVPAM_120037800_t1 | gene=PVPAM_120037800 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=CASCJQ010000012:1308793-1312028(-) | protein_length=1026 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722140.1         -           1026 14381at5820          -             87   1.9e-06   26.9   0.2   2   2    0.0002     0.034   13.3   0.0    21    75   747   801   734   814 0.85 | transcript=PVPAM_120037800_t1 | gene=PVPAM_120037800 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=CASCJQ010000012:1308793-1312028(-) | protein_length=1026 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 14381at5820          -             87   2.6e-06   26.5   1.6   1   1     3e-08   5.1e-06   25.6   0.4    11    69   308   369   299   384 0.83 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719609.1         -            340 14381at5820          -             87   5.8e-06   25.4   0.1   1   2   0.00071      0.12   11.6   0.0    13    64    89   138    77   153 0.83 | transcript=PVPAM_070022300_t1 | gene=PVPAM_070022300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=CASCJQ010000007:784356-785378(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719609.1         -            340 14381at5820          -             87   5.8e-06   25.4   0.1   2   2     0.001      0.18   11.0   0.0    21    65   180   223   171   241 0.76 | transcript=PVPAM_070022300_t1 | gene=PVPAM_070022300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=CASCJQ010000007:784356-785378(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720595.1         -            156 14381at5820          -             87   6.6e-06   25.2   0.3   1   1   3.9e-08   6.6e-06   25.2   0.3    15    76     8    75     3    85 0.79 | transcript=PVPAM_090035900_t1 | gene=PVPAM_090035900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=CASCJQ010000009:1371439-1371909(-) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
