#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718979.1         -            643 6657at5820           -            535  3.7e-276  915.4  46.0   1   1  2.1e-277  1.2e-274  910.4  46.0     1   534     1   642     1   643 0.93 | transcript=PVPAM_050037100_t1 | gene=PVPAM_050037100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase RIO2, putative | transcript_product=serine/threonine protein kinase RIO2, putative | location=CASCJQ010000005:1354660-1356591(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723224.1         -            543 6657at5820           -            535   0.00032   17.9  16.3   1   2   5.4e-07   0.00032   17.9  16.3   268   444    71   258    65   330 0.53 | transcript=PVPAM_140014300_t1 | gene=PVPAM_140014300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:442294-444287(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723224.1         -            543 6657at5820           -            535   0.00032   17.9  16.3   2   2       2.3   1.4e+03   -4.0   3.7   489   512   495   519   468   541 0.62 | transcript=PVPAM_140014300_t1 | gene=PVPAM_140014300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:442294-444287(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718195.1         -            310 6657at5820           -            535    0.0084   13.2   3.6   1   2      0.14        80    0.1   0.3   472   516    44    89    14   105 0.68 | transcript=PVPAM_030019500_t1 | gene=PVPAM_030019500 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=CASCJQ010000003:634173-636068(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718195.1         -            310 6657at5820           -            535    0.0084   13.2   3.6   2   2   1.2e-05    0.0071   13.5   1.4   199   245    97   149    73   162 0.70 | transcript=PVPAM_030019500_t1 | gene=PVPAM_030019500 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=CASCJQ010000003:634173-636068(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723091.1         -            132 6657at5820           -            535      0.12    9.4  10.1   1   1   0.00021      0.12    9.3  10.1   400   510    14   124     1   129 0.42 | transcript=PVPAM_130059700_t1 | gene=PVPAM_130059700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:2418230-2418763(-) | protein_length=132 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718948.1         -            299 6657at5820           -            535       0.2    8.7   9.6   1   1   0.00044      0.26    8.3   9.6   347   484    51   198    27   213 0.52 | transcript=PVPAM_050034000_t1 | gene=PVPAM_050034000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1188619-1189644(+) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722005.1         -            456 6657at5820           -            535       2.3    5.2  14.3   1   1    0.0066       3.9    4.4  14.3   297   433    37   170    31   223 0.45 | transcript=PVPAM_120024400_t1 | gene=PVPAM_120024400 | organism=Plasmodium_vivax_PAM | gene_product=MSP7-like protein | transcript_product=MSP7-like protein | location=CASCJQ010000012:788893-790263(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722718.1         -            360 6657at5820           -            535         5    4.0  30.7   1   1     0.015       8.5    3.3  30.7   326   460    67   197    25   221 0.41 | transcript=PVPAM_130021900_t1 | gene=PVPAM_130021900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:763412-764644(+) | protein_length=360 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723426.1         -            318 6657at5820           -            535       6.5    3.7  32.2   1   1     0.014       7.9    3.4  32.2   329   506   101   281    53   312 0.40 | transcript=PVPAM_140034800_t1 | gene=PVPAM_140034800 | organism=Plasmodium_vivax_PAM | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=CASCJQ010000014:1267733-1269184(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720004.1         -            381 6657at5820           -            535       7.2    3.5  24.6   1   1     0.018        11    3.0  24.6   361   507   106   253    35   268 0.46 | transcript=PVPAM_080022600_t1 | gene=PVPAM_080022600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000008:819982-822067(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723781.1         -            205 6657at5820           -            535       8.7    3.3  34.8   1   1     0.019        11    2.9  34.8   329   486    41   193    23   201 0.37 | transcript=PVPAM_140070400_t1 | gene=PVPAM_140070400 | organism=Plasmodium_vivax_PAM | gene_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5X8] | transcript_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5X8] | location=CASCJQ010000014:2791558-2792523(+) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723827.1         -            400 6657at5820           -            535       9.4    3.2  24.7   1   2      0.03        17    2.3   3.3   371   438    66   133    14   181 0.60 | transcript=PVPAM_140075000_t1 | gene=PVPAM_140075000 | organism=Plasmodium_vivax_PAM | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=CASCJQ010000014:2942224-2943949(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723827.1         -            400 6657at5820           -            535       9.4    3.2  24.7   2   2    0.0012      0.73    6.8  13.5   358   435   241   320   216   366 0.52 | transcript=PVPAM_140075000_t1 | gene=PVPAM_140075000 | organism=Plasmodium_vivax_PAM | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=CASCJQ010000014:2942224-2943949(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6657at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6657at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6657at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:04 2026
# [ok]
