#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720764.1         -           1423 999at5820            -            930         0 1916.5 127.3   1   4   7.4e-90     3e-87  292.2  26.0     1   178    13   195    13   205 0.96 | transcript=PVPAM_090052800_t1 | gene=PVPAM_090052800 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000009:2141525-2145796(-) | protein_length=1423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720764.1         -           1423 999at5820            -            930         0 1916.5 127.3   2   4      0.28   1.2e+02   -1.0   0.0   170   186   231   247   226   259 0.82 | transcript=PVPAM_090052800_t1 | gene=PVPAM_090052800 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000009:2141525-2145796(-) | protein_length=1423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720764.1         -           1423 999at5820            -            930         0 1916.5 127.3   3   4  8.7e-174  3.5e-171  570.0  50.2   183   481   445   751   431   777 0.96 | transcript=PVPAM_090052800_t1 | gene=PVPAM_090052800 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000009:2141525-2145796(-) | protein_length=1423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720764.1         -           1423 999at5820            -            930         0 1916.5 127.3   4   4         0         0 1067.9  32.4   477   930   970  1423   877  1423 0.97 | transcript=PVPAM_090052800_t1 | gene=PVPAM_090052800 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000009:2141525-2145796(-) | protein_length=1423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720875.1         -            288 999at5820            -            930   2.7e-20   70.6   0.6   1   1   7.7e-23   3.1e-20   70.4   0.6   657   867    15   216    10   263 0.83 | transcript=PVPAM_100014300_t1 | gene=PVPAM_100014300 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=CASCJQ010000010:406454-408600(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721288.1         -            288 999at5820            -            930   1.3e-17   61.7   0.2   1   1   4.4e-20   1.8e-17   61.3   0.2   706   858    50   196    15   202 0.88 | transcript=PVPAM_110019000_t1 | gene=PVPAM_110019000 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=CASCJQ010000011:587643-589375(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723621.1         -            996 999at5820            -            930   2.4e-16   57.6   3.5   1   1   1.3e-17   5.2e-15   53.1   3.5   705   924    61   298    12   302 0.71 | transcript=PVPAM_140054500_t1 | gene=PVPAM_140054500 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 1, putative | transcript_product=NIMA related kinase 1, putative | location=CASCJQ010000014:2126362-2129525(+) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718956.1         -            613 999at5820            -            930   8.8e-16   55.7   6.0   1   2   2.2e-18   8.8e-16   55.7   6.0   653   860   267   468   262   488 0.84 | transcript=PVPAM_050034800_t1 | gene=PVPAM_050034800 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=CASCJQ010000005:1231892-1233733(-) | protein_length=613 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718956.1         -            613 999at5820            -            930   8.8e-16   55.7   6.0   2   2     0.027        11    2.4   0.3   874   927   515   573   494   576 0.72 | transcript=PVPAM_050034800_t1 | gene=PVPAM_050034800 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=CASCJQ010000005:1231892-1233733(-) | protein_length=613 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718584.1         -           2117 999at5820            -            930     2e-13   47.9   3.1   1   2   4.9e-16     2e-13   47.9   3.1   715   873  1748  1903  1726  1917 0.79 | transcript=PVPAM_040032900_t1 | gene=PVPAM_040032900 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000004:1143558-1149911(+) | protein_length=2117 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718584.1         -           2117 999at5820            -            930     2e-13   47.9   3.1   2   2       7.6   3.1e+03   -5.7   1.7   347   378  1968  1999  1964  2002 0.81 | transcript=PVPAM_040032900_t1 | gene=PVPAM_040032900 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000004:1143558-1149911(+) | protein_length=2117 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
