#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720969.1         -           1354 1318at5820           -            924         0 1743.5  71.8   1   6  2.9e-115  4.7e-112  374.0   6.0     1   223     9   247     9   256 0.94 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 1318at5820           -            924         0 1743.5  71.8   2   6  3.5e-181  5.7e-178  592.2   3.9   220   484   326   591   318   600 0.98 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 1318at5820           -            924         0 1743.5  71.8   3   6   4.3e-55   6.9e-52  174.9  16.7   482   612   622   786   619   788 0.86 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 1318at5820           -            924         0 1743.5  71.8   4   6     0.051        82   -0.7   0.1   602   621   815   835   802   840 0.73 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 1318at5820           -            924         0 1743.5  71.8   5   6   3.9e-21   6.4e-18   62.5   0.1   588   668   913  1000   908  1001 0.84 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 1318at5820           -            924         0 1743.5  71.8   6   6  5.6e-172  9.1e-169  561.7  13.3   667   924  1093  1354  1087  1354 0.98 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 1318at5820           -            924     1e-07   28.8  24.1   1   4      0.97   1.6e+03   -5.0   1.9   176   252   127   208    98   222 0.58 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 1318at5820           -            924     1e-07   28.8  24.1   2   4   1.5e-06    0.0025   14.3   2.4   228   296   335   403   317   504 0.79 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 1318at5820           -            924     1e-07   28.8  24.1   3   4   1.8e-05      0.03   10.7   0.1   740   814   602   669   548   675 0.89 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 1318at5820           -            924     1e-07   28.8  24.1   4   4     3e-07   0.00049   16.6   0.9   837   892   832   887   823   889 0.83 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722985.1         -           1211 1318at5820           -            924   1.6e-06   24.8  19.3   1   3     0.042        68   -0.4   0.1   231   263   625   656   595   661 0.77 | transcript=PVPAM_130049100_t1 | gene=PVPAM_130049100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=CASCJQ010000013:1936526-1940161(+) | protein_length=1211 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
