#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720905.1         -           1464 1030at5820           -           1196         0 2337.0  94.4   1   5  3.1e-276  1.7e-273  909.2  24.4     1   454    19   498    19   505 0.97 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 1030at5820           -           1196         0 2337.0  94.4   2   5   6.7e-74   3.6e-71  239.0   5.0   440   579   534   678   522   686 0.89 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 1030at5820           -           1196         0 2337.0  94.4   3   5     1e-17   5.6e-15   52.9   6.3   562   609   699   746   689   769 0.77 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 1030at5820           -           1196         0 2337.0  94.4   4   5    5e-228  2.7e-225  749.5  25.2   606  1000   797  1229   766  1239 0.93 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 1030at5820           -           1196         0 2337.0  94.4   5   5  7.5e-125  4.1e-122  407.8   2.1  1002  1196  1269  1464  1265  1464 0.99 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722408.1         -           1611 1030at5820           -           1196   5.1e-56  188.8  21.4   1   1   1.4e-58   7.5e-56  188.3  21.4    61   597   388   934   331   956 0.73 | transcript=PVPAM_120064400_t1 | gene=PVPAM_120064400 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=CASCJQ010000012:2427914-2432749(+) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721839.1         -            969 1030at5820           -           1196   1.6e-35  120.9   5.9   1   2      0.14        76   -0.5  33.8     5   348   274   647   270   664 0.71 | transcript=PVPAM_120007300_t1 | gene=PVPAM_120007300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=CASCJQ010000012:98389-101386(+) | protein_length=969 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721839.1         -            969 1030at5820           -           1196   1.6e-35  120.9   5.9   2   2     3e-38   1.6e-35  120.9   5.9   351   562   740   941   732   967 0.88 | transcript=PVPAM_120007300_t1 | gene=PVPAM_120007300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=CASCJQ010000012:98389-101386(+) | protein_length=969 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 1030at5820           -           1196     8e-33  112.0  24.5   1   3   3.3e-05     0.018   11.5  12.7   603   914   201   527   179   568 0.67 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 1030at5820           -           1196     8e-33  112.0  24.5   2   3   1.3e-15   7.2e-13   45.9   0.2   357   461   617   724   606   758 0.85 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 1030at5820           -           1196     8e-33  112.0  24.5   3   3   1.9e-20     1e-17   62.0   0.4   443   560   774   889   761   898 0.84 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
