#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720277.1         -           1376 1711at5820           -            877         0 1504.0 138.9   1   5  1.4e-196    1e-193  644.2  53.4     7   381   180   600   178   606 0.93 | transcript=PVPAM_080050000_t1 | gene=PVPAM_080050000 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=CASCJQ010000008:1945463-1949593(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720277.1         -           1376 1711at5820           -            877         0 1504.0 138.9   2   5   4.5e-71   3.2e-68  229.0  19.6   382   520   719   857   715   889 0.95 | transcript=PVPAM_080050000_t1 | gene=PVPAM_080050000 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=CASCJQ010000008:1945463-1949593(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720277.1         -           1376 1711at5820           -            877         0 1504.0 138.9   3   5      0.43   3.1e+02   -2.6   0.0   512   530   874   892   866   899 0.81 | transcript=PVPAM_080050000_t1 | gene=PVPAM_080050000 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=CASCJQ010000008:1945463-1949593(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720277.1         -           1376 1711at5820           -            877         0 1504.0 138.9   4   5  7.7e-102   5.5e-99  330.8  26.4   523   713   968  1168   957  1171 0.95 | transcript=PVPAM_080050000_t1 | gene=PVPAM_080050000 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=CASCJQ010000008:1945463-1949593(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720277.1         -           1376 1711at5820           -            877         0 1504.0 138.9   5   5   5.3e-96   3.8e-93  311.4  15.1   713   877  1208  1376  1204  1376 0.97 | transcript=PVPAM_080050000_t1 | gene=PVPAM_080050000 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=CASCJQ010000008:1945463-1949593(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 1711at5820           -            877   4.5e-53  178.8  22.8   1   7       1.1   8.1e+02   -4.0  14.6    43   253    62   274    50   310 0.69 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 1711at5820           -            877   4.5e-53  178.8  22.8   2   7   1.4e-40     1e-37  128.0  15.0   543   850   337   654   332   681 0.85 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 1711at5820           -            877   4.5e-53  178.8  22.8   3   7      0.84     6e+02   -3.6   0.0   853   875   704   726   701   727 0.88 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 1711at5820           -            877   4.5e-53  178.8  22.8   4   7   5.8e-05     0.041   10.2   9.7    73   174   861   969   821   991 0.76 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 1711at5820           -            877   4.5e-53  178.8  22.8   5   7     0.011       7.6    2.7   0.2   582   657  1161  1236  1146  1242 0.83 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 1711at5820           -            877   4.5e-53  178.8  22.8   6   7     0.061        43    0.2   0.2   637   685  1270  1317  1254  1327 0.85 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 1711at5820           -            877   4.5e-53  178.8  22.8   7   7   1.3e-21   9.3e-19   65.3   0.9   748   850  1325  1431  1311  1461 0.82 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720739.1         -            783 1711at5820           -            877   4.9e-35  119.2  53.0   1   3   7.7e-18   5.5e-15   52.8  29.0    34   314   205   497   176   513 0.82 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720739.1         -            783 1711at5820           -            877   4.9e-35  119.2  53.0   2   3   1.6e-06    0.0011   15.4   8.5   580   704   551   676   541   681 0.87 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720739.1         -            783 1711at5820           -            877   4.9e-35  119.2  53.0   3   3   5.5e-21     4e-18   63.2   2.4   748   854   668   778   662   781 0.92 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722408.1         -           1611 1711at5820           -            877   9.6e-33  111.6  35.5   1   3   6.4e-05     0.046   10.1  27.8    43   323   368   663   361   682 0.76 | transcript=PVPAM_120064400_t1 | gene=PVPAM_120064400 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=CASCJQ010000012:2427914-2432749(+) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722408.1         -           1611 1711at5820           -            877   9.6e-33  111.6  35.5   2   3   1.6e-13   1.1e-10   38.5   0.1   579   685   685   790   675   797 0.95 | transcript=PVPAM_120064400_t1 | gene=PVPAM_120064400 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=CASCJQ010000012:2427914-2432749(+) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722408.1         -           1611 1711at5820           -            877   9.6e-33  111.6  35.5   3   3   4.5e-22   3.2e-19   66.8   0.1   748   871   798   922   791   927 0.92 | transcript=PVPAM_120064400_t1 | gene=PVPAM_120064400 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=CASCJQ010000012:2427914-2432749(+) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 1711at5820           -            877   7.1e-31  105.4  39.6   1   2   1.4e-13     1e-10   38.7  20.2    28   327   216   530   191   546 0.74 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
