#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723026.1         -            465 6012at5820           -            105   1.1e-71  236.2   0.6   1   1   2.5e-74     2e-71  235.3   0.6     1   105     1   105     1   105 1.00 | transcript=PVPAM_130053200_t1 | gene=PVPAM_130053200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2 subunit gamma, putative | transcript_product=eukaryotic translation initiation factor 2 subunit gamma, putative | location=CASCJQ010000013:2118437-2119834(-) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723907.1         -            409 6012at5820           -            105     5e-06   25.1   1.3   1   1   2.8e-08   2.3e-05   23.0   1.3    30    58     7    35     2    89 0.87 | transcript=PVPAM_API0007200_t1 | gene=PVPAM_API0007200 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000015:9513-10742(+) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722048.1         -            456 6012at5820           -            105   5.9e-05   21.7   0.1   1   1   1.8e-07   0.00014   20.4   0.1    33    60    70    97    62   114 0.85 | transcript=PVPAM_120028600_t1 | gene=PVPAM_120028600 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:912230-913600(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 6012at5820           -            105    0.0026   16.4   0.0   1   1   5.9e-06    0.0048   15.5   0.0    35    79     3    51     1    62 0.80 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723402.1         -            771 6012at5820           -            105     0.033   12.9   0.1   1   1   0.00013      0.11   11.2   0.1    29    56   103   130    93   166 0.70 | transcript=PVPAM_140032400_t1 | gene=PVPAM_140032400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=CASCJQ010000014:1182290-1184605(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722375.1         -            832 6012at5820           -            105     0.042   12.5   0.1   1   1   0.00016      0.13   11.0   0.1    34    66    18    51     6    76 0.65 | transcript=PVPAM_120061100_t1 | gene=PVPAM_120061100 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=CASCJQ010000012:2280969-2283467(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721286.1         -            443 6012at5820           -            105      0.07   11.8   1.1   1   2   0.00052      0.42    9.3   0.5    33    55     5    28     2    57 0.71 | transcript=PVPAM_110018800_t1 | gene=PVPAM_110018800 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:582675-584006(-) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721286.1         -            443 6012at5820           -            105      0.07   11.8   1.1   2   2      0.93   7.5e+02   -1.2   0.0    62    75    62    75    59    80 0.85 | transcript=PVPAM_110018800_t1 | gene=PVPAM_110018800 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:582675-584006(-) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721287.1         -            443 6012at5820           -            105      0.07   11.8   1.1   1   2   0.00052      0.42    9.3   0.5    33    55     5    28     2    57 0.71 | transcript=PVPAM_110018900_t1 | gene=PVPAM_110018900 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:585419-586750(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721287.1         -            443 6012at5820           -            105      0.07   11.8   1.1   2   2      0.93   7.5e+02   -1.2   0.0    62    75    62    75    59    80 0.85 | transcript=PVPAM_110018900_t1 | gene=PVPAM_110018900 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:585419-586750(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
