#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721175.1         -            619 3836at5820           -            588         0 1318.1  16.7   1   1         0         0 1317.8  16.7     1   588     1   612     1   612 0.98 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 3836at5820           -            588   1.4e-11   42.1  11.6   1   3     0.014       8.8    3.1   0.1   115   133   210   228   189   241 0.84 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 3836at5820           -            588   1.4e-11   42.1  11.6   2   3   8.1e-06    0.0053   13.8   0.2   452   529   358   431   343   447 0.70 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 3836at5820           -            588   1.4e-11   42.1  11.6   3   3   2.2e-10   1.4e-07   28.8   3.4   373   527   606   762   590   771 0.65 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 3836at5820           -            588   6.6e-10   36.6  11.5   1   5      0.43   2.8e+02   -1.8   1.4    64   141   200   278   194   292 0.75 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 3836at5820           -            588   6.6e-10   36.6  11.5   2   5     0.025        16    2.3   0.0   366   396   408   438   327   463 0.77 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 3836at5820           -            588   6.6e-10   36.6  11.5   3   5   1.1e-07     7e-05   20.0   0.2   454   524   576   646   559   663 0.68 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 3836at5820           -            588   6.6e-10   36.6  11.5   4   5      0.67   4.3e+02   -2.4   0.0   372   391  1195  1214  1184  1239 0.76 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 3836at5820           -            588   6.6e-10   36.6  11.5   5   5   2.9e-07   0.00019   18.6   0.0   457   533  1356  1431  1344  1448 0.91 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722809.1         -            257 3836at5820           -            588   9.3e-08   29.5   1.4   1   1   2.4e-10   1.6e-07   28.7   1.4   348   529    12   202     6   229 0.69 | transcript=PVPAM_130031000_t1 | gene=PVPAM_130031000 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=CASCJQ010000013:1173066-1174701(+) | protein_length=257 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 3836at5820           -            588     1e-06   26.0  11.9   1   3   6.7e-07   0.00043   17.4   0.0   368   397   833   862   812   869 0.85 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 3836at5820           -            588     1e-06   26.0  11.9   2   3   4.6e-05      0.03   11.3   2.3   200   523   971  1048   935  1074 0.66 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 3836at5820           -            588     1e-06   26.0  11.9   3   3     0.032        21    1.9   0.5   456   505  2218  2267  2185  2272 0.85 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
