#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721362.1         -           1870 766at5820            -           1071         0 2151.7 136.1   1   5   2.8e-10     2e-07   27.9   7.3     4    80    16    96    11   102 0.73 | transcript=PVPAM_110026500_t1 | gene=PVPAM_110026500 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000011:940543-946155(-) | protein_length=1870 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721362.1         -           1870 766at5820            -           1071         0 2151.7 136.1   2   5  2.3e-173  1.6e-170  567.9  37.4     5   334   150   511   145   527 0.91 | transcript=PVPAM_110026500_t1 | gene=PVPAM_110026500 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000011:940543-946155(-) | protein_length=1870 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721362.1         -           1870 766at5820            -           1071         0 2151.7 136.1   3   5   5.3e-26   3.8e-23   79.9   4.3   325   378   580   633   556   654 0.84 | transcript=PVPAM_110026500_t1 | gene=PVPAM_110026500 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000011:940543-946155(-) | protein_length=1870 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721362.1         -           1870 766at5820            -           1071         0 2151.7 136.1   4   5  1.8e-173  1.3e-170  568.2  20.9   372   653   986  1270   918  1282 0.95 | transcript=PVPAM_110026500_t1 | gene=PVPAM_110026500 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000011:940543-946155(-) | protein_length=1870 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721362.1         -           1870 766at5820            -           1071         0 2151.7 136.1   5   5    2e-283  1.4e-280  932.3  34.1   653  1066  1441  1854  1422  1864 0.97 | transcript=PVPAM_110026500_t1 | gene=PVPAM_110026500 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000011:940543-946155(-) | protein_length=1870 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 766at5820            -           1071   9.3e-14   48.8   1.0   1   3   8.1e-13   5.8e-10   36.3   0.1   858   992   384   519   374   520 0.88 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 766at5820            -           1071   9.3e-14   48.8   1.0   2   3   1.2e-06   0.00087   15.8   0.1   858   916   487   545   457   556 0.80 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 766at5820            -           1071   9.3e-14   48.8   1.0   3   3   0.00015      0.11    8.9   0.1   786   890   583   682   576   695 0.77 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720005.1         -            188 766at5820            -           1071   4.8e-11   39.9   0.4   1   1   8.6e-14   6.1e-11   39.5   0.4   846   928    62   143    18   173 0.77 | transcript=PVPAM_080022700_t1 | gene=PVPAM_080022700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000008:822474-824204(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723793.1         -            309 766at5820            -           1071   7.6e-08   29.3  14.6   1   1   1.5e-10   1.1e-07   28.8  14.6   848   970    57   177    53   195 0.83 | transcript=PVPAM_140071600_t1 | gene=PVPAM_140071600 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:2831477-2832406(+) | protein_length=309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723305.1         -            400 766at5820            -           1071   6.9e-07   26.1   5.1   1   4      0.15   1.1e+02   -1.1   0.2   880   933    25    79     3    86 0.54 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723305.1         -            400 766at5820            -           1071   6.9e-07   26.1   5.1   2   4   9.7e-10   6.9e-07   26.1   5.1   871   953    86   167    81   174 0.93 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723305.1         -            400 766at5820            -           1071   6.9e-07   26.1   5.1   3   4     0.005       3.6    3.9   8.4   857   934   171   250   167   275 0.71 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723305.1         -            400 766at5820            -           1071   6.9e-07   26.1   5.1   4   4       0.3   2.2e+02   -2.0   3.4    63   119   243   306   238   343 0.56 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720473.1         -            366 766at5820            -           1071   7.7e-07   25.9   0.1   1   1   1.6e-09   1.1e-06   25.4   0.1   849   921   278   349   255   355 0.84 | transcript=PVPAM_090023800_t1 | gene=PVPAM_090023800 | organism=Plasmodium_vivax_PAM | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=CASCJQ010000009:865505-866605(-) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 766at5820            -           1071   1.4e-06   25.0   1.5   1   1   3.2e-09   2.3e-06   24.4   1.5   842   992    41   191     7   207 0.86 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 766at5820            -           1071   3.7e-06   23.7   1.8   1   5   5.2e-09   3.7e-06   23.7   1.8   869   993  1058  1189  1047  1200 0.82 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 766at5820            -           1071   3.7e-06   23.7   1.8   2   5   0.00042       0.3    7.4   0.3   861   919  1159  1218  1152  1223 0.86 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 766at5820            -           1071   3.7e-06   23.7   1.8   3   5   0.00051      0.36    7.2   0.3   835   907  1201  1272  1192  1293 0.55 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 766at5820            -           1071   3.7e-06   23.7   1.8   4   5       1.7   1.2e+03   -4.5   2.7   636   656  1647  1667  1628  1684 0.59 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 766at5820            -           1071   3.7e-06   23.7   1.8   5   5      0.83   5.9e+02   -3.5   0.1   302   346  1791  1835  1782  1838 0.85 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718773.1         -            185 766at5820            -           1071   8.2e-05   19.2   6.9   1   1   1.4e-07    0.0001   18.9   6.9   858   993    14   147     2   156 0.73 | transcript=PVPAM_050016700_t1 | gene=PVPAM_050016700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000005:539579-541022(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
