#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722854.1         -           2353 437at5820            -           1488         0 1829.6  69.1   1  17   2.5e-18   7.9e-15   52.1   0.0    13    94    34   132     9   135 0.82 | transcript=PVPAM_130035600_t1 | gene=PVPAM_130035600 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=CASCJQ010000013:1368692-1375753(-) | protein_length=2353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722854.1         -           2353 437at5820            -           1488         0 1829.6  69.1   2  17   1.8e-06     0.006   12.8   0.0    93   125   155   187   153   192 0.92 | transcript=PVPAM_130035600_t1 | gene=PVPAM_130035600 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=CASCJQ010000013:1368692-1375753(-) | protein_length=2353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722854.1         -           2353 437at5820            -           1488         0 1829.6  69.1   3  17    0.0079        26    0.7   0.0   131   149   253   271   244   276 0.82 | transcript=PVPAM_130035600_t1 | gene=PVPAM_130035600 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=CASCJQ010000013:1368692-1375753(-) | protein_length=2353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722854.1         -           2353 437at5820            -           1488         0 1829.6  69.1   4  17   7.8e-21   2.5e-17   60.4   0.0   147   206   322   382   316   384 0.94 | transcript=PVPAM_130035600_t1 | gene=PVPAM_130035600 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=CASCJQ010000013:1368692-1375753(-) | protein_length=2353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722854.1         -           2353 437at5820            -           1488         0 1829.6  69.1   5  17   2.5e-26   8.1e-23   78.6   0.5   212   278   483   549   470   558 0.91 | transcript=PVPAM_130035600_t1 | gene=PVPAM_130035600 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=CASCJQ010000013:1368692-1375753(-) | protein_length=2353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722854.1         -           2353 437at5820            -           1488         0 1829.6  69.1   6  17   3.9e-23   1.3e-19   68.0   0.0   280   328   580   628   577   631 0.95 | transcript=PVPAM_130035600_t1 | gene=PVPAM_130035600 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=CASCJQ010000013:1368692-1375753(-) | protein_length=2353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722854.1         -           2353 437at5820            -           1488         0 1829.6  69.1   7  17   5.4e-20   1.7e-16   57.6   0.0   329   386   685   752   679   761 0.82 | transcript=PVPAM_130035600_t1 | gene=PVPAM_130035600 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=CASCJQ010000013:1368692-1375753(-) | protein_length=2353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722854.1         -           2353 437at5820            -           1488         0 1829.6  69.1   8  17   2.5e-38     8e-35  118.4   0.0   382   469   781   872   778   878 0.93 | transcript=PVPAM_130035600_t1 | gene=PVPAM_130035600 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=CASCJQ010000013:1368692-1375753(-) | protein_length=2353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722854.1         -           2353 437at5820            -           1488         0 1829.6  69.1   9  17   4.3e-40   1.4e-36  124.2   0.1   470   587   904  1041   896  1104 0.79 | transcript=PVPAM_130035600_t1 | gene=PVPAM_130035600 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=CASCJQ010000013:1368692-1375753(-) | protein_length=2353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722854.1         -           2353 437at5820            -           1488         0 1829.6  69.1  10  17     0.036   1.2e+02   -1.4   0.0   621   653  1150  1191  1145  1197 0.75 | transcript=PVPAM_130035600_t1 | gene=PVPAM_130035600 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=CASCJQ010000013:1368692-1375753(-) | protein_length=2353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722854.1         -           2353 437at5820            -           1488         0 1829.6  69.1  11  17   1.9e-07    0.0006   16.1   0.0   653   700  1222  1277  1212  1288 0.74 | transcript=PVPAM_130035600_t1 | gene=PVPAM_130035600 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=CASCJQ010000013:1368692-1375753(-) | protein_length=2353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
