#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718086.1         -            353 7798at5820           -            253  3.1e-109  362.8  22.5   1   1    1e-111  7.4e-109  361.5  22.5     8   252    55   345    34   346 0.86 | transcript=PVPAM_030008200_t1 | gene=PVPAM_030008200 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P36, putative | transcript_product=6-cysteine protein P36, putative | location=CASCJQ010000003:158668-159729(-) | protein_length=353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 7798at5820           -            253   2.8e-43  146.7  59.1   1   9    0.0014      0.99    7.3   0.6    93   191   391   492   361   551 0.63 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 7798at5820           -            253   2.8e-43  146.7  59.1   2   9   2.9e-13   2.1e-10   39.0   3.0    65   244   739   925   730   933 0.73 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 7798at5820           -            253   2.8e-43  146.7  59.1   3   9   2.8e-09     2e-06   25.9   2.1    90   243  1073  1219  1067  1222 0.71 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 7798at5820           -            253   2.8e-43  146.7  59.1   4   9   8.9e-07   0.00064   17.8   0.6    30   155  1140  1266  1135  1278 0.75 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 7798at5820           -            253   2.8e-43  146.7  59.1   5   9   2.5e-10   1.8e-07   29.4   1.3   105   242  1540  1676  1492  1680 0.67 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 7798at5820           -            253   2.8e-43  146.7  59.1   6   9   1.2e-08   8.8e-06   23.9   0.1   125   206  1848  1927  1829  1949 0.82 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 7798at5820           -            253   2.8e-43  146.7  59.1   7   9      0.84     6e+02   -1.8   0.0   155   178  2119  2142  2101  2162 0.77 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 7798at5820           -            253   2.8e-43  146.7  59.1   8   9     2e-12   1.5e-09   36.2   2.0    64   243  2222  2435  2196  2445 0.63 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 7798at5820           -            253   2.8e-43  146.7  59.1   9   9   1.7e-05     0.012   13.5   4.5    43   202  2503  2676  2472  2723 0.68 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 7798at5820           -            253   1.8e-33  114.6  54.9   1   7     0.025        18    3.2   0.0   102   191   209   296   194   305 0.78 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 7798at5820           -            253   1.8e-33  114.6  54.9   2   7     9e-05     0.065   11.2   0.5   105   192   481   566   453   584 0.82 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 7798at5820           -            253   1.8e-33  114.6  54.9   3   7      0.22   1.6e+02    0.1   0.0   138   187   657   705   652   722 0.68 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
