#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718093.1         -            384 9330at5820           -            298  1.2e-143  476.4  25.1   1   2   7.7e-66   5.5e-63  211.5  10.6     1   156     1   192     1   194 0.92 | transcript=PVPAM_030008900_t1 | gene=PVPAM_030008900 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=CASCJQ010000003:192953-194107(-) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718093.1         -            384 9330at5820           -            298  1.2e-143  476.4  25.1   2   2   1.8e-82   1.3e-79  266.2   6.4   147   298   226   382   203   382 0.94 | transcript=PVPAM_030008900_t1 | gene=PVPAM_030008900 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=CASCJQ010000003:192953-194107(-) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 9330at5820           -            298   1.7e-74  249.3 104.4   1  18   3.5e-07   0.00025   18.9  10.3    18   278   282   554   276   565 0.72 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 9330at5820           -            298   1.7e-74  249.3 104.4   2  18      0.13        90    0.7   1.9    18    66   592   641   580   670 0.62 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 9330at5820           -            298   1.7e-74  249.3 104.4   3  18   2.3e-22   1.6e-19   68.8   2.2   154   280   793   932   784   948 0.79 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 9330at5820           -            298   1.7e-74  249.3 104.4   4  18      0.51   3.6e+02   -1.3   0.1    32    79   983  1032   978  1046 0.74 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 9330at5820           -            298   1.7e-74  249.3 104.4   5  18   5.9e-13   4.2e-10   37.9   1.7   159   274  1111  1221  1065  1228 0.87 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 9330at5820           -            298   1.7e-74  249.3 104.4   6  18    0.0074       5.3    4.7   0.1    13    60  1374  1427  1364  1445 0.75 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 9330at5820           -            298   1.7e-74  249.3 104.4   7  18      0.39   2.8e+02   -0.9   0.0    97   120  1526  1549  1521  1556 0.84 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 9330at5820           -            298   1.7e-74  249.3 104.4   8  18     2e-17   1.5e-14   52.5   5.6   151   291  1554  1696  1532  1701 0.85 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 9330at5820           -            298   1.7e-74  249.3 104.4   9  18     0.057        41    1.8   0.1    16    58  1707  1752  1700  1801 0.75 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
