#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722349.1         -            266 13542at5820          -            209  1.2e-121  402.6  24.7   1   2  1.5e-124  1.2e-121  402.6  24.7     1   201     1   216     1   225 0.93 | transcript=PVPAM_120058500_t1 | gene=PVPAM_120058500 | organism=Plasmodium_vivax_PAM | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=CASCJQ010000012:2161122-2162595(-) | protein_length=266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722349.1         -            266 13542at5820          -            209  1.2e-121  402.6  24.7   2   2      0.57   4.6e+02   -1.1   0.7   196   202   235   241   213   266 0.47 | transcript=PVPAM_120058500_t1 | gene=PVPAM_120058500 | organism=Plasmodium_vivax_PAM | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=CASCJQ010000012:2161122-2162595(-) | protein_length=266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720480.1         -            856 13542at5820          -            209     0.014   13.7   0.1   1   6      0.23   1.9e+02    0.2   0.0   142   181   185   223   170   272 0.74 | transcript=PVPAM_090024500_t1 | gene=PVPAM_090024500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:891611-894275(+) | protein_length=856 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720480.1         -            856 13542at5820          -            209     0.014   13.7   0.1   2   6      0.32   2.6e+02   -0.3   0.2   121   139   467   485   453   521 0.56 | transcript=PVPAM_090024500_t1 | gene=PVPAM_090024500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:891611-894275(+) | protein_length=856 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720480.1         -            856 13542at5820          -            209     0.014   13.7   0.1   3   6   1.7e-05     0.014   13.7   0.1   128   181   520   569   504   575 0.80 | transcript=PVPAM_090024500_t1 | gene=PVPAM_090024500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:891611-894275(+) | protein_length=856 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720480.1         -            856 13542at5820          -            209     0.014   13.7   0.1   4   6     0.001      0.83    7.9   2.6   116   176   580   642   572   650 0.66 | transcript=PVPAM_090024500_t1 | gene=PVPAM_090024500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:891611-894275(+) | protein_length=856 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720480.1         -            856 13542at5820          -            209     0.014   13.7   0.1   5   6       3.7     3e+03   -3.8  10.6   111   170   657   694   642   749 0.46 | transcript=PVPAM_090024500_t1 | gene=PVPAM_090024500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:891611-894275(+) | protein_length=856 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720480.1         -            856 13542at5820          -            209     0.014   13.7   0.1   6   6    0.0013       1.1    7.5   1.0   148   185   797   835   769   845 0.66 | transcript=PVPAM_090024500_t1 | gene=PVPAM_090024500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:891611-894275(+) | protein_length=856 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723790.1         -            515 13542at5820          -            209     0.027   12.7  12.0   1   1   0.00011     0.088   11.1  12.0    12   105   181   272   177   288 0.86 | transcript=PVPAM_140071300_t1 | gene=PVPAM_140071300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2816008-2819070(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722202.1         -             72 13542at5820          -            209     0.034   12.4  13.6   1   1   4.7e-05     0.038   12.2  13.6   114   154     9    50     1    63 0.75 | transcript=PVPAM_120044000_t1 | gene=PVPAM_120044000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:1552207-1552425(+) | protein_length=72 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717764.1         -           1000 13542at5820          -            209     0.035   12.4   0.2   1   1   8.8e-05     0.071   11.4   0.2   118   152   605   640   581   655 0.74 | transcript=PVPAM_010027800_t1 | gene=PVPAM_010027800 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1005291-1008466(+) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
