#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719945.1         -            748 5031at5820           -            588  4.3e-286  948.6  17.6   1   2  1.5e-146  1.6e-143  477.8   8.7    37   305   131   407    99   415 0.90 | transcript=PVPAM_080016800_t1 | gene=PVPAM_080016800 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000008:580038-582284(-) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719945.1         -            748 5031at5820           -            588  4.3e-286  948.6  17.6   2   2  4.5e-146  4.9e-143  476.2   1.5   309   588   441   748   435   748 0.96 | transcript=PVPAM_080016800_t1 | gene=PVPAM_080016800 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000008:580038-582284(-) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719304.1         -            886 5031at5820           -            588   1.2e-83  280.0  32.4   1   2   1.3e-54   1.4e-51  174.2  20.0    30   301   179   458   154   464 0.83 | transcript=PVPAM_060031100_t1 | gene=PVPAM_060031100 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000006:1063954-1066614(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719304.1         -            886 5031at5820           -            588   1.2e-83  280.0  32.4   2   2   1.2e-35   1.3e-32  111.6   4.6   340   566   463   692   459   708 0.84 | transcript=PVPAM_060031100_t1 | gene=PVPAM_060031100 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000006:1063954-1066614(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 5031at5820           -            588   3.5e-12   44.1   3.6   1   2   1.4e-06    0.0015   15.6   0.2    75   149   148   220   129   320 0.80 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 5031at5820           -            588   3.5e-12   44.1   3.6   2   2   1.2e-10   1.3e-07   29.0   0.3   379   441   898   960   894   968 0.92 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722025.1         -           1206 5031at5820           -            588   8.5e-11   39.5  23.6   1   2   3.7e-05     0.039   10.9   3.2    55   206    91   258    57   264 0.62 | transcript=PVPAM_120026400_t1 | gene=PVPAM_120026400 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000012:849343-852963(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722025.1         -           1206 5031at5820           -            588   8.5e-11   39.5  23.6   2   2   3.8e-11     4e-08   30.7  12.5   238   559   547   905   531   916 0.68 | transcript=PVPAM_120026400_t1 | gene=PVPAM_120026400 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000012:849343-852963(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 5031at5820           -            588   6.5e-09   33.3   9.7   1   3   4.4e-09   4.7e-06   23.9   0.5    48   134   172   254   150   259 0.72 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 5031at5820           -            588   6.5e-09   33.3   9.7   2   3     0.072        78    0.0   0.5   222   280   800   856   788   895 0.63 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 5031at5820           -            588   6.5e-09   33.3   9.7   3   3   7.6e-06    0.0082   13.2   0.1   375   402  1115  1143  1108  1146 0.79 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
