#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720466.1         -           1323 1582at5820           -           1005         0 1873.4  59.1   1   6  7.3e-161  1.6e-157  524.5  10.7     1   242     1   243     1   245 0.99 | transcript=PVPAM_090023100_t1 | gene=PVPAM_090023100 | organism=Plasmodium_vivax_PAM | gene_product=insulinase, putative | transcript_product=insulinase, putative | location=CASCJQ010000009:841451-845422(+) | protein_length=1323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720466.1         -           1323 1582at5820           -           1005         0 1873.4  59.1   2   6   3.9e-70   8.4e-67  224.2   0.0   238   368   267   402   258   410 0.93 | transcript=PVPAM_090023100_t1 | gene=PVPAM_090023100 | organism=Plasmodium_vivax_PAM | gene_product=insulinase, putative | transcript_product=insulinase, putative | location=CASCJQ010000009:841451-845422(+) | protein_length=1323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720466.1         -           1323 1582at5820           -           1005         0 1873.4  59.1   3   6   5.6e-98   1.2e-94  316.4   9.4   353   532   437   620   433   625 0.97 | transcript=PVPAM_090023100_t1 | gene=PVPAM_090023100 | organism=Plasmodium_vivax_PAM | gene_product=insulinase, putative | transcript_product=insulinase, putative | location=CASCJQ010000009:841451-845422(+) | protein_length=1323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720466.1         -           1323 1582at5820           -           1005         0 1873.4  59.1   4   6    5e-130  1.1e-126  422.4   3.9   527   760   653   891   633   918 0.92 | transcript=PVPAM_090023100_t1 | gene=PVPAM_090023100 | organism=Plasmodium_vivax_PAM | gene_product=insulinase, putative | transcript_product=insulinase, putative | location=CASCJQ010000009:841451-845422(+) | protein_length=1323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720466.1         -           1323 1582at5820           -           1005         0 1873.4  59.1   5   6  1.5e-125  3.2e-122  407.7   3.5   753   993   963  1231   956  1238 0.93 | transcript=PVPAM_090023100_t1 | gene=PVPAM_090023100 | organism=Plasmodium_vivax_PAM | gene_product=insulinase, putative | transcript_product=insulinase, putative | location=CASCJQ010000009:841451-845422(+) | protein_length=1323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720466.1         -           1323 1582at5820           -           1005         0 1873.4  59.1   6   6     0.014        30    0.6   0.3   988  1005  1305  1322  1300  1322 0.87 | transcript=PVPAM_090023100_t1 | gene=PVPAM_090023100 | organism=Plasmodium_vivax_PAM | gene_product=insulinase, putative | transcript_product=insulinase, putative | location=CASCJQ010000009:841451-845422(+) | protein_length=1323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721250.1         -           1153 1582at5820           -           1005   5.8e-11   39.3  31.0   1   1   1.5e-13   3.3e-10   36.9  31.0    45   498   114   607    87   629 0.73 | transcript=PVPAM_110015200_t1 | gene=PVPAM_110015200 | organism=Plasmodium_vivax_PAM | gene_product=falcilysin, putative | transcript_product=falcilysin, putative | location=CASCJQ010000011:403956-407417(-) | protein_length=1153 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719785.1         -            467 1582at5820           -           1005   2.4e-06   24.0   1.5   1   2   4.3e-09   9.3e-06   22.1   0.3    49   230    59   226    36   295 0.84 | transcript=PVPAM_070039900_t1 | gene=PVPAM_070039900 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial-processing peptidase subunit beta, putative | transcript_product=mitochondrial-processing peptidase subunit beta, putative | location=CASCJQ010000007:1445628-1447031(-) | protein_length=467 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719785.1         -            467 1582at5820           -           1005   2.4e-06   24.0   1.5   2   2     0.011        24    0.9   0.0   878   943   369   437   344   449 0.83 | transcript=PVPAM_070039900_t1 | gene=PVPAM_070039900 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial-processing peptidase subunit beta, putative | transcript_product=mitochondrial-processing peptidase subunit beta, putative | location=CASCJQ010000007:1445628-1447031(-) | protein_length=467 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1582at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1582at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1582at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:35 2026
# [ok]
