#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723469.1         -           1226 2022at5820           -            968         0 1830.0 148.6   1   5   4.6e-47   5.9e-44  148.9   9.1     1    87     1    87     1   105 0.88 | transcript=PVPAM_140039100_t1 | gene=PVPAM_140039100 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:1477856-1483037(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723469.1         -           1226 2022at5820           -            968         0 1830.0 148.6   2   5  1.8e-198  2.3e-195  650.1  52.8    79   419   121   474   113   482 0.96 | transcript=PVPAM_140039100_t1 | gene=PVPAM_140039100 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:1477856-1483037(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723469.1         -           1226 2022at5820           -            968         0 1830.0 148.6   3   5   0.00012      0.16    8.5   2.4   418   448   512   545   503   566 0.78 | transcript=PVPAM_140039100_t1 | gene=PVPAM_140039100 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:1477856-1483037(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723469.1         -           1226 2022at5820           -            968         0 1830.0 148.6   4   5    3e-174  3.8e-171  569.9  33.9   444   758   591   959   579   973 0.96 | transcript=PVPAM_140039100_t1 | gene=PVPAM_140039100 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:1477856-1483037(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723469.1         -           1226 2022at5820           -            968         0 1830.0 148.6   5   5  3.1e-146  4.1e-143  477.1  18.7   756   968  1014  1226  1006  1226 0.99 | transcript=PVPAM_140039100_t1 | gene=PVPAM_140039100 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:1477856-1483037(+) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719661.1         -            846 2022at5820           -            968   1.9e-21   74.5  36.5   1   2   5.8e-11   7.5e-08   29.4  25.9   478   730   421   659   397   663 0.79 | transcript=PVPAM_070027500_t1 | gene=PVPAM_070027500 | organism=Plasmodium_vivax_PAM | gene_product=dynein intermediate chain, putative | transcript_product=dynein intermediate chain, putative | location=CASCJQ010000007:984477-988108(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719661.1         -            846 2022at5820           -            968   1.9e-21   74.5  36.5   2   2   3.2e-17   4.2e-14   50.1   3.4   786   950   664   825   650   835 0.84 | transcript=PVPAM_070027500_t1 | gene=PVPAM_070027500 | organism=Plasmodium_vivax_PAM | gene_product=dynein intermediate chain, putative | transcript_product=dynein intermediate chain, putative | location=CASCJQ010000007:984477-988108(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722061.1         -            533 2022at5820           -            968   0.00014   18.6   9.7   1   3     0.083   1.1e+02   -0.9   0.0   878   894   279   295   244   327 0.73 | transcript=PVPAM_120029900_t1 | gene=PVPAM_120029900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=CASCJQ010000012:965657-967258(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722061.1         -            533 2022at5820           -            968   0.00014   18.6   9.7   2   3   3.4e-06    0.0044   13.6   0.9   850   898   328   379   310   382 0.83 | transcript=PVPAM_120029900_t1 | gene=PVPAM_120029900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=CASCJQ010000012:965657-967258(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722061.1         -            533 2022at5820           -            968   0.00014   18.6   9.7   3   3   9.9e-05      0.13    8.8   2.0   812   892   382   461   370   467 0.85 | transcript=PVPAM_120029900_t1 | gene=PVPAM_120029900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=CASCJQ010000012:965657-967258(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719156.1         -            725 2022at5820           -            968   0.00015   18.5   1.4   1   2   2.8e-05     0.036   10.6   0.0   553   647   377   470   357   504 0.86 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
