#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720828.1         -            250 10996at5820          -            217  1.5e-123  409.1  16.9   1   1    1e-125  7.3e-123  406.9  16.9     1   217    15   249    15   249 0.95 | transcript=PVPAM_100009300_t1 | gene=PVPAM_100009300 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000010:217576-219702(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 10996at5820          -            217   1.8e-39  134.3  73.8   1   9   1.1e-09   8.2e-07   27.5   8.2    48   163    76   190    62   192 0.80 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 10996at5820          -            217   1.8e-39  134.3  73.8   2   9   7.9e-09   5.7e-06   24.8   5.5    89   146   176   232   173   236 0.88 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 10996at5820          -            217   1.8e-39  134.3  73.8   3   9   8.9e-05     0.064   11.5   0.1    88   132   236   279   233   296 0.89 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 10996at5820          -            217   1.8e-39  134.3  73.8   4   9   9.6e-14   6.9e-11   40.9   5.8    74   186   291   408   285   413 0.83 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 10996at5820          -            217   1.8e-39  134.3  73.8   5   9   2.1e-05     0.015   13.6   0.6   110   149   711   751   703   757 0.83 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 10996at5820          -            217   1.8e-39  134.3  73.8   6   9     2e-06    0.0014   16.9   0.8   101   150   767   817   749   827 0.77 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 10996at5820          -            217   1.8e-39  134.3  73.8   7   9   7.2e-06    0.0052   15.1   4.8   114   150   904   941   893   965 0.79 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 10996at5820          -            217   1.8e-39  134.3  73.8   8   9   0.00011     0.079   11.2   3.7   104   150   956  1003   938  1013 0.79 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 10996at5820          -            217   1.8e-39  134.3  73.8   9   9   9.6e-05     0.069   11.4   0.1    96   138  1027  1069  1013  1078 0.85 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 10996at5820          -            217   2.3e-33  114.3  52.8   1   5   2.3e-11   1.7e-08   33.1  13.1    66   168   210   313   197   313 0.85 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
