#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722987.1         -           2384 588at5820            -           1267         0 2105.7 182.1   1  15  3.2e-185    1e-181  605.0   9.6     1   266    34   312    34   325 0.96 | transcript=PVPAM_130049300_t1 | gene=PVPAM_130049300 | organism=Plasmodium_vivax_PAM | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=CASCJQ010000013:1946377-1954371(+) | protein_length=2384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722987.1         -           2384 588at5820            -           1267         0 2105.7 182.1   2  15   4.6e-14   1.5e-10   38.0   1.6   263   328   393   481   388   484 0.83 | transcript=PVPAM_130049300_t1 | gene=PVPAM_130049300 | organism=Plasmodium_vivax_PAM | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=CASCJQ010000013:1946377-1954371(+) | protein_length=2384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722987.1         -           2384 588at5820            -           1267         0 2105.7 182.1   3  15   5.2e-56   1.7e-52  176.9   0.1   323   409   577   663   562   667 0.95 | transcript=PVPAM_130049300_t1 | gene=PVPAM_130049300 | organism=Plasmodium_vivax_PAM | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=CASCJQ010000013:1946377-1954371(+) | protein_length=2384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722987.1         -           2384 588at5820            -           1267         0 2105.7 182.1   4  15  1.8e-111  5.9e-108  360.6   7.9   407   596   686   873   678   890 0.92 | transcript=PVPAM_130049300_t1 | gene=PVPAM_130049300 | organism=Plasmodium_vivax_PAM | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=CASCJQ010000013:1946377-1954371(+) | protein_length=2384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722987.1         -           2384 588at5820            -           1267         0 2105.7 182.1   5  15     0.055   1.8e+02   -2.0   0.2   574   602   907   935   902   941 0.78 | transcript=PVPAM_130049300_t1 | gene=PVPAM_130049300 | organism=Plasmodium_vivax_PAM | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=CASCJQ010000013:1946377-1954371(+) | protein_length=2384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722987.1         -           2384 588at5820            -           1267         0 2105.7 182.1   6  15   6.2e-86     2e-82  276.1  25.7   595   802  1050  1256  1043  1271 0.86 | transcript=PVPAM_130049300_t1 | gene=PVPAM_130049300 | organism=Plasmodium_vivax_PAM | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=CASCJQ010000013:1946377-1954371(+) | protein_length=2384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722987.1         -           2384 588at5820            -           1267         0 2105.7 182.1   7  15   0.00036       1.2    5.2   0.0   737   771  1286  1320  1279  1339 0.83 | transcript=PVPAM_130049300_t1 | gene=PVPAM_130049300 | organism=Plasmodium_vivax_PAM | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=CASCJQ010000013:1946377-1954371(+) | protein_length=2384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722987.1         -           2384 588at5820            -           1267         0 2105.7 182.1   8  15   9.9e-27   3.2e-23   79.9  14.2   769   871  1421  1526  1415  1540 0.81 | transcript=PVPAM_130049300_t1 | gene=PVPAM_130049300 | organism=Plasmodium_vivax_PAM | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=CASCJQ010000013:1946377-1954371(+) | protein_length=2384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722987.1         -           2384 588at5820            -           1267         0 2105.7 182.1   9  15     0.026        82   -0.9  12.8   812   874  1532  1590  1525  1642 0.60 | transcript=PVPAM_130049300_t1 | gene=PVPAM_130049300 | organism=Plasmodium_vivax_PAM | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=CASCJQ010000013:1946377-1954371(+) | protein_length=2384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722987.1         -           2384 588at5820            -           1267         0 2105.7 182.1  10  15   4.8e-29   1.6e-25   87.6   6.5   867   941  1671  1745  1653  1749 0.89 | transcript=PVPAM_130049300_t1 | gene=PVPAM_130049300 | organism=Plasmodium_vivax_PAM | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=CASCJQ010000013:1946377-1954371(+) | protein_length=2384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722987.1         -           2384 588at5820            -           1267         0 2105.7 182.1  11  15     0.082   2.7e+02   -2.6   0.7   749   780  1791  1822  1775  1845 0.44 | transcript=PVPAM_130049300_t1 | gene=PVPAM_130049300 | organism=Plasmodium_vivax_PAM | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=CASCJQ010000013:1946377-1954371(+) | protein_length=2384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722987.1         -           2384 588at5820            -           1267         0 2105.7 182.1  12  15   1.3e-23   4.1e-20   69.7   7.4   939   993  1856  1910  1848  1922 0.90 | transcript=PVPAM_130049300_t1 | gene=PVPAM_130049300 | organism=Plasmodium_vivax_PAM | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=CASCJQ010000013:1946377-1954371(+) | protein_length=2384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722987.1         -           2384 588at5820            -           1267         0 2105.7 182.1  13  15   1.6e-32   5.1e-29   99.1   2.7   990  1070  1962  2044  1939  2046 0.92 | transcript=PVPAM_130049300_t1 | gene=PVPAM_130049300 | organism=Plasmodium_vivax_PAM | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=CASCJQ010000013:1946377-1954371(+) | protein_length=2384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722987.1         -           2384 588at5820            -           1267         0 2105.7 182.1  14  15   2.6e-78   8.4e-75  250.8   2.3  1067  1199  2118  2253  2112  2263 0.95 | transcript=PVPAM_130049300_t1 | gene=PVPAM_130049300 | organism=Plasmodium_vivax_PAM | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=CASCJQ010000013:1946377-1954371(+) | protein_length=2384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722987.1         -           2384 588at5820            -           1267         0 2105.7 182.1  15  15   9.4e-41     3e-37  126.4   0.1  1196  1267  2313  2384  2304  2384 0.97 | transcript=PVPAM_130049300_t1 | gene=PVPAM_130049300 | organism=Plasmodium_vivax_PAM | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=CASCJQ010000013:1946377-1954371(+) | protein_length=2384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723457.1         -            958 588at5820            -           1267   1.4e-24   84.4  11.4   1   2      0.55   1.8e+03   -5.3   2.8   794   822   147   175    75   212 0.53 | transcript=PVPAM_140037900_t1 | gene=PVPAM_140037900 | organism=Plasmodium_vivax_PAM | gene_product=ABC1 family, putative | transcript_product=ABC1 family, putative | location=CASCJQ010000014:1414864-1417740(-) | protein_length=958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723457.1         -            958 588at5820            -           1267   1.4e-24   84.4  11.4   2   2   4.4e-28   1.4e-24   84.4  11.4    18   320   564   864   559   902 0.76 | transcript=PVPAM_140037900_t1 | gene=PVPAM_140037900 | organism=Plasmodium_vivax_PAM | gene_product=ABC1 family, putative | transcript_product=ABC1 family, putative | location=CASCJQ010000014:1414864-1417740(-) | protein_length=958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/588at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/588at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/588at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:56 2026
# [ok]
