#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723791.1         -           1477 2950at5820           -            863         0 1482.0 110.7   1   6  1.7e-213  1.1e-210  700.5  31.7     5   361    52   435    48   438 0.93 | transcript=PVPAM_140071400_t1 | gene=PVPAM_140071400 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=CASCJQ010000014:2819539-2823972(-) | protein_length=1477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723791.1         -           1477 2950at5820           -            863         0 1482.0 110.7   2   6   1.2e-99   7.6e-97  323.8  10.5   362   534   503   691   501   696 0.92 | transcript=PVPAM_140071400_t1 | gene=PVPAM_140071400 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=CASCJQ010000014:2819539-2823972(-) | protein_length=1477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723791.1         -           1477 2950at5820           -            863         0 1482.0 110.7   3   6   4.3e-25   2.8e-22   77.2   3.8   527   583   762   826   758   833 0.89 | transcript=PVPAM_140071400_t1 | gene=PVPAM_140071400 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=CASCJQ010000014:2819539-2823972(-) | protein_length=1477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723791.1         -           1477 2950at5820           -            863         0 1482.0 110.7   4   6   4.5e-56   2.9e-53  179.6  13.4   578   678   921  1021   911  1040 0.93 | transcript=PVPAM_140071400_t1 | gene=PVPAM_140071400 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=CASCJQ010000014:2819539-2823972(-) | protein_length=1477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723791.1         -           1477 2950at5820           -            863         0 1482.0 110.7   5   6   1.1e-16   6.8e-14   49.4   0.2   699   758  1194  1271  1181  1280 0.78 | transcript=PVPAM_140071400_t1 | gene=PVPAM_140071400 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=CASCJQ010000014:2819539-2823972(-) | protein_length=1477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723791.1         -           1477 2950at5820           -            863         0 1482.0 110.7   6   6   6.5e-56   4.2e-53  179.1  14.5   753   863  1360  1473  1345  1473 0.94 | transcript=PVPAM_140071400_t1 | gene=PVPAM_140071400 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=CASCJQ010000014:2819539-2823972(-) | protein_length=1477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720108.1         -           1288 2950at5820           -            863   1.1e-44  151.3  23.5   1   2   2.8e-12   1.8e-09   34.8   1.1    52   144   511   611   490   620 0.77 | transcript=PVPAM_080033000_t1 | gene=PVPAM_080033000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=CASCJQ010000008:1268333-1272199(-) | protein_length=1288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720108.1         -           1288 2950at5820           -            863   1.1e-44  151.3  23.5   2   2   2.1e-38   1.3e-35  121.2  16.3   178   498   612   934   610   942 0.80 | transcript=PVPAM_080033000_t1 | gene=PVPAM_080033000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=CASCJQ010000008:1268333-1272199(-) | protein_length=1288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722755.1         -           1681 2950at5820           -            863   1.1e-39  134.7   9.5   1   5   6.6e-13   4.3e-10   36.8   0.1    70   143    78   151    47   154 0.92 | transcript=PVPAM_130025600_t1 | gene=PVPAM_130025600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=CASCJQ010000013:931940-937370(+) | protein_length=1681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722755.1         -           1681 2950at5820           -            863   1.1e-39  134.7   9.5   2   5   6.2e-35     4e-32  109.7   5.4   199   420   192   430   182   461 0.81 | transcript=PVPAM_130025600_t1 | gene=PVPAM_130025600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=CASCJQ010000013:931940-937370(+) | protein_length=1681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722755.1         -           1681 2950at5820           -            863   1.1e-39  134.7   9.5   3   5       4.5   2.9e+03   -5.6   2.7   788   817   855   884   852   896 0.55 | transcript=PVPAM_130025600_t1 | gene=PVPAM_130025600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=CASCJQ010000013:931940-937370(+) | protein_length=1681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722755.1         -           1681 2950at5820           -            863   1.1e-39  134.7   9.5   4   5        10   6.5e+03  -10.2  10.8   684   784  1108  1207  1059  1234 0.52 | transcript=PVPAM_130025600_t1 | gene=PVPAM_130025600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=CASCJQ010000013:931940-937370(+) | protein_length=1681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722755.1         -           1681 2950at5820           -            863   1.1e-39  134.7   9.5   5   5        10   6.5e+03  -21.7  22.9   682   826  1162  1312  1109  1356 0.40 | transcript=PVPAM_130025600_t1 | gene=PVPAM_130025600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=CASCJQ010000013:931940-937370(+) | protein_length=1681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 2950at5820           -            863   1.2e-38  131.3  14.0   1   4   1.1e-08   7.2e-06   22.8   2.3    52   144   782   888   762   891 0.68 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 2950at5820           -            863   1.2e-38  131.3  14.0   2   4   3.6e-39   2.3e-36  123.7   4.1   180   416   891  1122   888  1136 0.83 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 2950at5820           -            863   1.2e-38  131.3  14.0   3   4     0.017        11    2.4   1.0   480   524  1138  1185  1132  1198 0.79 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 2950at5820           -            863   1.2e-38  131.3  14.0   4   4      0.47     3e+02   -2.4   4.6   482   534  1282  1335  1255  1460 0.85 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
