#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3   1  21   0.00018       1.1    3.9   0.1     1    23     1    23     1    30 0.83 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3   2  21   0.00048       3.1    2.4   0.0    21    40    69    88    62    92 0.90 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3   3  21  1.4e-117  9.2e-114  379.2   9.6    41   249   170   383   167   385 0.99 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3   4  21   3.5e-34   2.2e-30  102.5   2.3   244   307   435   498   426   500 0.93 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3   5  21   6.2e-36     4e-32  108.3   0.3   302   379   610   687   598   693 0.94 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3   6  21    2e-210  1.3e-206  687.3  25.3   377   797   733  1184   729  1186 0.96 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3   7  21    2e-156  1.3e-152  508.1  20.9   796  1127  1266  1613  1259  1616 0.95 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3   8  21  4.9e-155  3.2e-151  503.5   2.2  1128  1522  1642  2121  1636  2124 0.86 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3   9  21   5.2e-50   3.4e-46  155.0   2.9  1522  1633  2208  2323  2204  2330 0.95 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3  10  21  4.3e-200  2.8e-196  653.0  23.0  1640  2109  2420  2959  2403  2961 0.88 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3  11  21   1.9e-42   1.2e-38  129.9   0.7  2109  2209  2993  3100  2974  3108 0.90 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3  12  21    0.0005       3.2    2.4   0.0  2199  2231  3124  3157  3116  3167 0.83 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3  13  21   1.2e-90   7.9e-87  289.8   3.8  2226  2492  3203  3502  3194  3507 0.86 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3  14  21   9.2e-34     6e-30  101.1   0.7  2493  2564  3561  3632  3556  3635 0.96 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3  15  21   3.4e-24   2.2e-20   69.3   0.0  2564  2636  3689  3769  3677  3780 0.90 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3  16  21   7.1e-36   4.6e-32  108.1   0.0  2649  2748  3837  3952  3824  3961 0.86 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3  17  21   6.5e-28   4.2e-24   81.7   2.6  2790  2889  4211  4336  4209  4345 0.87 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3  18  21   9.4e-51   6.1e-47  157.4   4.5  2885  3045  4381  4579  4379  4583 0.84 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3  19  21  1.3e-138  8.5e-135  449.0   0.0  3042  3356  4612  4943  4607  4946 0.94 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3  20  21   2.4e-11   1.5e-07   26.7   1.1  3354  3388  5028  5062  5018  5080 0.78 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719210.1         -           5182 70at5820             -           3440         0 4498.1 220.3  21  21   1.3e-21   8.2e-18   60.8   0.9  3376  3440  5109  5181  5107  5181 0.90 | transcript=PVPAM_060021700_t1 | gene=PVPAM_060021700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:722047-739293(-) | protein_length=5182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/70at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/70at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/70at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:55 2026
# [ok]
