#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722915.1         -            383 11338at5820          -            249  1.6e-100  334.2  37.4   1   4   1.2e-28     1e-25   89.1   0.1     3    53     1    51     1    57 0.95 | transcript=PVPAM_130041700_t1 | gene=PVPAM_130041700 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1624656-1625807(+) | protein_length=383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722915.1         -            383 11338at5820          -            249  1.6e-100  334.2  37.4   2   4   1.6e-28   1.3e-25   88.8   4.2    48   126    78   166    75   171 0.83 | transcript=PVPAM_130041700_t1 | gene=PVPAM_130041700 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1624656-1625807(+) | protein_length=383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722915.1         -            383 11338at5820          -            249  1.6e-100  334.2  37.4   3   4   3.8e-44     3e-41  140.0  16.6   104   228   195   342   188   348 0.82 | transcript=PVPAM_130041700_t1 | gene=PVPAM_130041700 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1624656-1625807(+) | protein_length=383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722915.1         -            383 11338at5820          -            249  1.6e-100  334.2  37.4   4   4   6.5e-07   0.00052   18.0   0.2   228   249   361   382   356   382 0.89 | transcript=PVPAM_130041700_t1 | gene=PVPAM_130041700 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1624656-1625807(+) | protein_length=383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 11338at5820          -            249   1.1e-07   30.1   0.4   1   1   2.5e-10     2e-07   29.2   0.4    11    81     1    74     1    82 0.80 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722769.1         -            421 11338at5820          -            249   5.7e-07   27.7   0.5   1   2     7e-10   5.7e-07   27.7   0.5    10    81    23    90    19   104 0.84 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722769.1         -            421 11338at5820          -            249   5.7e-07   27.7   0.5   2   2       1.1   9.1e+02   -2.4   2.0    95   130   352   365   329   407 0.51 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722759.1         -            245 11338at5820          -            249   2.4e-05   22.4   0.2   1   1   4.2e-08   3.4e-05   21.9   0.2    33    80    20    73     6    90 0.83 | transcript=PVPAM_130026000_t1 | gene=PVPAM_130026000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=CASCJQ010000013:953395-955087(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722526.1         -            406 11338at5820          -            249   2.6e-05   22.3   0.1   1   1   6.1e-08   4.9e-05   21.4   0.1    12    88    80   159    73   166 0.75 | transcript=PVPAM_120076500_t1 | gene=PVPAM_120076500 | organism=Plasmodium_vivax_PAM | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=CASCJQ010000012:3002108-3003951(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718015.1         -            420 11338at5820          -            249   2.6e-05   22.3   3.5   1   1   5.5e-08   4.4e-05   21.5   3.5    14   126    85   200    81   226 0.75 | transcript=PVPAM_020024800_t1 | gene=PVPAM_020024800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=CASCJQ010000002:857690-859715(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719632.1         -            378 11338at5820          -            249   0.00022   19.2   0.1   1   2   2.7e-07   0.00022   19.2   0.1    30    79    64   117    55   130 0.81 | transcript=PVPAM_070024600_t1 | gene=PVPAM_070024600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000007:878362-880295(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719632.1         -            378 11338at5820          -            249   0.00022   19.2   0.1   2   2       1.6   1.3e+03   -3.0   3.3    92   157   269   337   250   348 0.61 | transcript=PVPAM_070024600_t1 | gene=PVPAM_070024600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000007:878362-880295(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722051.1         -            334 11338at5820          -            249    0.0033   15.4   0.0   1   1     8e-06    0.0065   14.4   0.0    14    78    43   108    32   118 0.73 | transcript=PVPAM_120028900_t1 | gene=PVPAM_120028900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:922936-924975(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11338at5820.hmm
