#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722111.1         -           1064 2802at5820           -            850         0 1341.8  20.8   1   2  8.4e-250  1.8e-246  819.1  14.9     1   505     5   570     5   578 0.91 | transcript=PVPAM_120034900_t1 | gene=PVPAM_120034900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000012:1181547-1185857(+) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722111.1         -           1064 2802at5820           -            850         0 1341.8  20.8   2   2  2.7e-160  5.9e-157  522.9   0.3   517   838   653  1023   632  1033 0.87 | transcript=PVPAM_120034900_t1 | gene=PVPAM_120034900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000012:1181547-1185857(+) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723049.1         -           1103 2802at5820           -            850   6.7e-46  155.5  63.4   1   4    0.0025       5.3    3.7   0.1    25    90     9    78     5    82 0.64 | transcript=PVPAM_130055500_t1 | gene=PVPAM_130055500 | organism=Plasmodium_vivax_PAM | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=CASCJQ010000013:2244436-2247747(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723049.1         -           1103 2802at5820           -            850   6.7e-46  155.5  63.4   2   4   9.5e-09   2.1e-05   21.6   4.9   147   258    82   202    77   210 0.64 | transcript=PVPAM_130055500_t1 | gene=PVPAM_130055500 | organism=Plasmodium_vivax_PAM | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=CASCJQ010000013:2244436-2247747(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723049.1         -           1103 2802at5820           -            850   6.7e-46  155.5  63.4   3   4   1.4e-13   3.1e-10   37.6   1.9   298   379   212   297   201   321 0.81 | transcript=PVPAM_130055500_t1 | gene=PVPAM_130055500 | organism=Plasmodium_vivax_PAM | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=CASCJQ010000013:2244436-2247747(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723049.1         -           1103 2802at5820           -            850   6.7e-46  155.5  63.4   4   4     5e-34   1.1e-30  105.2  37.6   419   840   391   814   357   823 0.76 | transcript=PVPAM_130055500_t1 | gene=PVPAM_130055500 | organism=Plasmodium_vivax_PAM | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=CASCJQ010000013:2244436-2247747(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719790.1         -           1042 2802at5820           -            850   1.9e-18   64.7  35.4   1   4     0.026        56    0.3   0.0    62    86    34    58    15    76 0.78 | transcript=PVPAM_070040400_t1 | gene=PVPAM_070040400 | organism=Plasmodium_vivax_PAM | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=CASCJQ010000007:1457872-1461000(+) | protein_length=1042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719790.1         -           1042 2802at5820           -            850   1.9e-18   64.7  35.4   2   4      0.18   3.8e+02   -2.5   0.0   183   206    69    91    54    98 0.81 | transcript=PVPAM_070040400_t1 | gene=PVPAM_070040400 | organism=Plasmodium_vivax_PAM | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=CASCJQ010000007:1457872-1461000(+) | protein_length=1042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719790.1         -           1042 2802at5820           -            850   1.9e-18   64.7  35.4   3   4   2.7e-06    0.0057   13.5  17.6   217   379   167   372   153   402 0.62 | transcript=PVPAM_070040400_t1 | gene=PVPAM_070040400 | organism=Plasmodium_vivax_PAM | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=CASCJQ010000007:1457872-1461000(+) | protein_length=1042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719790.1         -           1042 2802at5820           -            850   1.9e-18   64.7  35.4   4   4   1.5e-18   3.1e-15   54.1   6.5   535   816   721   983   713  1010 0.84 | transcript=PVPAM_070040400_t1 | gene=PVPAM_070040400 | organism=Plasmodium_vivax_PAM | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=CASCJQ010000007:1457872-1461000(+) | protein_length=1042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2802at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
