#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722039.1         -            482 5740at5820           -            398  1.7e-190  631.8  45.4   1   1  3.5e-193  2.5e-190  631.2  45.4    10   380    24   414    20   425 0.94 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 5740at5820           -            398   1.8e-68  229.9  62.4   1   6   2.3e-21   1.7e-18   65.4  14.2   131   270    95   232    71   237 0.88 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 5740at5820           -            398   1.8e-68  229.9  62.4   2   6   1.5e-25   1.1e-22   79.3   3.7    76   252   226   410   222   416 0.86 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 5740at5820           -            398   1.8e-68  229.9  62.4   3   6   4.9e-11   3.5e-08   31.5   5.1   191   282   650   761   642   767 0.72 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 5740at5820           -            398   1.8e-68  229.9  62.4   4   6   2.4e-07   0.00017   19.3   0.1   166   210   771   814   764   822 0.62 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 5740at5820           -            398   1.8e-68  229.9  62.4   5   6   1.3e-16   9.7e-14   49.8   9.5   238   339   905  1006   900  1027 0.86 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 5740at5820           -            398   1.8e-68  229.9  62.4   6   6   8.6e-05     0.062   10.9   0.1   157   193  1027  1063  1020  1081 0.84 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 5740at5820           -            398   2.6e-59  199.8  72.1   1   4       3.6   2.6e+03   -4.3   2.1    51    70   113   132    66   151 0.52 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 5740at5820           -            398   2.6e-59  199.8  72.1   2   4   1.2e-23   8.7e-21   72.9  12.9    67   194   233   358   213   359 0.91 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 5740at5820           -            398   2.6e-59  199.8  72.1   3   4   1.9e-26   1.4e-23   82.2  24.3    71   266   302   497   302   506 0.89 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 5740at5820           -            398   2.6e-59  199.8  72.1   4   4   9.3e-24   6.7e-21   73.3  18.8    67   254   358   550   356   561 0.84 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
