#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722456.1         -           1309 1521at5820           -            931         0 1365.7  98.5   1   6   9.9e-25   1.5e-22   77.8   0.3     1    69     1    72     1   116 0.85 | transcript=PVPAM_120069300_t1 | gene=PVPAM_120069300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2628692-2632621(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722456.1         -           1309 1521at5820           -            931         0 1365.7  98.5   2   6   8.8e-78   1.3e-75  253.4  15.1    78   297   199   438   185   480 0.82 | transcript=PVPAM_120069300_t1 | gene=PVPAM_120069300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2628692-2632621(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722456.1         -           1309 1521at5820           -            931         0 1365.7  98.5   3   6   1.4e-59     2e-57  193.2  27.4   294   477   486   704   455   722 0.75 | transcript=PVPAM_120069300_t1 | gene=PVPAM_120069300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2628692-2632621(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722456.1         -           1309 1521at5820           -            931         0 1365.7  98.5   4   6   7.5e-34   1.1e-31  108.0   1.9   471   543   728   800   716   811 0.91 | transcript=PVPAM_120069300_t1 | gene=PVPAM_120069300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2628692-2632621(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722456.1         -           1309 1521at5820           -            931         0 1365.7  98.5   5   6   1.1e-83   1.7e-81  272.8  11.8   543   680   869  1007   864  1043 0.84 | transcript=PVPAM_120069300_t1 | gene=PVPAM_120069300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2628692-2632621(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722456.1         -           1309 1521at5820           -            931         0 1365.7  98.5   6   6  6.4e-148  9.4e-146  485.5   6.4   689   931  1059  1309  1045  1309 0.92 | transcript=PVPAM_120069300_t1 | gene=PVPAM_120069300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2628692-2632621(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 1521at5820           -            931     5e-23   79.3  20.4   1   2   9.4e-23   1.4e-20   71.3  16.4   469   783   512   792   473   810 0.80 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 1521at5820           -            931     5e-23   79.3  20.4   2   2   6.1e-07     9e-05   18.9   0.1   890   924   850   884   834   887 0.90 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721288.1         -            288 1521at5820           -            931   7.1e-21   72.2   1.3   1   3   4.6e-13   6.8e-11   39.2   0.9   587   667    55   135    45   146 0.90 | transcript=PVPAM_110019000_t1 | gene=PVPAM_110019000 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=CASCJQ010000011:587643-589375(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721288.1         -            288 1521at5820           -            931   7.1e-21   72.2   1.3   2   3   5.1e-07   7.5e-05   19.2   0.0   733   773   160   201   135   205 0.81 | transcript=PVPAM_110019000_t1 | gene=PVPAM_110019000 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=CASCJQ010000011:587643-589375(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721288.1         -            288 1521at5820           -            931   7.1e-21   72.2   1.3   3   3   0.00014     0.021   11.1   0.0   895   923   257   285   247   288 0.89 | transcript=PVPAM_110019000_t1 | gene=PVPAM_110019000 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=CASCJQ010000011:587643-589375(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722833.1         -            710 1521at5820           -            931   1.3e-20   71.3   6.2   1   3   1.5e-08   2.2e-06   24.2   4.7   591   668    77   154    69   177 0.87 | transcript=PVPAM_130033500_t1 | gene=PVPAM_130033500 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=CASCJQ010000013:1298190-1300322(+) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722833.1         -            710 1521at5820           -            931   1.3e-20   71.3   6.2   2   3   9.3e-12   1.4e-09   34.9   0.0   730   790   180   241   168   255 0.86 | transcript=PVPAM_130033500_t1 | gene=PVPAM_130033500 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=CASCJQ010000013:1298190-1300322(+) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722833.1         -            710 1521at5820           -            931   1.3e-20   71.3   6.2   3   3    0.0003     0.045   10.0   0.0   893   922   280   309   242   313 0.83 | transcript=PVPAM_130033500_t1 | gene=PVPAM_130033500 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=CASCJQ010000013:1298190-1300322(+) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721982.1         -            305 1521at5820           -            931   6.2e-20   69.1   5.9   1   3    0.0005     0.074    9.3   6.6   606   666    94   152    42   158 0.73 | transcript=PVPAM_120022100_t1 | gene=PVPAM_120022100 | organism=Plasmodium_vivax_PAM | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=CASCJQ010000012:719734-721835(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721982.1         -            305 1521at5820           -            931   6.2e-20   69.1   5.9   2   3   2.9e-15   4.2e-13   46.5   0.0   714   777   156   220   152   234 0.90 | transcript=PVPAM_120022100_t1 | gene=PVPAM_120022100 | organism=Plasmodium_vivax_PAM | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=CASCJQ010000012:719734-721835(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721982.1         -            305 1521at5820           -            931   6.2e-20   69.1   5.9   3   3   0.00054     0.079    9.2   0.0   890   922   261   293   250   296 0.84 | transcript=PVPAM_120022100_t1 | gene=PVPAM_120022100 | organism=Plasmodium_vivax_PAM | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=CASCJQ010000012:719734-721835(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723399.1         -            517 1521at5820           -            931   3.3e-19   66.7   4.6   1   2   7.3e-14   1.1e-11   41.8   2.1   593   767   272   453   256   456 0.70 | transcript=PVPAM_140032100_t1 | gene=PVPAM_140032100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000014:1174997-1177096(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723399.1         -            517 1521at5820           -            931   3.3e-19   66.7   4.6   2   2     1e-08   1.5e-06   24.8   0.0   897   923   485   511   475   515 0.92 | transcript=PVPAM_140032100_t1 | gene=PVPAM_140032100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000014:1174997-1177096(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720430.1         -            708 1521at5820           -            931   1.4e-18   64.6  45.5   1   3     4e-08   5.8e-06   22.9  20.9   351   668   232   512   218   512 0.74 | transcript=PVPAM_090019500_t1 | gene=PVPAM_090019500 | organism=Plasmodium_vivax_PAM | gene_product=cyclin-dependent-like kinase CLK3, putative | transcript_product=cyclin-dependent-like kinase CLK3, putative | location=CASCJQ010000009:701953-705776(+) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720430.1         -            708 1521at5820           -            931   1.4e-18   64.6  45.5   2   3   5.5e-16   8.1e-14   48.8   0.2   710   801   511   603   510   636 0.86 | transcript=PVPAM_090019500_t1 | gene=PVPAM_090019500 | organism=Plasmodium_vivax_PAM | gene_product=cyclin-dependent-like kinase CLK3, putative | transcript_product=cyclin-dependent-like kinase CLK3, putative | location=CASCJQ010000009:701953-705776(+) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720430.1         -            708 1521at5820           -            931   1.4e-18   64.6  45.5   3   3   0.00035     0.051    9.8   0.1   897   926   671   700   649   703 0.89 | transcript=PVPAM_090019500_t1 | gene=PVPAM_090019500 | organism=Plasmodium_vivax_PAM | gene_product=cyclin-dependent-like kinase CLK3, putative | transcript_product=cyclin-dependent-like kinase CLK3, putative | location=CASCJQ010000009:701953-705776(+) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 1521at5820           -            931   2.8e-16   57.0  13.2   1   3   6.3e-13   9.2e-11   38.7   4.4   585   668   121   204   104   207 0.87 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 1521at5820           -            931   2.8e-16   57.0  13.2   2   3   3.3e-08   4.9e-06   23.1   0.4   711   768   206   264   201   282 0.85 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 1521at5820           -            931   2.8e-16   57.0  13.2   3   3      0.49        72   -0.6   0.0   898   922   303   327   293   335 0.84 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720423.1         -            580 1521at5820           -            931   6.1e-15   52.6   5.5   1   2   5.2e-14   7.7e-12   42.3   4.1   605   767   252   398   226   407 0.73 | transcript=PVPAM_090018800_t1 | gene=PVPAM_090018800 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=CASCJQ010000009:677012-678754(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720423.1         -            580 1521at5820           -            931   6.1e-15   52.6   5.5   2   2      0.02         3    3.9   0.0   896   923   491   518   475   522 0.90 | transcript=PVPAM_090018800_t1 | gene=PVPAM_090018800 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=CASCJQ010000009:677012-678754(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720278.1         -           1391 1521at5820           -            931   8.8e-15   52.0  15.9   1   5       1.6   2.4e+02   -2.3   0.0   415   446    12    43     5    56 0.74 | transcript=PVPAM_080050100_t1 | gene=PVPAM_080050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000008:1953288-1957463(-) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720278.1         -           1391 1521at5820           -            931   8.8e-15   52.0  15.9   2   5   8.3e-07   0.00012   18.5   0.3   544   666    77   214    44   260 0.69 | transcript=PVPAM_080050100_t1 | gene=PVPAM_080050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000008:1953288-1957463(-) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720278.1         -           1391 1521at5820           -            931   8.8e-15   52.0  15.9   3   5       6.3   9.2e+02   -4.3   3.8    37   103   276   341   269   354 0.67 | transcript=PVPAM_080050100_t1 | gene=PVPAM_080050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000008:1953288-1957463(-) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
