#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721950.1         -            229 11171at5820          -            191  1.5e-125  414.8   1.7   1   1  4.9e-128  1.8e-125  414.5   1.7     1   185     1   185     1   208 0.97 | transcript=PVPAM_120018600_t1 | gene=PVPAM_120018600 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=CASCJQ010000012:585822-587159(+) | protein_length=229 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723372.1         -            216 11171at5820          -            191     3e-61  205.0   2.5   1   1   9.5e-64   3.6e-61  204.8   2.5     1   183     3   181     1   192 0.95 | transcript=PVPAM_140029100_t1 | gene=PVPAM_140029100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=CASCJQ010000014:1044385-1045933(+) | protein_length=216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723650.1         -            213 11171at5820          -            191   2.8e-47  159.5   0.1   1   1   8.9e-50   3.4e-47  159.2   0.1     6   181     4   173     1   183 0.96 | transcript=PVPAM_140057400_t1 | gene=PVPAM_140057400 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=CASCJQ010000014:2254682-2256145(+) | protein_length=213 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717749.1         -            201 11171at5820          -            191   7.9e-44  148.2   1.4   1   1   2.5e-46   9.6e-44  147.9   1.4     3   178     4   174     1   183 0.94 | transcript=PVPAM_010026300_t1 | gene=PVPAM_010026300 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=CASCJQ010000001:951416-952500(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721008.1         -            200 11171at5820          -            191   3.3e-43  146.2   2.1   1   1     1e-45   3.8e-43  146.0   2.1     3   179     2   173     1   186 0.95 | transcript=PVPAM_100027700_t1 | gene=PVPAM_100027700 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=CASCJQ010000010:968337-969961(-) | protein_length=200 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720733.1         -            207 11171at5820          -            191   1.4e-41  140.9   0.2   1   1   4.5e-44   1.7e-41  140.6   0.2     9   177    11   174     5   191 0.91 | transcript=PVPAM_090049800_t1 | gene=PVPAM_090049800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=CASCJQ010000009:1997786-1999218(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720996.1         -            207 11171at5820          -            191   2.1e-41  140.3   1.1   1   1   6.7e-44   2.6e-41  140.0   1.1     3   185     6   183     4   189 0.92 | transcript=PVPAM_100026500_t1 | gene=PVPAM_100026500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=CASCJQ010000010:930208-930831(+) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717926.1         -            194 11171at5820          -            191   2.4e-34  117.3   0.2   1   1   7.5e-37   2.9e-34  117.0   0.2    15   189    13   182    10   184 0.92 | transcript=PVPAM_020015800_t1 | gene=PVPAM_020015800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=CASCJQ010000002:455366-457119(-) | protein_length=194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723272.1         -            205 11171at5820          -            191   1.8e-32  111.2   0.1   1   1   6.4e-35   2.4e-32  110.8   0.1     5   176    28   193    24   199 0.95 | transcript=PVPAM_140019100_t1 | gene=PVPAM_140019100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=CASCJQ010000014:641770-643260(-) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719471.1         -            206 11171at5820          -            191   3.4e-29  100.5   0.1   1   1   1.1e-31   4.1e-29  100.2   0.1     7   174     6   173     1   183 0.85 | transcript=PVPAM_070008500_t1 | gene=PVPAM_070008500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=CASCJQ010000007:187577-189993(-) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718501.1         -            245 11171at5820          -            191   4.7e-26   90.3   3.5   1   2   3.3e-05     0.013   13.8   0.0     8    52     5    49     1    56 0.92 | transcript=PVPAM_040024500_t1 | gene=PVPAM_040024500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=CASCJQ010000004:818004-818741(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718501.1         -            245 11171at5820          -            191   4.7e-26   90.3   3.5   2   2   2.7e-24     1e-21   76.1   1.8    58   185   101   220    94   226 0.91 | transcript=PVPAM_040024500_t1 | gene=PVPAM_040024500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=CASCJQ010000004:818004-818741(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720460.1         -            214 11171at5820          -            191   1.1e-24   85.8   0.0   1   1   3.7e-27   1.4e-24   85.4   0.0     1   169     1   161     1   172 0.90 | transcript=PVPAM_090022500_t1 | gene=PVPAM_090022500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=CASCJQ010000009:817557-818377(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719162.1         -            181 11171at5820          -            191   2.2e-07   29.3   0.0   1   1   7.7e-10   2.9e-07   29.0   0.0    11   158    19   160    11   180 0.82 | transcript=PVPAM_060016900_t1 | gene=PVPAM_060016900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=CASCJQ010000006:496902-498230(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721878.1         -            224 11171at5820          -            191   1.2e-06   26.9   0.1   1   1     8e-09     3e-06   25.6   0.1    74   179   106   207    97   213 0.79 | transcript=PVPAM_120011200_t1 | gene=PVPAM_120011200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=CASCJQ010000012:255844-257982(-) | protein_length=224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
