#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718785.1         -            318 9386at5820           -            279  5.5e-176  581.9   3.5   1   1    1e-178  7.2e-176  581.5   3.5    10   279    32   313    25   313 0.97 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 9386at5820           -            279     6e-16   56.9   2.9   1   1   1.5e-18   1.1e-15   56.0   2.9    11   268    11   290     4   300 0.74 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 9386at5820           -            279   6.6e-10   37.0   6.1   1   3   6.6e-05     0.047   11.3   0.2   195   275    91   166    77   170 0.85 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 9386at5820           -            279   6.6e-10   37.0   6.1   2   3   4.5e-08   3.2e-05   21.6   0.1    13    84   220   293   207   311 0.85 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 9386at5820           -            279   6.6e-10   37.0   6.1   3   3    0.0032       2.3    5.7   0.3   198   270   419   499   398   507 0.67 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 9386at5820           -            279   1.1e-09   36.4   0.4   1   3     0.032        23    2.4   0.0    15    50    40    75    33    86 0.86 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 9386at5820           -            279   1.1e-09   36.4   0.4   2   3   0.00063      0.45    8.0   0.1    18    77   752   813   740   826 0.77 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 9386at5820           -            279   1.1e-09   36.4   0.4   3   3   4.3e-08   3.1e-05   21.7   0.0    12    87  1030  1108  1022  1117 0.84 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723750.1         -            259 9386at5820           -            279   6.6e-08   30.5   3.5   1   3    0.0034       2.4    5.6   0.1   197   231     6    40     2    69 0.74 | transcript=PVPAM_140067300_t1 | gene=PVPAM_140067300 | organism=Plasmodium_vivax_PAM | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=CASCJQ010000014:2690273-2692045(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723750.1         -            259 9386at5820           -            279   6.6e-08   30.5   3.5   2   3   1.2e-05    0.0084   13.7   0.5   157   269    44   155    37   165 0.77 | transcript=PVPAM_140067300_t1 | gene=PVPAM_140067300 | organism=Plasmodium_vivax_PAM | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=CASCJQ010000014:2690273-2692045(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723750.1         -            259 9386at5820           -            279   6.6e-08   30.5   3.5   3   3   4.9e-05     0.035   11.7   0.0    14    66   184   233   165   240 0.85 | transcript=PVPAM_140067300_t1 | gene=PVPAM_140067300 | organism=Plasmodium_vivax_PAM | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=CASCJQ010000014:2690273-2692045(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
