#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718087.1         -            487 8163at5820           -            380  1.2e-168  559.8  33.3   1   2  3.9e-163  4.2e-160  531.6  19.2     7   343    20   360    16   375 0.88 | transcript=PVPAM_030008300_t1 | gene=PVPAM_030008300 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=CASCJQ010000003:161631-163094(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718087.1         -            487 8163at5820           -            380  1.2e-168  559.8  33.3   2   2   9.4e-12     1e-08   33.4   6.3   289   379   390   481   374   482 0.62 | transcript=PVPAM_030008300_t1 | gene=PVPAM_030008300 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=CASCJQ010000003:161631-163094(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718086.1         -            353 8163at5820           -            380   6.8e-29   99.7  13.7   1   1   9.2e-32   9.9e-29   99.2  13.7    15   268    63   338    57   348 0.78 | transcript=PVPAM_030008200_t1 | gene=PVPAM_030008200 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P36, putative | transcript_product=6-cysteine protein P36, putative | location=CASCJQ010000003:158668-159729(-) | protein_length=353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 8163at5820           -            380     1e-28   99.2  68.2   1   9     0.015        16    3.1   1.3   108   152   563   607   554   627 0.89 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 8163at5820           -            380     1e-28   99.2  68.2   2   9   1.1e-11   1.2e-08   33.1   2.6   124   277   792   940   754  1005 0.70 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 8163at5820           -            380     1e-28   99.2  68.2   3   9   4.3e-06    0.0046   14.7   3.4   100   181  1076  1157  1065  1228 0.69 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 8163at5820           -            380     1e-28   99.2  68.2   4   9     0.027        29    2.2   0.0   222   265  1501  1548  1472  1553 0.78 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 8163at5820           -            380     1e-28   99.2  68.2   5   9   9.6e-11     1e-07   30.0   2.3   124   283  1556  1701  1549  1731 0.82 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 8163at5820           -            380     1e-28   99.2  68.2   6   9     0.015        16    3.0   0.0   128   183  1844  1898  1812  1916 0.73 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 8163at5820           -            380     1e-28   99.2  68.2   7   9     0.038        41    1.7   0.1   239   271  1995  2030  1986  2037 0.73 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 8163at5820           -            380     1e-28   99.2  68.2   8   9   6.8e-13   7.3e-10   37.1  10.0   101   342  2266  2514  2253  2532 0.71 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
