#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721214.1         -           1127 2381at5820           -            857         0 1797.3  69.8   1   5     0.044        36    0.6   0.1     4    21    30    47    27    61 0.85 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 2381at5820           -            857         0 1797.3  69.8   2   5   1.3e-54     1e-51  174.4  10.9    10   121   157   274   148   281 0.91 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 2381at5820           -            857         0 1797.3  69.8   3   5   2.1e-34   1.7e-31  107.6   2.2   119   180   307   368   285   383 0.91 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 2381at5820           -            857         0 1797.3  69.8   4   5  1.4e-198  1.1e-195  650.7  15.6   179   475   393   694   381   698 0.98 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 2381at5820           -            857         0 1797.3  69.8   5   5  4.2e-269  3.4e-266  884.0  13.9   474   856   743  1125   732  1126 0.99 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719256.1         -           1230 2381at5820           -            857  5.3e-201  668.3  11.1   1   2      0.21   1.7e+02   -1.6   0.0   247   297   269   323   253   338 0.80 | transcript=PVPAM_060026300_t1 | gene=PVPAM_060026300 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000006:890977-895342(-) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719256.1         -           1230 2381at5820           -            857  5.3e-201  668.3  11.1   2   2  2.8e-202  2.2e-199  663.0  10.4   201   853   559  1193   390  1196 0.92 | transcript=PVPAM_060026300_t1 | gene=PVPAM_060026300 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000006:890977-895342(-) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719618.1         -            840 2381at5820           -            857  3.1e-166  553.3   1.7   1   1  4.7e-167  3.8e-164  546.4   1.7   205   853   181   819   164   823 0.92 | transcript=PVPAM_070023200_t1 | gene=PVPAM_070023200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000007:816022-818544(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 2381at5820           -            857  1.5e-153  511.4  28.6   1   2   3.8e-72   3.1e-69  232.4  10.9   191   453   379   638   370   669 0.89 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 2381at5820           -            857  1.5e-153  511.4  28.6   2   2   9.1e-87   7.3e-84  280.8   9.7   493   854   714  1085   707  1088 0.92 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 2381at5820           -            857  1.3e-121  405.7  11.9   1   4   6.8e-53   5.5e-50  168.7   0.8   212   419     3   234     1   241 0.86 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 2381at5820           -            857  1.3e-121  405.7  11.9   2   4    0.0032       2.6    4.4   0.0   426   455   273   302   270   308 0.92 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 2381at5820           -            857  1.3e-121  405.7  11.9   3   4   3.1e-52   2.5e-49  166.5   0.1   476   690   361   576   354   583 0.96 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 2381at5820           -            857  1.3e-121  405.7  11.9   4   4   3.6e-22   2.9e-19   67.1   2.3   693   849   664   827   662   834 0.87 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 2381at5820           -            857   3.2e-58  196.0  15.6   1   4         8   6.5e+03  -12.5  12.1   164   211   178   228   142   264 0.53 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 2381at5820           -            857   3.2e-58  196.0  15.6   2   4   7.2e-50   5.8e-47  158.7   5.9   196   447   407   666   399   690 0.87 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 2381at5820           -            857   3.2e-58  196.0  15.6   3   4   8.5e-18   6.9e-15   52.6   2.1   479   634   915  1088   890  1094 0.86 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 2381at5820           -            857   3.2e-58  196.0  15.6   4   4      0.22   1.8e+02   -1.7   1.8   790   840  1399  1450  1375  1466 0.74 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722514.1         -            928 2381at5820           -            857   4.8e-43  145.7  22.8   1   2   2.2e-10   1.8e-07   28.1   0.2   297   369   101   173    20   191 0.88 | transcript=PVPAM_120075300_t1 | gene=PVPAM_120075300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:2932349-2935135(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722514.1         -            928 2381at5820           -            857   4.8e-43  145.7  22.8   2   2   2.5e-38     2e-35  120.5  17.4   515   853   573   915   557   919 0.84 | transcript=PVPAM_120075300_t1 | gene=PVPAM_120075300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:2932349-2935135(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
