#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718450.1         -           1577 1547at5820           -           1023         0 1686.0  61.1   1   5   8.1e-66     4e-63  212.0   9.1     1   197   105   361   105   371 0.79 | transcript=PVPAM_040019600_t1 | gene=PVPAM_040019600 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000004:623036-627769(-) | protein_length=1577 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718450.1         -           1577 1547at5820           -           1023         0 1686.0  61.1   2   5   6.7e-63   3.3e-60  202.3   4.5   216   350   490   624   469   628 0.93 | transcript=PVPAM_040019600_t1 | gene=PVPAM_040019600 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000004:623036-627769(-) | protein_length=1577 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718450.1         -           1577 1547at5820           -           1023         0 1686.0  61.1   3   5  4.4e-254  2.2e-251  835.2  16.9   348   749   655  1077   642  1081 0.98 | transcript=PVPAM_040019600_t1 | gene=PVPAM_040019600 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000004:623036-627769(-) | protein_length=1577 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718450.1         -           1577 1547at5820           -           1023         0 1686.0  61.1   4   5  6.9e-109  3.4e-106  354.6   0.2   746   926  1108  1289  1094  1294 0.96 | transcript=PVPAM_040019600_t1 | gene=PVPAM_040019600 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000004:623036-627769(-) | protein_length=1577 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718450.1         -           1577 1547at5820           -           1023         0 1686.0  61.1   5   5   1.9e-30   9.4e-28   94.9   1.7   925  1020  1370  1471  1365  1475 0.85 | transcript=PVPAM_040019600_t1 | gene=PVPAM_040019600 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000004:623036-627769(-) | protein_length=1577 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 1547at5820           -           1023  3.4e-152  506.9  35.8   1   2  6.8e-155  3.4e-152  506.9  35.8   349   856   286   795   245   965 0.83 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 1547at5820           -           1023  3.4e-152  506.9  35.8   2   2       4.5   2.2e+03   -5.6   4.7    58   160   915  1019   903  1025 0.51 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719194.1         -           3266 1547at5820           -           1023  2.8e-121  404.5  25.8   1   1  5.7e-124  2.8e-121  404.5  25.8   245   844  1242  1861  1218  1865 0.78 | transcript=PVPAM_060020100_t1 | gene=PVPAM_060020100 | organism=Plasmodium_vivax_PAM | gene_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=CASCJQ010000006:651180-660980(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718824.1         -           1726 1547at5820           -           1023    1e-113  379.5  25.9   1   3       4.8   2.4e+03   -5.8  12.0    51   124    19    87     4   112 0.66 | transcript=PVPAM_050021800_t1 | gene=PVPAM_050021800 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000005:727436-732616(+) | protein_length=1726 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718824.1         -           1726 1547at5820           -           1023    1e-113  379.5  25.9   2   3   1.6e-79   8.1e-77  257.3  14.1   375   672   475   773   447   778 0.89 | transcript=PVPAM_050021800_t1 | gene=PVPAM_050021800 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000005:727436-732616(+) | protein_length=1726 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718824.1         -           1726 1547at5820           -           1023    1e-113  379.5  25.9   3   3   1.9e-43   9.4e-41  137.9   3.9   673   841  1319  1486  1283  1490 0.92 | transcript=PVPAM_050021800_t1 | gene=PVPAM_050021800 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000005:727436-732616(+) | protein_length=1726 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
