#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723022.1         -           2155 484at5820            -           1555         0 2493.2 125.9   1   4  7.7e-122    5e-119  397.3   8.5     1   223     1   278     1   283 0.96 | transcript=PVPAM_130052800_t1 | gene=PVPAM_130052800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:2097931-2105757(-) | protein_length=2155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723022.1         -           2155 484at5820            -           1555         0 2493.2 125.9   2   4   1.8e-47   1.2e-44  150.8   0.2   227   345   344   477   324   506 0.65 | transcript=PVPAM_130052800_t1 | gene=PVPAM_130052800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:2097931-2105757(-) | protein_length=2155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723022.1         -           2155 484at5820            -           1555         0 2493.2 125.9   3   4  9.7e-114  6.2e-111  370.4  11.5   319   676   537  1090   511  1114 0.78 | transcript=PVPAM_130052800_t1 | gene=PVPAM_130052800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:2097931-2105757(-) | protein_length=2155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723022.1         -           2155 484at5820            -           1555         0 2493.2 125.9   4   4         0         0 1587.3  85.1   668  1555  1172  2155  1156  2155 0.96 | transcript=PVPAM_130052800_t1 | gene=PVPAM_130052800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:2097931-2105757(-) | protein_length=2155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719104.1         -            482 484at5820            -           1555    0.0019   14.2  11.2   1   1   4.5e-06    0.0029   13.6  11.2   248   434   131   328   126   369 0.57 | transcript=PVPAM_060011100_t1 | gene=PVPAM_060011100 | organism=Plasmodium_vivax_PAM | gene_product=PIR protein | transcript_product=PIR protein | location=CASCJQ010000006:266205-267915(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 484at5820            -           1555    0.0073   12.2   7.8   1   1   1.7e-05     0.011   11.6   7.8   289   376    76   168    44   215 0.48 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723224.1         -            543 484at5820            -           1555     0.033   10.0  12.0   1   1     7e-05     0.045    9.6  12.0   281   449    91   262    34   294 0.46 | transcript=PVPAM_140014300_t1 | gene=PVPAM_140014300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:442294-444287(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720319.1         -            300 484at5820            -           1555       0.8    5.5   7.6   1   1    0.0016         1    5.1   7.6   344   419   170   242   142   296 0.42 | transcript=PVPAM_090008300_t1 | gene=PVPAM_090008300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:238257-239259(+) | protein_length=300 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718593.1         -            263 484at5820            -           1555      0.99    5.2  12.4   1   1    0.0018       1.2    4.9  12.4   313   414    88   193    61   254 0.57 | transcript=PVPAM_040033800_t1 | gene=PVPAM_040033800 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000004:1191535-1192596(-) | protein_length=263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719695.1         -            510 484at5820            -           1555       1.2    4.9  24.0   1   1    0.0024       1.6    4.5  24.0   314   491    47   231    28   243 0.58 | transcript=PVPAM_070030900_t1 | gene=PVPAM_070030900 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=CASCJQ010000007:1119834-1121534(-) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718810.1         -            130 484at5820            -           1555       7.9    2.2   9.8   1   1     0.013       8.5    2.1   9.8   373   461    17   104     2   117 0.62 | transcript=PVPAM_050020400_t1 | gene=PVPAM_050020400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:665766-666750(-) | protein_length=130 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
