#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723192.1         -           1608 1667at5820           -           1065         0 1935.2 147.4   1   6   5.8e-16   5.3e-13   46.4   7.8     1    50    29    79    29    87 0.95 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 1667at5820           -           1065         0 1935.2 147.4   2   6   7.4e-23   6.9e-20   69.2  31.6    41   132   153   262   142   270 0.81 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 1667at5820           -           1065         0 1935.2 147.4   3   6    1e-177  9.4e-175  581.9  14.4   134   429   400   695   394   699 0.95 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 1667at5820           -           1065         0 1935.2 147.4   4   6   4.2e-12   3.9e-09   33.6   5.6   400   443   699   743   687   751 0.88 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 1667at5820           -           1065         0 1935.2 147.4   5   6    2e-196  1.9e-193  643.9  19.9   407   743   860  1199   853  1203 0.94 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 1667at5820           -           1065         0 1935.2 147.4   6   6  3.2e-180  2.9e-177  590.2  29.2   751  1065  1282  1608  1280  1608 0.97 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 1667at5820           -           1065   2.3e-65  219.7  26.6   1   2   2.5e-68   2.3e-65  219.7  26.6    25   627   286   898   273   911 0.79 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 1667at5820           -           1065   2.3e-65  219.7  26.6   2   2      0.13   1.2e+02   -1.1   0.5   866   907  1061  1102   960  1117 0.85 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719618.1         -            840 1667at5820           -           1065   7.3e-62  208.2   3.7   1   3   2.9e-44   2.7e-41  140.1   1.8   156   395   187   413   176   424 0.90 | transcript=PVPAM_070023200_t1 | gene=PVPAM_070023200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000007:816022-818544(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719618.1         -            840 1667at5820           -           1065   7.3e-62  208.2   3.7   2   3   6.9e-22   6.4e-19   66.0   0.0   454   632   425   594   412   598 0.86 | transcript=PVPAM_070023200_t1 | gene=PVPAM_070023200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000007:816022-818544(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719618.1         -            840 1667at5820           -           1065   7.3e-62  208.2   3.7   3   3      0.57   5.3e+02   -3.3   0.0   334   376   681   723   673   727 0.80 | transcript=PVPAM_070023200_t1 | gene=PVPAM_070023200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000007:816022-818544(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719256.1         -           1230 1667at5820           -           1065   4.9e-59  198.8   6.0   1   3     4e-47   3.7e-44  149.5   0.5   139   400   550   800   536   810 0.87 | transcript=PVPAM_060026300_t1 | gene=PVPAM_060026300 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000006:890977-895342(-) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
