#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723302.1         -           2052 659at5820            -           1239         0 2049.3 103.4   1  10   1.6e-06      0.01   12.0   0.2     1    32   113   144   113   177 0.85 | transcript=PVPAM_140022100_t1 | gene=PVPAM_140022100 | organism=Plasmodium_vivax_PAM | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=CASCJQ010000014:759324-765482(-) | protein_length=2052 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723302.1         -           2052 659at5820            -           1239         0 2049.3 103.4   2  10   0.00049       3.2    3.7   0.0    27    51   238   262   214   266 0.90 | transcript=PVPAM_140022100_t1 | gene=PVPAM_140022100 | organism=Plasmodium_vivax_PAM | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=CASCJQ010000014:759324-765482(-) | protein_length=2052 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723302.1         -           2052 659at5820            -           1239         0 2049.3 103.4   3  10  5.9e-145  3.8e-141  470.5   4.3    51   281   333   571   325   579 0.94 | transcript=PVPAM_140022100_t1 | gene=PVPAM_140022100 | organism=Plasmodium_vivax_PAM | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=CASCJQ010000014:759324-765482(-) | protein_length=2052 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723302.1         -           2052 659at5820            -           1239         0 2049.3 103.4   4  10  1.2e-109  7.6e-106  353.6   8.2   282   491   607   831   599   839 0.92 | transcript=PVPAM_140022100_t1 | gene=PVPAM_140022100 | organism=Plasmodium_vivax_PAM | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=CASCJQ010000014:759324-765482(-) | protein_length=2052 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723302.1         -           2052 659at5820            -           1239         0 2049.3 103.4   5  10   2.1e-67   1.3e-63  213.6   2.6   490   615   882  1011   876  1046 0.91 | transcript=PVPAM_140022100_t1 | gene=PVPAM_140022100 | organism=Plasmodium_vivax_PAM | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=CASCJQ010000014:759324-765482(-) | protein_length=2052 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723302.1         -           2052 659at5820            -           1239         0 2049.3 103.4   6  10     0.076   4.9e+02   -3.5   0.0   602   629  1127  1154  1119  1155 0.80 | transcript=PVPAM_140022100_t1 | gene=PVPAM_140022100 | organism=Plasmodium_vivax_PAM | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=CASCJQ010000014:759324-765482(-) | protein_length=2052 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723302.1         -           2052 659at5820            -           1239         0 2049.3 103.4   7  10  1.6e-127  1.1e-123  412.8  12.8   626   843  1195  1417  1165  1422 0.95 | transcript=PVPAM_140022100_t1 | gene=PVPAM_140022100 | organism=Plasmodium_vivax_PAM | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=CASCJQ010000014:759324-765482(-) | protein_length=2052 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723302.1         -           2052 659at5820            -           1239         0 2049.3 103.4   8  10   2.6e-96   1.7e-92  309.4  19.4   837  1036  1480  1702  1473  1705 0.93 | transcript=PVPAM_140022100_t1 | gene=PVPAM_140022100 | organism=Plasmodium_vivax_PAM | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=CASCJQ010000014:759324-765482(-) | protein_length=2052 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723302.1         -           2052 659at5820            -           1239         0 2049.3 103.4   9  10   1.9e-28   1.2e-24   84.6   0.1  1031  1092  1721  1782  1712  1791 0.93 | transcript=PVPAM_140022100_t1 | gene=PVPAM_140022100 | organism=Plasmodium_vivax_PAM | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=CASCJQ010000014:759324-765482(-) | protein_length=2052 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723302.1         -           2052 659at5820            -           1239         0 2049.3 103.4  10  10   1.3e-70   8.4e-67  224.3   5.9  1090  1225  1844  1994  1830  2006 0.91 | transcript=PVPAM_140022100_t1 | gene=PVPAM_140022100 | organism=Plasmodium_vivax_PAM | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=CASCJQ010000014:759324-765482(-) | protein_length=2052 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
