#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2   1  22         5   6.5e+03  -13.1  11.9    18   345   479   524   459   549 0.42 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2   2  22    0.0058       7.5    2.0  21.7     5    84   560   639   555   676 0.65 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2   3  22    0.0008         1    4.9  10.9    35   107   694   778   656   789 0.59 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2   4  22   8.1e-05       0.1    8.2   7.7    95   141   835   883   825   922 0.81 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2   5  22   8.5e-44   1.1e-40  137.5  33.6   132   336   939  1185   881  1201 0.74 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2   6  22         5   6.5e+03   -9.1  21.0   305   364  1239  1300  1232  1308 0.53 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2   7  22         5   6.5e+03  -12.5  17.6   299   365  1306  1377  1298  1392 0.62 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2   8  22  5.4e-174    7e-171  569.3  20.0   312   608  1407  1705  1390  1728 0.93 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2   9  22   0.00011      0.14    7.8  10.8   611   680  1764  1848  1760  1860 0.67 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2  10  22     0.078     1e+02   -1.7  10.7   633   707  1863  1970  1847  1982 0.62 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2  11  22   5.9e-22   7.6e-19   65.0   5.3   709   793  2018  2112  2012  2114 0.88 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
