#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718426.1         -            536 6690at5820           -            454  9.2e-285  942.8  21.8   1   2   2.8e-16   5.1e-14   50.4   1.1     1    46     7    53     7    59 0.88 | transcript=PVPAM_040017200_t1 | gene=PVPAM_040017200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=CASCJQ010000004:538028-539638(+) | protein_length=536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718426.1         -            536 6690at5820           -            454  9.2e-285  942.8  21.8   2   2  2.4e-273  4.4e-271  897.7  13.5    43   454   124   535   103   535 0.98 | transcript=PVPAM_040017200_t1 | gene=PVPAM_040017200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=CASCJQ010000004:538028-539638(+) | protein_length=536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721323.1         -            599 6690at5820           -            454   9.7e-79  263.7  11.9   1   1   8.4e-81   1.6e-78  263.0  11.9    36   413   135   516   124   546 0.93 | transcript=PVPAM_110022600_t1 | gene=PVPAM_110022600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=CASCJQ010000011:735446-737595(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723609.1         -            717 6690at5820           -            454   3.5e-64  215.7   1.2   1   2   4.7e-12   8.6e-10   36.4   0.0    47   114   277   343   227   348 0.85 | transcript=PVPAM_140053300_t1 | gene=PVPAM_140053300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=CASCJQ010000014:2074214-2076367(-) | protein_length=717 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723609.1         -            717 6690at5820           -            454   3.5e-64  215.7   1.2   2   2     6e-55   1.1e-52  177.8   0.5   111   390   396   678   392   702 0.91 | transcript=PVPAM_140053300_t1 | gene=PVPAM_140053300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=CASCJQ010000014:2074214-2076367(-) | protein_length=717 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722427.1         -            528 6690at5820           -            454   1.9e-63  213.3   0.1   1   1   1.3e-65   2.4e-63  212.9   0.1    20   392    85   466    65   481 0.85 | transcript=PVPAM_120066400_t1 | gene=PVPAM_120066400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX17, putative | transcript_product=ATP-dependent RNA helicase DDX17, putative | location=CASCJQ010000012:2501497-2504933(-) | protein_length=528 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720950.1         -           1006 6690at5820           -            454   5.3e-62  208.6   0.0   1   1   7.7e-62   1.4e-59  200.5   0.0    49   403   582   967   537   975 0.86 | transcript=PVPAM_100021800_t1 | gene=PVPAM_100021800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=CASCJQ010000010:750078-753098(+) | protein_length=1006 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720855.1         -            667 6690at5820           -            454     5e-61  205.3   0.2   1   1   2.7e-63     5e-61  205.3   0.2    14   404   185   587   174   612 0.86 | transcript=PVPAM_100012100_t1 | gene=PVPAM_100012100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=CASCJQ010000010:321156-323159(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722193.1         -            398 6690at5820           -            454   2.2e-59  199.9   0.3   1   1   1.5e-61   2.8e-59  199.5   0.3    48   409    23   387     2   395 0.90 | transcript=PVPAM_120043100_t1 | gene=PVPAM_120043100 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic initiation factor 4a, putative | transcript_product=eukaryotic initiation factor 4a, putative | location=CASCJQ010000012:1490010-1491552(-) | protein_length=398 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722027.1         -            489 6690at5820           -            454     9e-59  197.9   0.1   1   1   2.3e-60   4.2e-58  195.7   0.1    48   405    58   436    28   478 0.88 | transcript=PVPAM_120026600_t1 | gene=PVPAM_120026600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=CASCJQ010000012:856206-857675(+) | protein_length=489 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723453.1         -            938 6690at5820           -            454   1.4e-58  197.2   5.7   1   2   1.1e-27   2.1e-25   87.9   0.1    53   215   360   542   346   548 0.84 | transcript=PVPAM_140037500_t1 | gene=PVPAM_140037500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP1, putative | transcript_product=ATP-dependent RNA helicase DBP1, putative | location=CASCJQ010000014:1392118-1394934(-) | protein_length=938 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
