#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722116.1         -           1268 2486at5820           -            754  2.5e-271  900.8  27.5   1  10   0.00016      0.52    7.0   0.1     1    21     1    26     1    34 0.73 | transcript=PVPAM_120035400_t1 | gene=PVPAM_120035400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1211926-1215732(+) | protein_length=1268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722116.1         -           1268 2486at5820           -            754  2.5e-271  900.8  27.5   2  10   1.1e-07   0.00035   17.4   0.0    25    55    64   101    55   105 0.79 | transcript=PVPAM_120035400_t1 | gene=PVPAM_120035400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1211926-1215732(+) | protein_length=1268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722116.1         -           1268 2486at5820           -            754  2.5e-271  900.8  27.5   3  10   1.7e-57   5.6e-54  182.1   4.8    55   196   144   297   137   304 0.92 | transcript=PVPAM_120035400_t1 | gene=PVPAM_120035400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1211926-1215732(+) | protein_length=1268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722116.1         -           1268 2486at5820           -            754  2.5e-271  900.8  27.5   4  10   1.3e-26   4.3e-23   80.0   1.8   193   297   332   462   325   466 0.79 | transcript=PVPAM_120035400_t1 | gene=PVPAM_120035400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1211926-1215732(+) | protein_length=1268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722116.1         -           1268 2486at5820           -            754  2.5e-271  900.8  27.5   5  10   3.1e-75     1e-71  240.8   0.0   298   437   533   673   517   680 0.95 | transcript=PVPAM_120035400_t1 | gene=PVPAM_120035400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1211926-1215732(+) | protein_length=1268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722116.1         -           1268 2486at5820           -            754  2.5e-271  900.8  27.5   6  10   1.3e-17   4.2e-14   50.3   1.2   437   487   721   779   715   782 0.81 | transcript=PVPAM_120035400_t1 | gene=PVPAM_120035400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1211926-1215732(+) | protein_length=1268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722116.1         -           1268 2486at5820           -            754  2.5e-271  900.8  27.5   7  10     1e-19   3.4e-16   57.2   0.0   487   536   819   868   811   885 0.92 | transcript=PVPAM_120035400_t1 | gene=PVPAM_120035400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1211926-1215732(+) | protein_length=1268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722116.1         -           1268 2486at5820           -            754  2.5e-271  900.8  27.5   8  10   4.5e-25   1.5e-21   74.9   0.0   537   620   920  1028   912  1034 0.84 | transcript=PVPAM_120035400_t1 | gene=PVPAM_120035400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1211926-1215732(+) | protein_length=1268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722116.1         -           1268 2486at5820           -            754  2.5e-271  900.8  27.5   9  10   7.4e-32   2.4e-28   97.3   0.0   610   683  1051  1124  1044  1130 0.90 | transcript=PVPAM_120035400_t1 | gene=PVPAM_120035400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1211926-1215732(+) | protein_length=1268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722116.1         -           1268 2486at5820           -            754  2.5e-271  900.8  27.5  10  10   2.1e-31   6.8e-28   95.9   0.6   684   746  1155  1217  1152  1220 0.95 | transcript=PVPAM_120035400_t1 | gene=PVPAM_120035400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1211926-1215732(+) | protein_length=1268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720210.1         -            613 2486at5820           -            754     0.001   15.9   0.0   1   2     0.014        46    0.5   0.0   293   323   231   261   219   269 0.76 | transcript=PVPAM_080043200_t1 | gene=PVPAM_080043200 | organism=Plasmodium_vivax_PAM | gene_product=asparagine synthetase [glutamine-hydrolyzing], putative | transcript_product=asparagine synthetase [glutamine-hydrolyzing], putative | location=CASCJQ010000008:1688501-1690894(-) | protein_length=613 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720210.1         -            613 2486at5820           -            754     0.001   15.9   0.0   2   2   2.5e-06    0.0081   12.9   0.0   588   673   369   452   359   457 0.64 | transcript=PVPAM_080043200_t1 | gene=PVPAM_080043200 | organism=Plasmodium_vivax_PAM | gene_product=asparagine synthetase [glutamine-hydrolyzing], putative | transcript_product=asparagine synthetase [glutamine-hydrolyzing], putative | location=CASCJQ010000008:1688501-1690894(-) | protein_length=613 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2486at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2486at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2486at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:17 2026
# [ok]
