#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722352.1         -           1840 933at5820            -           1217         0 1938.3 163.6   1   9   5.2e-95   3.4e-91  305.4  17.8     1   181     1   187     1   205 0.95 | transcript=PVPAM_120058800_t1 | gene=PVPAM_120058800 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2176504-2182026(-) | protein_length=1840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722352.1         -           1840 933at5820            -           1217         0 1938.3 163.6   2   9   4.3e-22   2.8e-18   63.9   0.2   177   221   232   276   213   294 0.90 | transcript=PVPAM_120058800_t1 | gene=PVPAM_120058800 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2176504-2182026(-) | protein_length=1840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722352.1         -           1840 933at5820            -           1217         0 1938.3 163.6   3   9   7.9e-24   5.1e-20   69.6   0.3   218   283   330   404   307   410 0.86 | transcript=PVPAM_120058800_t1 | gene=PVPAM_120058800 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2176504-2182026(-) | protein_length=1840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722352.1         -           1840 933at5820            -           1217         0 1938.3 163.6   4   9  4.4e-117  2.8e-113  378.5  28.5   280   521   484   763   461   784 0.88 | transcript=PVPAM_120058800_t1 | gene=PVPAM_120058800 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2176504-2182026(-) | protein_length=1840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722352.1         -           1840 933at5820            -           1217         0 1938.3 163.6   5   9  3.2e-105  2.1e-101  339.2  11.6   512   703   798   998   792  1021 0.93 | transcript=PVPAM_120058800_t1 | gene=PVPAM_120058800 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2176504-2182026(-) | protein_length=1840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722352.1         -           1840 933at5820            -           1217         0 1938.3 163.6   6   9   2.1e-86   1.4e-82  276.9  12.8   701   865  1071  1247  1068  1259 0.91 | transcript=PVPAM_120058800_t1 | gene=PVPAM_120058800 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2176504-2182026(-) | protein_length=1840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722352.1         -           1840 933at5820            -           1217         0 1938.3 163.6   7   9  2.1e-105  1.3e-101  339.9  22.7   863  1067  1353  1569  1348  1584 0.93 | transcript=PVPAM_120058800_t1 | gene=PVPAM_120058800 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2176504-2182026(-) | protein_length=1840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722352.1         -           1840 933at5820            -           1217         0 1938.3 163.6   8   9   1.1e-26   6.8e-23   79.1  10.1  1065  1137  1635  1724  1626  1731 0.73 | transcript=PVPAM_120058800_t1 | gene=PVPAM_120058800 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2176504-2182026(-) | protein_length=1840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722352.1         -           1840 933at5820            -           1217         0 1938.3 163.6   9   9   9.7e-41   6.2e-37  125.6   1.6  1137  1217  1751  1831  1743  1831 0.97 | transcript=PVPAM_120058800_t1 | gene=PVPAM_120058800 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2176504-2182026(-) | protein_length=1840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/933at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/933at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/933at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:45 2026
# [ok]
