#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723596.1         -           1143 1289at5820           -            955         0 1796.6  50.2   1   3  2.6e-138  2.1e-135  451.8  12.4     6   254    37   308    33   316 0.94 | transcript=PVPAM_140052000_t1 | gene=PVPAM_140052000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000014:2024732-2028715(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723596.1         -           1143 1289at5820           -            955         0 1796.6  50.2   2   3   7.7e-49   6.2e-46  155.6   0.4   253   355   351   475   341   483 0.89 | transcript=PVPAM_140052000_t1 | gene=PVPAM_140052000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000014:2024732-2028715(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723596.1         -           1143 1289at5820           -            955         0 1796.6  50.2   3   3         0         0 1198.9  23.5   355   955   504  1143   501  1143 0.96 | transcript=PVPAM_140052000_t1 | gene=PVPAM_140052000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000014:2024732-2028715(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 1289at5820           -            955   5.3e-63  212.1  33.3   1   4   2.6e-20   2.1e-17   61.2  10.7    15   179   196   380   189   431 0.79 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 1289at5820           -            955   5.3e-63  212.1  33.3   2   4   1.1e-30   9.3e-28   95.5   1.1   277   447   558   752   544   766 0.80 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 1289at5820           -            955   5.3e-63  212.1  33.3   3   4   3.5e-18   2.8e-15   54.2   3.3   469   651   817   994   809  1025 0.81 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 1289at5820           -            955   5.3e-63  212.1  33.3   4   4   6.4e-06    0.0051   13.6   0.1   745   801  1202  1258  1190  1263 0.91 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723711.1         -            631 1289at5820           -            955     2e-40  137.4  10.7   1   2     2e-34   1.6e-31  108.0   5.1   363   566     7   213     3   242 0.87 | transcript=PVPAM_140063500_t1 | gene=PVPAM_140063500 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=CASCJQ010000014:2513043-2515063(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723711.1         -            631 1289at5820           -            955     2e-40  137.4  10.7   2   2   1.4e-11   1.1e-08   32.3   0.3   734   804   338   406   321   413 0.89 | transcript=PVPAM_140063500_t1 | gene=PVPAM_140063500 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=CASCJQ010000014:2513043-2515063(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718865.1         -            406 1289at5820           -            955   3.6e-18   63.8   1.1   1   2   1.5e-19   1.2e-16   58.7   0.3   377   508     5   137     1   143 0.88 | transcript=PVPAM_050025900_t1 | gene=PVPAM_050025900 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=CASCJQ010000005:896633-897853(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718865.1         -            406 1289at5820           -            955   3.6e-18   63.8   1.1   2   2    0.0063       5.1    3.7   0.0   743   794   212   263   196   272 0.77 | transcript=PVPAM_050025900_t1 | gene=PVPAM_050025900 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=CASCJQ010000005:896633-897853(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
