#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720357.1         -           1064 3032at5820           -            718         0 1311.7  71.5   1   4  1.4e-104  1.3e-101  339.4  13.2     1   205    52   271    52   284 0.94 | transcript=PVPAM_090012200_t1 | gene=PVPAM_090012200 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=CASCJQ010000009:403249-406443(-) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720357.1         -           1064 3032at5820           -            718         0 1311.7  71.5   2   4  3.6e-191  3.3e-188  625.7  30.9   204   514   354   667   345   671 0.98 | transcript=PVPAM_090012200_t1 | gene=PVPAM_090012200 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=CASCJQ010000009:403249-406443(-) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720357.1         -           1064 3032at5820           -            718         0 1311.7  71.5   3   4   6.1e-11   5.6e-08   29.9   0.1   509   548   729   771   714   776 0.88 | transcript=PVPAM_090012200_t1 | gene=PVPAM_090012200 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=CASCJQ010000009:403249-406443(-) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720357.1         -           1064 3032at5820           -            718         0 1311.7  71.5   4   4  4.1e-102   3.8e-99  331.2   7.5   547   718   883  1060   872  1060 0.96 | transcript=PVPAM_090012200_t1 | gene=PVPAM_090012200 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=CASCJQ010000009:403249-406443(-) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719950.1         -           1547 3032at5820           -            718   5.2e-54  182.0   3.0   1   2   7.7e-31   7.1e-28   95.6   0.2   219   500   822  1076   813  1085 0.79 | transcript=PVPAM_080017300_t1 | gene=PVPAM_080017300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=CASCJQ010000008:591895-596538(-) | protein_length=1547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719950.1         -           1547 3032at5820           -            718   5.2e-54  182.0   3.0   2   2   1.3e-25   1.2e-22   78.4   0.3   572   706  1116  1254  1108  1260 0.82 | transcript=PVPAM_080017300_t1 | gene=PVPAM_080017300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=CASCJQ010000008:591895-596538(-) | protein_length=1547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717656.1         -           2319 3032at5820           -            718   6.9e-41  138.7   2.9   1   6      0.67   6.2e+02   -3.3   4.4    41    85    69   114    35   133 0.73 | transcript=PVPAM_010016600_t1 | gene=PVPAM_010016600 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=CASCJQ010000001:526960-533919(+) | protein_length=2319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717656.1         -           2319 3032at5820           -            718   6.9e-41  138.7   2.9   2   6      0.34   3.2e+02   -2.4   5.2   454   555   901  1004   826  1051 0.72 | transcript=PVPAM_010016600_t1 | gene=PVPAM_010016600 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=CASCJQ010000001:526960-533919(+) | protein_length=2319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717656.1         -           2319 3032at5820           -            718   6.9e-41  138.7   2.9   3   6      0.28   2.6e+02   -2.1   0.7   521   591  1322  1396  1283  1404 0.67 | transcript=PVPAM_010016600_t1 | gene=PVPAM_010016600 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=CASCJQ010000001:526960-533919(+) | protein_length=2319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717656.1         -           2319 3032at5820           -            718   6.9e-41  138.7   2.9   4   6   3.2e-11   2.9e-08   30.8   0.0   218   298  1810  1890  1798  1905 0.85 | transcript=PVPAM_010016600_t1 | gene=PVPAM_010016600 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=CASCJQ010000001:526960-533919(+) | protein_length=2319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717656.1         -           2319 3032at5820           -            718   6.9e-41  138.7   2.9   5   6   1.2e-21   1.1e-18   65.2   0.6   355   505  1909  2053  1901  2061 0.88 | transcript=PVPAM_010016600_t1 | gene=PVPAM_010016600 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=CASCJQ010000001:526960-533919(+) | protein_length=2319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717656.1         -           2319 3032at5820           -            718   6.9e-41  138.7   2.9   6   6   1.6e-20   1.5e-17   61.5   0.0   593   690  2119  2211  2105  2216 0.89 | transcript=PVPAM_010016600_t1 | gene=PVPAM_010016600 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=CASCJQ010000001:526960-533919(+) | protein_length=2319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 3032at5820           -            718   2.5e-30  103.7  41.6   1   7       4.5   4.2e+03   -6.1   4.2   458   553    63   156    53   162 0.62 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 3032at5820           -            718   2.5e-30  103.7  41.6   2   7      0.16   1.5e+02   -1.3   0.6   462   516   322   379   315   408 0.72 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 3032at5820           -            718   2.5e-30  103.7  41.6   3   7   2.3e-06    0.0021   14.7   0.0   212   260   616   663   605   671 0.81 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 3032at5820           -            718   2.5e-30  103.7  41.6   4   7    0.0016       1.5    5.3   0.0   256   284   900   929   886   932 0.78 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 3032at5820           -            718   2.5e-30  103.7  41.6   5   7   6.6e-24   6.1e-21   72.7   5.0   363   521   972  1128   956  1151 0.83 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 3032at5820           -            718   2.5e-30  103.7  41.6   6   7   1.8e-09   1.6e-06   25.0   0.2   593   650  1240  1297  1228  1305 0.89 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 3032at5820           -            718   2.5e-30  103.7  41.6   7   7   2.7e-05     0.025   11.2   0.1   660   688  1357  1385  1353  1406 0.87 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 3032at5820           -            718   8.6e-28   95.4  18.3   1   6         7   6.5e+03   -8.0   6.6   511   569    71   125     8   188 0.59 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 3032at5820           -            718   8.6e-28   95.4  18.3   2   6       3.7   3.5e+03   -5.8   5.7    80   210   299   436   279   480 0.55 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 3032at5820           -            718   8.6e-28   95.4  18.3   3   6   1.7e-05     0.016   11.8   0.0   219   259  1751  1792  1735  1803 0.76 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 3032at5820           -            718   8.6e-28   95.4  18.3   4   6     0.013        12    2.3   0.1   262   293  1823  1854  1812  1857 0.81 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 3032at5820           -            718   8.6e-28   95.4  18.3   5   6   1.2e-26   1.1e-23   81.8  10.6   328   653  2069  2363  2040  2373 0.77 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 3032at5820           -            718   8.6e-28   95.4  18.3   6   6   7.7e-10   7.1e-07   26.2   0.2   656   696  2446  2486  2436  2495 0.86 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722015.1         -           1256 3032at5820           -            718     1e-22   78.6  25.5   1   5      0.31   2.9e+02   -2.2   0.3   356   396   361   402   339   416 0.79 | transcript=PVPAM_120025400_t1 | gene=PVPAM_120025400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:816239-820206(-) | protein_length=1256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
