#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722454.1         -            596 6335at5820           -            474  5.9e-258  854.7  59.2   1   2  5.6e-200    4e-197  654.1  49.2     1   364     1   395     1   413 0.96 | transcript=PVPAM_120069100_t1 | gene=PVPAM_120069100 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000012:2621010-2623036(-) | protein_length=596 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722454.1         -            596 6335at5820           -            474  5.9e-258  854.7  59.2   2   2   4.8e-64   3.4e-61  205.9   2.3   367   473   489   595   473   596 0.94 | transcript=PVPAM_120069100_t1 | gene=PVPAM_120069100 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000012:2621010-2623036(-) | protein_length=596 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 6335at5820           -            474   1.7e-11   42.0  15.1   1   2   3.1e-11   2.2e-08   31.7   2.7   227   355   197   325   159   347 0.83 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 6335at5820           -            474   1.7e-11   42.0  15.1   2   2   1.5e-06    0.0011   16.2  10.3   135   323   302   479   298   512 0.79 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721445.1         -            978 6335at5820           -            474   8.1e-10   36.5   0.1   1   4      0.13        95   -0.0   0.5   236   261   110   135    75   191 0.82 | transcript=PVPAM_110035000_t1 | gene=PVPAM_110035000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1275275-1278374(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721445.1         -            978 6335at5820           -            474   8.1e-10   36.5   0.1   2   4      0.75   5.4e+02   -2.5   1.8   247   294   225   277   200   285 0.72 | transcript=PVPAM_110035000_t1 | gene=PVPAM_110035000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1275275-1278374(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721445.1         -            978 6335at5820           -            474   8.1e-10   36.5   0.1   3   4      0.28     2e+02   -1.1   2.4   193   239   405   447   376   467 0.66 | transcript=PVPAM_110035000_t1 | gene=PVPAM_110035000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1275275-1278374(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721445.1         -            978 6335at5820           -            474   8.1e-10   36.5   0.1   4   4   1.1e-12   8.1e-10   36.5   0.1   265   339   512   586   507   594 0.94 | transcript=PVPAM_110035000_t1 | gene=PVPAM_110035000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1275275-1278374(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719285.1         -            512 6335at5820           -            474   2.1e-09   35.1  10.5   1   1   4.4e-12   3.2e-09   34.5  10.5   189   391    94   289    56   305 0.83 | transcript=PVPAM_060029200_t1 | gene=PVPAM_060029200 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=CASCJQ010000006:992367-993905(+) | protein_length=512 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 6335at5820           -            474     4e-08   30.9  38.4   1   2   2.3e-08   1.7e-05   22.2  15.6   195   364   121   289    96   301 0.83 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 6335at5820           -            474     4e-08   30.9  38.4   2   2   8.9e-06    0.0064   13.7  14.7   198   336   318   460   300   492 0.74 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
