#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719587.1         -            484 7103at5820           -            414  1.1e-223  741.4  46.4   1   1  2.8e-225  3.7e-222  736.4  46.4     1   414     7   480     7   480 0.93 | transcript=PVPAM_070020100_t1 | gene=PVPAM_070020100 | organism=Plasmodium_vivax_PAM | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=CASCJQ010000007:713184-714638(+) | protein_length=484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717944.1         -            571 7103at5820           -            414   1.6e-15   55.7  38.0   1   2   1.5e-17     2e-14   52.1   8.7    12   210    34   235    28   242 0.84 | transcript=PVPAM_020017600_t1 | gene=PVPAM_020017600 | organism=Plasmodium_vivax_PAM | gene_product=novel putative transporter 1, putative | transcript_product=novel putative transporter 1, putative | location=CASCJQ010000002:522563-524278(-) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717944.1         -            571 7103at5820           -            414   1.6e-15   55.7  38.0   2   2   5.1e-05     0.066   10.9  19.4   250   362   379   499   335   516 0.70 | transcript=PVPAM_020017600_t1 | gene=PVPAM_020017600 | organism=Plasmodium_vivax_PAM | gene_product=novel putative transporter 1, putative | transcript_product=novel putative transporter 1, putative | location=CASCJQ010000002:522563-524278(-) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717945.1         -            638 7103at5820           -            414   3.8e-14   51.2  37.4   1   2   4.5e-14   5.8e-11   40.7  10.3    25   212    43   241    19   266 0.73 | transcript=PVPAM_020017700_t1 | gene=PVPAM_020017700 | organism=Plasmodium_vivax_PAM | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=CASCJQ010000002:525711-527627(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717945.1         -            638 7103at5820           -            414   3.8e-14   51.2  37.4   2   2   1.2e-06    0.0015   16.2  19.1   265   374   477   593   455   621 0.68 | transcript=PVPAM_020017700_t1 | gene=PVPAM_020017700 | organism=Plasmodium_vivax_PAM | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=CASCJQ010000002:525711-527627(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720584.1         -            571 7103at5820           -            414   6.1e-11   40.6  12.6   1   2   4.7e-14   6.1e-11   40.6  12.6     5   210    67   283    62   291 0.83 | transcript=PVPAM_090034900_t1 | gene=PVPAM_090034900 | organism=Plasmodium_vivax_PAM | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=CASCJQ010000009:1334056-1335771(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720584.1         -            571 7103at5820           -            414   6.1e-11   40.6  12.6   2   2       3.5   4.5e+03   -5.1  19.1   270   374   407   518   377   554 0.70 | transcript=PVPAM_090034900_t1 | gene=PVPAM_090034900 | organism=Plasmodium_vivax_PAM | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=CASCJQ010000009:1334056-1335771(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720317.1         -            260 7103at5820           -            414    0.0028   15.4   0.6   1   2      0.38   4.9e+02   -1.9   0.3   304   326    68    90    56    96 0.62 | transcript=PVPAM_090008100_t1 | gene=PVPAM_090008100 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:228173-229079(+) | protein_length=260 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720317.1         -            260 7103at5820           -            414    0.0028   15.4   0.6   2   2   2.2e-06    0.0028   15.4   0.6   176   244   137   204   125   215 0.87 | transcript=PVPAM_090008100_t1 | gene=PVPAM_090008100 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:228173-229079(+) | protein_length=260 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7103at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7103at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7103at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:57 2026
# [ok]
